"Pos","Pos.","Artist","Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"=","PINK","Just Give Me A Re...",15413,"-14",-185,"-39",105.752,"+0.336",83,"2",1,15624,1949,106.079
2,"=","JUSTIN TIMBERLAKE","Mirrors",15038,"+216",1259,"-94",105.66,"+1.071",53,"3",2,15038,3114,105.66
3,"=","RIHANNA","Stay f/Mikky Ekko",13968,"-201",-799,"-65",87.094,"-1.526",107,"14",1,15599,1920,102.136
4,"=","MACKLEMORE & RYAN...","Can't Hold Us f/R...",13950,"+283",1692,"-35",94.924,"+1.692",61,"1",4,13950,2448,94.924
5,"=","DEMI LOVATO","Heart Attack",11601,"+119",693,"+8",71.031,"+0.675",75,"21",5,11601,2482,71.031
6,"=","ICONA POP","I Love It f/Charl...",10796,"+164",995,"+86",73.401,"+1.825",95,"6",6,10796,1359,73.401
7,"=","BRUNO MARS","When I Was Your M...",9893,"-120",-1195,"+171",57.731,"-1.211",119,"8",1,16011,2737,106.569
8,"=","PITBULL","Feel This Moment",9301,"-416",-2485,"-165",60.58,"-1.627",128,"25",3,13073,1706,86.979
9,"=","KREWELLA","Alive",7599,"-84",-360,"-73",48.178,"-1.241",96,"49",9,7991,1026,53.493
10,"=","SELENA GOMEZ","Come & Get It",7300,"+218",938,"+76",43.347,"+1.176",35,"4",10,7300,2034,43.347
11,"=","TAYLOR SWIFT","22",7019,"-18",239,"-40",34.172,"+0.109",72,"30",10,7037,2327,34.172
12,"=","WILL.I.AM F/JUSTI...","#thatpower",6934,"+146",698,"+24",37.633,"+0.418",51,"18",12,6934,1416,37.633
13,"=","FALL OUT BOY","My Songs Know Wha...",6684,"+115",466,"+85",38.369,"+0.525",93,"13",13,6684,1015,38.369
14,"=","FLORIDA-GEORGIA L...","Cruise",6156,"+150",1017,"-58",32.578,"+0.677",49,"11/33",14,6156,1411,32.578
15,"=","ARIANA GRANDE","The Way f/Mac Mil...",5684,"+48",700,"-144",32.884,"+0.392",44,"15",15,5684,1373,32.884
16,"=","JASON DERULO","The Other Side",5504,"+89",736,"-105",33.991,"+0.273",25,"35",16,5504,2399,33.991
17,"+1","JUSTIN TIMBERLAKE","Suit & Tie f/JAY ...",4630,"-99",-795,"+49",25.193,"-0.338",120,"31",3,12353,6457,74.223
18,"-1","OLLY MURS","Troublemaker f/Fl...",4582,"-293",-1970,"-148",27.839,"-1.147",148,"50",10,7829,1121,42.345
19,"=","EMELI SANDE","Next To Me",4427,"-6",149,"-34",23.259,"+0.327",87,"23",18,4433,560,23.259
