"","Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","PkPos","PkSpins","PkBllt","PkAud"
"1",1,"=","PITBULL Give Me Everything f/Ne-Yo",13708,"+9",306,"-90",93.453,"+0.334",55,1,13708,1811,93.453
"2",2,"=","ADELE Rolling In The Deep",12767,"-78",-749,"+59",87.566,"-0.534",55,1,14295,2273,96.15
"3",3,"=","LADY GAGA The Edge Of Glory",11311,"+42",622,"-128",66.174,"+0.985",55,3,11311,2193,66.174
"4",4,"=","LMFAO Party Rock Anthem",11062,"+205",1315,"-40",73.25,"+1.327",55,4,11062,1859,73.25
"5",5,"=","KATY PERRY Last Friday Night (T.G.I.F.)",9226,"+286",1981,"+3",60.299,"+2.264",38,5,9226,2124,60.299
"6",6,"=","LUPE FIASCO The Show Goes On",8762,"+22",319,"-43",51.125,"-0.697",55,6,8762,1043,53.459
"7",7,"=","KATY PERRY E.T.",8160,"-267",-1622,"-204",58.493,"-2.515",55,1,14624,0,96.745
"8",8,"=","BLACK EYED PEAS Just Can't Get Enough",7903,"-147",-1446,"+15",57.495,"-0.570",55,2,13366,715,84.474
"9",9,"=","BRUNO MARS Lazy Song",7642,"-270",-1744,"+100",37.359,"-0.995",55,3,11422,1054,61.587
"10",10,"=","JASON DERULO Don't Wanna Go Home",6967,"+56",231,"+29",36.894,"+0.500",53,10,6967,1463,37.039
"11",11,"=","NICKI MINAJ Super Bass",6961,"+127",935,"-12",42.864,"+1.227",55,11,6961,1188,42.864
"12",12,"=","ONEREPUBLIC Good Life",6715,"+175",898,"+67",39.909,"+1.259",55,12,6715,898,39.909
"13",13,"=","HOT CHELLE RAE Tonight Tonight",6495,"+80",336,"-14",33.972,"+0.791",55,12,6495,838,33.972
"14",14,"=","BRITNEY SPEARS Till The World Ends",5918,"-121",-845,"+65",39.873,"-0.915",55,3,11896,966,75.819
"15",15,"=","JENNIFER LOPEZ F/PITBULL On The Floor",4637,"-63",-709,"+119",32.845,"-0.326",55,5,10169,668,65.118
"16",16,"=","BRITNEY SPEARS I Wanna Go",4328,"+206",1508,"-4",30.396,"+1.346",21,16,4328,1768,30.396
"17",17,"=","NICOLE SCHERZINGER Right There",3911,"+79",424,"+6",20.022,"+0.517",39,17,3911,720,20.022
"18",18,"+1","ENRIQUE IGLESIAS Dirty Dancer f/Usher/Li...",3724,"+5",-137,"+23",19.219,"-0.136",53,18,3879,864,21.943
"19",19,"-1","WIZ KHALIFA Roll Up",3548,"-207",-1105,"-138",16.184,"-0.773",55,14,5043,725,26.478
"20",20,"=","RIHANNA California King Bed",3507,"+85",394,"+40",14.603,"+0.194",50,20,3507,616,14.846
"21",21,"=","THE BAND PERRY If I Die Young",3459,"+70",382,"+39",17.497,"+0.246",55,21,3459,655,17.497
"22",22,"+1","DAVID GUETTA/FLO RIDA/NICKI M. Where The...",3366,"+56",283,"+14",16.405,"+0.595",55,22,3366,525,16.405
"23",23,"+1","TAYLOR SWIFT The Story Of Us",3205,"-17",-86,"-13",15.662,"+0.019",55,21,3295,587,17.303
