"Pos","Pos.","Artist","Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","iTunes","Pk","PkSp","PkBl","PkAu"
1,"=","MAROON 5","Animals",17252,80,580,-67,114.336,0.467,60,"6",1,17252,3186,114.336
2,"=","TOVE LO","Habits (Stay High)",15943,-169,-718,-168,104.737,-0.975,152,"21",1,16744,2816,110.186
3,"=","ED SHEERAN","Don't",15158,103,1433,-216,90.419,0.831,132,"22",3,15158,2073,90.419
4,"=","CALVIN HARRIS","Blame f/John Newman",12266,244,1342,68,77.006,1.473,75,"26",4,12266,1988,77.006
5,"+1","MR PROBZ","Waves",11185,146,907,-71,75.123,0.867,132,"19",5,11185,1264,75.123
6,"-1","TAYLOR SWIFT","Shake It Off",10935,-132,-1474,121,76.087,-0.487,96,"4",1,17531,9016,110.142
7,"=","TAYLOR SWIFT","Blank Space",10016,288,2238,-54,68.273,2.105,25,"1",7,10016,3248,68.273
8,"=","NICK JONAS","Jealous",9962,242,694,236,57.426,1.205,72,"9",8,9962,1846,57.426
9,"=","JESSIE J/A. GRANDE/N. MINAJ","Bang Bang",9325,-367,-2739,141,57.879,-2.13,116,"20",1,15754,4716,94.236
10,"=","MEGHAN TRAINOR","All About That Bass",8817,-204,-1423,60,56.968,-1.457,137,"5",1,17875,3030,116.17
11,"=","JASON DERULO","Trumpets",8653,-10,145,-48,46.269,0.185,89,"17",11,8674,1238,46.515
12,"=","ARIANA GRANDE & THE WEEKND","Love Me Harder",8349,135,828,-22,53.16,0.701,46,"16",12,8349,1751,53.16
13,"=","SAM SMITH","I'm Not The Only One",7784,100,664,14,43.618,0.829,58,"7",13,7784,1424,43.618
14,"=","JEREMIH","Don't Tell 'Em f/YG",7201,-222,-2398,279,45.009,-1.659,125,"51",5,12620,1458,74.757
15,"=","IGGY AZALEA","Black Widow f/Rita Ora",7063,-315,-2087,-5,54.128,-2.016,146,"59",1,17547,2437,115.226
16,"=","IGGY AZALEA","Beg For It f/MØ",6238,125,789,15,34.405,0.738,29,"28",16,6238,2920,34.405
17,"=","ALESSO","Heroes",5227,88,601,70,28.691,0.697,75,"40",17,5227,896,28.691
18,"=","HOZIER","Take Me To Church",4678,113,1034,17,23.541,0.792,40,"2",18,4678,1034,23.541
19,"=","MEGHAN TRAINOR","Lips Are Movin",4595,35,451,-56,22.748,0.587,33,"8",18,4595,1423,22.748
20,"=","FERGIE","L.A.LOVE (la la)",4222,-12,-45,-19,15.377,-0.254,50,"32",20,4267,1105,18.09
21,"=","GWEN STEFANI","Baby Don't Lie",4099,-33,-127,-32,16.94,-0.326,33,"83",20,4236,2651,20.798
22,"+3","SELENA GOMEZ","The Heart Wants What It Wants",3695,216,1976,-82,20.704,1.08,16,"14",22,3695,2058,20.704
23,"+1","FALL OUT BOY","Centuries",3668,98,491,55,18.973,0.509,66,"12",23,3668,556,18.973
24,"-1","NICO & VINZ","In Your Arms",3595,-85,-325,-101,14.982,-0.25,59,"95",22,3920,1121,16.487
25,"-3","ONE DIRECTION","Steal My Girl",3422,-359,-1638,-281,12.458,-1.132,54,"18",17,5160,2502,19.893
26,"=","ARIANA GRANDE","Break Free f/Zedd",3253,-20,-572,41,25.834,-0.427,140,"87",4,14321,2327,87.942
27,"=","DAVID GUETTA","Dangerous f/Sam Martin",3145,14,216,-31,16.937,-0.067,47,"23",26,3156,1540,17.004
28,"+1","MARK RONSON","Uptown Funk f/Bruno Mars",2708,201,557,-88,16.289,0.887,12,"3",27,2708,2689,22.472
29,"-1","CHARLI XCX","Break The Rules",2627,20,94,-21,9.589,0.071,52,"146",28,2665,609,9.589
