"Pos","Pos.","Artist.and.Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","PkPos","PkSpins","PkBllt","PkAud"
1,"=","KATY PERRY E.T.",13466,-20,-613,98,91.251,0.083,15,1,14624,0,96.745
2,"=","BLACK EYED PEAS Just Can't Get Enough",13285,-13,-73,-113,83.536,-0.433,15,2,13366,715,84.474
3,"=","ADELE Rolling In The Deep",13166,238,1556,36,87.599,1.812,15,3,13166,2273,87.599
4,"=","BRITNEY SPEARS Till The World Ends",11823,-14,154,-78,75.178,-0.149,15,3,11896,966,75.819
5,"=","JENNIFER LOPEZ F/PITBULL On The Floor",10145,27,311,-11,64.627,-0.33,15,5,10145,668,65.118
6,"=","BRUNO MARS Lazy Song",10123,131,1043,-11,58.248,1.119,15,6,10123,1054,58.248
7,"=","TINIE TEMPAH Written In The Stars",8577,-49,-242,-109,48.893,-0.947,15,7,8819,756,54.175
8,"=","PITBULL Give Me Everything f/Ne-Yo",7762,197,1811,3,54.491,1.461,15,8,7762,1811,54.491
9,"=","KE$HA Blow",7267,-185,-1120,12,42.554,-0.61,15,4,10135,0,56.264
10,"=","RIHANNA S&M",6815,-155,-1166,94,42.759,-1.214,15,5,10081,0,64.524
11,"+1","THE SCRIPT For The First Time",6186,-12,64,-20,33.097,0.011,15,11,6229,433,33.625
12,"-1","JEREMIH Down On Me f/50 Cent",6082,-136,-1556,33,34.676,-1.099,15,10,8052,153,44.2
13,"=","JESSIE J Price Tag f/B.O.B",5942,47,109,35,30.352,0.036,15,12,5942,582,30.453
14,"=","LUPE FIASCO The Show Goes On",5696,77,803,-45,36.069,0.374,15,14,5696,1005,36.069
15,"=","CEE LO GREEN F**k You (Forget You)",4904,-29,-469,53,28.807,-0.107,15,11,5830,0,32.865
16,"=","LADY GAGA The Edge Of Glory",4586,206,2084,-109,27.676,1.152,15,16,4586,2193,27.676
17,"=","NEW BOYZ Back Seat f/Cataracs & Dev",4088,49,267,39,21.072,0.207,15,17,4088,331,21.072
18,"+1","SELENA GOMEZ & THE SCENE Who Says",4012,63,487,-40,23.987,0.523,15,18,4012,707,23.987
19,"+1","WIZ KHALIFA Roll Up",3964,102,613,45,21.411,0.402,15,19,3964,725,21.411
20,"-2","PINK F**kin' Perfect (Perfect)",3907,-68,-853,-3,21.044,0.121,15,14,5394,0,27.986
21,"=","HOT CHELLE RAE Tonight Tonight",3642,42,486,-35,17.329,0.102,15,20,3642,643,17.329
22,"=","ONEREPUBLIC Good Life",3372,32,390,-62,17.285,0.076,15,21,3372,580,17.285
23,"=","MARTIN SOLVEIG & DRAGONETTE Hello",3236,32,335,-79,20.5,0.118,15,23,3236,605,20.588
