"","Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","PkPos","PkSpins","PkBllt","PkAud"
"1",1,"=","ADELE Rolling In The Deep",13913,-92,-261,-66,90.974,-0.111,43,1,14295,2273,96.15
"2",2,"=","PITBULL Give Me Everything f/Ne-Yo",13144,89,1168,-114,89.028,0.819,43,2,13144,1811,89.028
"3",3,"=","BRUNO MARS Lazy Song",10795,-160,-396,-124,54.259,-1.539,43,3,11422,1054,61.587
"4",4,"=","KATY PERRY E.T.",10147,-128,-1009,-15,74.915,-0.368,43,1,14624,0,96.745
"5",5,"+1","LADY GAGA The Edge Of Glory",10146,171,1327,-29,62.185,-0.068,43,5,10146,2193,62.253
"6",6,"-1","BLACK EYED PEAS Just Can't Get Enough",10017,-164,-1030,35,66.701,-0.933,43,2,13366,715,84.474
"7",7,"=","LMFAO Party Rock Anthem",8569,288,1744,42,59.419,1.571,43,7,8569,1744,59.419
"8",8,"=","LUPE FIASCO The Show Goes On",8263,38,611,-71,51.317,0.464,43,8,8263,1043,51.317
"9",9,"=","BRITNEY SPEARS Till The World Ends",7915,-201,-1419,-14,50.313,-0.835,43,3,11896,966,75.819
"10",10,"=","JENNIFER LOPEZ F/PITBULL On The Floor",6666,-262,-1443,-60,42.853,-1.087,43,5,10169,668,65.118
"11",11,"=","JASON DERULO Don't Wanna Go Home",6509,95,697,19,37.039,0.423,41,11,6509,1463,37.039
"12",12,"=","KATY PERRY Last Friday Night (T.G.I.F.)",5936,256,1834,-20,38.484,1.145,26,12,5936,2124,38.484
"13",13,"=","HOT CHELLE RAE Tonight Tonight",5648,136,568,99,28.965,0.614,43,12,5648,643,28.965
"14",14,"=","ONEREPUBLIC Good Life",5358,68,568,-30,28.198,0.477,43,14,5358,604,28.198
"15",15,"=","NICKI MINAJ Super Bass",5337,141,1034,-32,33.147,0.576,43,15,5337,1188,33.147
"16",16,"=","WIZ KHALIFA Roll Up",4923,-51,-57,-87,25.11,-0.531,43,14,5043,725,26.478
"17",17,"+1","SELENA GOMEZ & THE SCENE Who Says",4492,-45,81,-35,25.979,-0.965,43,17,4559,707,27.282
"18",18,"-1","TINIE TEMPAH Written In The Stars",4375,-238,-1298,-84,24.895,-1.03,43,7,8819,756,54.175
"19",19,"=","MARTIN SOLVEIG & DRAGONETTE Hello",3987,-44,2,-49,23.566,-0.008,43,19,4031,605,23.574
"20",20,"=","ENRIQUE IGLESIAS Dirty Dancer f/Usher/Li...",3787,11,163,-34,21.685,-0.033,41,20,3787,864,21.718
"21",21,"=","TAYLOR SWIFT The Story Of Us",3217,31,84,44,17.236,0.164,43,21,3217,587,17.236
"22",22,"=","JEREMIH Down On Me f/50 Cent",3007,-14,-437,68,18.461,0.016,43,10,8052,153,44.2
"23",23,"+1","NICOLE SCHERZINGER Right There",2992,94,644,-6,15.799,0.461,27,23,2992,720,15.799
"24",24,"-1","RIHANNA California King Bed",2967,65,412,38,14.846,0.368,38,23,2967,616,14.846
"25",25,"=","DAVID GUETTA/FLO RIDA/NICKI M. Where The...",2751,76,412,54,13.87,0.172,43,25,2751,525,13.87
"26",26,"=","THE BAND PERRY If I Die Young",2740,79,595,-11,13.23,0.565,43,26,2740,655,13.23
"27",27,"=","JESSIE J Price Tag f/B.O.B",2362,-152,-1289,58,11.585,-0.7,43,12,5959,582,30.453
"28",28,"=","MAROON 5 Never Gonna Leave This Bed",2030,6,220,-24,8.487,0.033,43,28,2030,312,8.487
"29",29,"+2","BEYONCE Best Thing I Never Had",1827,122,757,5,9.584,0.773,15,29,1827,856,9.584
"30",30,"-1","LADY GAGA Born This Way",1770,-35,-175,-33,10.727,0.126,43,19,3651,0,20.436
"31",31,"-1","NEW BOYZ Back Seat f/Cataracs & Dev",1677,-68,-903,95,9.151,-0.323,43,17,4096,331,21.342
"32",32,"+1","BRITNEY SPEARS I Wanna Go",1539,217,993,133,10.747,1.277,9,32,1539,993,10.747
"33",33,"-1","CHRIS BROWN She Ain't You",1466,49,290,20,7.069,0.53,32,32,1466,337,7.069
"34",34,"+1","T-PAIN Best Love Song f/Chris Brown",1253,23,251,-6,6.378,0.122,41,34,1253,260,6.378
"35",35,"-1","CHRIS BROWN Look At Me Now",1249,-40,-68,-45,9.224,-0.331,43,28,1861,229,12.746
"36",36,"=","LIL WAYNE How To Love",1186,74,379,39,5.392,0.692,18,36,1186,379,5.392
"37",37,"+1","JENNIFER LOPEZ I'm Into You f/Lil Wayne",1040,76,381,33,5.446,0.172,18,37,1040,381,5.446
"38",38,"-1","AVRIL LAVIGNE Smile",1021,39,170,10,2.999,0.256,25,37,1021,226,2.999
"39",39,"=","IYAZ Pretty Girls",904,17,235,-10,3.24,-0.006,18,39,904,271,3.246
"40",40,"+3","CEE LO GREEN Bright Lights Bigger City",794,39,124,30,2.778,0.086,24,40,794,125,2.778
"41",41,"+1","STEVEN TYLER (It) Feels So Good",748,-45,-155,-45,2.812,-0.225,32,40,903,326,3.408
"42",42,"-2","SHONTELLE Say Hello To Goodbye",741,-99,-815,-2,2.565,-0.269,43,29,1775,174,5.629
"43",43,"-2","NEON TREES Your Surrender",733,-78,-265,-68,1.854,-0.2,43,36,1091,173,2.732
"44",44,"+1","COBRA STARSHIP You Make Me Feel... f/Sab...",633,33,161,7,2.058,0.113,9,44,633,214,2.105
"45",45,"-1","BIG SEAN My Last f/Chris Brown",623,10,141,-28,2.457,0.035,18,44,623,169,2.457
"46",46,"=","ALL TIME LOW I Feel Like Dancin�",595,50,237,41,1.711,0.054,4,46,595,237,1.711
"47",47,"=","TRAIN Save Me San Francisco",496,4,-1,6,1.852,-0.015,23,45,509,92,2.155
