"","Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
"1",1,"=","KELLY CLARKSON Stronger (What Doesn't Ki...",13476,30,385,-75,86.181,0.209,66,"5",1,13476,2321,86.181
"2",2,"=","ADELE Set Fire To The Rain",12727,-155,-741,-46,85.926,-1.027,110,"11",1,13928,2301,91.812
"3",3,"=","DAVID GUETTA Turn Me On f/Nicki Minaj",11892,-12,184,-134,76.007,0.062,94,"15",3,11904,1674,76.007
"4",4,"=","JESSIE J Domino",10039,-204,-1483,-57,56.667,-0.905,180,"25",2,12024,1524,67.403
"5",5,"=","GYM CLASS HEROES Ass Back Home",9476,76,597,-15,59.377,0.258,111,"20",5,9476,1379,59.377
"6",6,"=","WANTED Glad You Came",9403,137,984,0,58.656,1.183,66,"2",6,9403,1330,58.656
"7",7,"=","PITBULL F/CHRIS BROWN International Love",8894,-117,-197,-152,56.491,-0.354,132,"21",5,9155,1086,56.845
"8",8,"=","FLO RIDA Good Feeling",8184,-98,-851,62,53.127,-1.31,171,"29",1,13154,1657,85.747
"9",9,"=","KATY PERRY Part Of Me",7927,120,845,-67,49.599,0.589,30,"9",9,7927,3625,49.599
"10",10,"=","RIHANNA We Found Love f/Calvin Harris",7199,-73,-951,99,50.78,-0.591,171,"39",1,14238,2184,95.593
"11",11,"=","WIZ KHALIFA/SNOOP DOGG Young, Wild & Fre...",7154,-9,274,-96,44.096,0.154,111,"13",10,7163,1174,44.096
"12",12,"=","DRAKE Take Care f/Rihanna",6275,117,497,96,47.37,0.464,67,"14",12,6275,1220,47.37
"13",13,"+2","CALVIN HARRIS Feel So Close",5677,92,1226,-80,38.796,0.491,34,"12",13,5677,1329,38.796
"14",14,"-1","OUTASIGHT Tonight Is The Night",5664,-2,163,-24,30.403,0.111,134,"37",13,5666,572,30.403
"15",15,"-1","BRUNO MARS It Will Rain",5591,-43,-515,29,30.823,-0.164,163,"58",1,13635,2024,86.477
"16",16,"=","GAVIN DEGRAW Not Over You",5137,-99,-879,52,27.901,-0.869,202,"42",10,7039,547,37.933
"17",17,"=","NICKI MINAJ Starships",4913,101,888,-21,29.635,0.288,29,"6/65",17,4913,1834,29.635
"18",18,"+1","FUN. We Are Young f/Janelle Monae",4520,268,1806,-4,34.944,2.347,21,"1",18,4520,1810,34.944
"19",19,"-1","CHRIS BROWN Turn Up The Music",4460,1,268,-45,25.072,-0.045,42,"22",18,4460,987,25.165
"20",20,"=","FLO RIDA Wild Ones f/Sia",3967,102,674,-32,28.382,0.535,39,"3",20,3967,973,28.382
"21",21,"=","TRAIN Drive By",3425,18,407,-71,15.684,0.362,59,"8",21,3425,527,15.684
"22",22,"=","KARMIN Broken Hearted",2873,54,563,-74,15.81,0.599,24,"56",22,2873,928,15.81
"23",23,"=","ONE DIRECTION What Makes You Beautiful",2574,196,1185,84,13.957,0.823,14,"10",23,2574,1185,13.957
"24",24,"=","COLDPLAY Princess Of China",2042,7,50,5,9.115,-0.046,109,"48",24,2042,363,9.624
"25",25,"+1","CHRISTINA PERRI A Thousand Years",1879,-3,193,-45,8.693,-0.143,69,"28",25,1882,280,8.836
"26",26,"+1","B.O.B So Good",1738,76,702,-45,15.543,0.577,11,"27",26,1738,826,15.543
"27",27,"-2","LMFAO Sorry For Party Rocking",1736,-221,-1715,-56,6.458,-0.743,64,"64",19,3980,1009,16.853
"28",28,"=","JAY Z & KANYE WEST N***** In Paris",1601,-39,-259,14,10.155,-0.194,129,"40",15,5155,785,36.602
"29",29,"=","RIHANNA Talk That Talk f/Jay Z",1589,45,302,-5,8.063,0.304,36,"50",29,1589,317,8.063
"30",30,"=","JASON DERULO Breathing",1441,8,21,-3,4.717,-0.006,39,"190",30,1448,432,5.108
"31",31,"+1","DEV & ENRIQUE IGLESIAS Naked",1384,31,172,12,5.752,0.445,53,"174",31,1384,318,5.752
"32",32,"-1","J. COLE Workout",1348,-15,-457,39,11.165,-0.14,142,"93",12,5803,659,35.209
"33",33,"=","TYGA Rack City",1257,8,47,1,5.408,0.194,47,"19",32,1257,287,8.937
"34",34,"=","GOTYE Somebody That I Used To Know",1204,72,413,28,8.377,0.713,13,"4",34,1204,413,8.377
"35",35,"=","ADELE Rumour Has It",1152,59,459,-4,6.22,0.458,10,"36",35,1152,475,6.22
"36",36,"=","HAVANA BROWN We Run The Night f/Pitbull",1089,11,177,-20,8.514,0.161,31,"78",35,1089,237,8.514
"37",37,"=","DRAKE The Motto f/Lil Wayne",1029,18,130,-9,7.714,0.242,24,"17",36,1029,237,8.682
"38",38,"=","ELLIE GOULDING Lights",993,19,108,-1,3.988,0.132,33,"88",38,993,201,3.988
"39",39,"=","K'NAAN F/NELLY FURTADO Is Anybody Out Th...",951,15,356,-69,5.287,0,10,"326",39,951,461,5.287
"40",40,"=","ALL-AMERICAN REJECTS Beekeeper's Daughte...",763,5,38,-1,2.037,0.025,25,"766",40,763,204,2.037
"41",41,"=","CHIDDY BANG Ray Charles",711,11,78,5,2.02,0.139,26,"397",41,711,150,2.02
