"","Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
"1",1,"=","GOTYE Somebody That I Used To Know",14001,-39,145,-46,106.08,-0.739,98,"3",1,14242,2018,106.819
"2",2,"=","CARLY RAE JEPSEN Call Me Maybe",13295,225,1693,-18,103.217,1.693,88,"1",2,13295,1711,103.217
"3",3,"=","ONE DIRECTION What Makes You Beautiful",11773,-65,346,-157,78.683,0.345,99,"10",3,11838,1579,78.683
"4",4,"+1","MAROON 5 Payphone f/Wiz Khalifa",11499,131,1442,-92,84.354,0.725,52,"4",4,11499,3415,84.354
"5",5,"-1","NICKI MINAJ Starships",11322,-107,-497,-46,84.41,-1.244,114,"24/45",3,12071,1834,87.938
"6",6,"=","FUN. We Are Young f/Janelle Monae",11068,-294,-1152,-241,79.873,-1.777,106,"9",1,14439,2738,110.772
"7",7,"=","FLO RIDA Wild Ones f/Sia",9202,-69,-1376,261,74.378,-1.02,124,"14",2,12595,1940,93.589
"8",8,"=","WANTED Glad You Came",8173,-103,-571,22,62.829,-0.478,151,"29",1,13712,1363,101.962
"9",9,"=","JUSTIN BIEBER Boyfriend",7569,82,611,-11,49.271,0.746,73,"11",9,7937,4726,51.492
"10",10,"=","USHER Scream",7495,62,646,52,51.298,0.076,42,"13",9,7495,2323,51.298
"11",11,"=","RIHANNA Where Have You Been",7415,119,853,64,57.872,1.345,53,"8",11,7415,1884,57.872
"12",12,"=","KARMIN Broken Hearted",7266,29,548,-40,47.276,0.223,109,"19",10,7266,936,47.276
"13",13,"=","ELLIE GOULDING Lights",6226,137,703,75,41.094,0.877,118,"16",13,6226,786,41.094
"14",14,"=","TRAIN Drive By",5798,-68,-252,-35,34.391,-0.598,144,"26",13,6123,601,36.311
"15",15,"=","PITBULL Back In Time",5625,27,285,1,35.421,0.562,70,"7",15,5625,925,35.421
"16",16,"+1","DAVID GUETTA Titanium f/Sia",5234,149,987,58,36.032,0.716,60,"17",16,5234,987,36.032
"17",17,"+1","KATY PERRY Wide Awake",5190,225,2452,-160,37.073,1.905,16,"5",17,5190,2824,37.073
"18",18,"-2","KATY PERRY Part Of Me",5040,-82,-679,34,38.173,-1.237,115,"55",3,12039,3625,78.553
"19",19,"=","GYM CLASS HEROES Fighter f/Ryan Tedder",4959,104,882,-5,31.242,1.052,38,"27",18,4959,1441,31.242
"20",20,"=","ADELE Rumour Has It",4237,-148,-989,19,28.022,-0.661,95,"47",8,8497,1514,56.313
"21",21,"=","CALVIN HARRIS Feel So Close",4104,-107,-462,-84,28.053,-0.409,119,"42",7,8145,1329,55.352
"22",22,"=","DEMI LOVATO Give Your Heart A Break",3700,-7,233,-33,25.406,0.199,99,"31",21,3707,665,25.406
"23",23,"=","DRAKE Take Care f/Rihanna",3099,-87,-247,-86,25.791,-0.593,152,"99",8,7620,1220,60.618
"24",24,"=","HAVANA BROWN We Run The Night f/Pitbull",2832,-16,121,-50,22.158,-0.413,116,"38",24,2848,278,22.571
"25",25,"+1","ONE DIRECTION One Thing",2668,99,946,-29,14.701,0.431,32,"49",25,2668,975,14.701
"26",26,"-1","CALVIN HARRIS Let's Go f/Ne-Yo",2663,3,629,-98,20.761,0.171,40,"65",25,2663,836,20.761
"27",27,"=","RITA ORA How We Do (Party)",2532,4,254,-22,14.092,0.129,42,"107",25,2532,620,14.092
"28",28,"=","KIRKO BANGZ Drank In My Cup",1790,11,185,-15,8.874,0.207,65,"76",28,1790,312,8.874
"29",29,"=","THE WANTED Chasing The Sun",1542,16,363,-32,11.691,0.104,34,"91",29,1542,423,11.691
"30",30,"=","B.O.B Both Of Us f/Taylor Swift",1527,66,412,40,8.748,0.03,25,"85",30,1527,486,8.748
"31",31,"=","NEON TREES Everybody Talks",1443,21,221,-17,7.877,0.208,59,"28",30,1443,240,7.877
"32",32,"=","GROUPLOVE Tongue Tied",1272,8,160,-10,6.687,0.152,44,"68",32,1272,284,6.687
"33",33,"=","DRAKE The Motto f/Lil Wayne",1236,-12,-94,-17,13.048,0.1,109,"50",25,2047,321,19.147
"34",34,"+2","CHER LLOYD Want U Back",1111,44,327,9,6.165,0.335,26,"110",34,1111,335,6.165
"35",35,"=","JASON MRAZ I Won't Give Up",1092,20,108,-5,5.235,0.099,53,"23",35,1092,210,5.235
"36",36,"-2","CHRIS RENE Young Homie",975,-114,-765,-40,4.275,-0.377,88,"147",25,1933,226,8.787
"37",37,"=","COLDPLAY Paradise",943,3,57,-8,5.97,-0.014,78,"59",37,943,255,5.988
"38",38,"=","OUTASIGHT Now Or Never",763,16,121,9,2.343,0.051,28,"--",38,763,206,2.343
"39",39,"=","SAMMY ADAMS Only One",727,31,198,21,2.693,0.206,19,"--",39,727,230,2.693
"40",40,"+1","JENNIFER LOPEZ Dance Again f/Pitbull",623,-33,-550,50,3.861,-0.096,69,"52",17,4851,2243,30.831
"41",41,"-1","HOT CHELLE RAE Honestly",586,-87,-508,-23,2.896,-0.293,67,"159",30,1339,284,5.972
"42",42,"=","NELLY FURTADO Big Hoops (Bigger The Bett...",509,-62,-208,-59,1.551,-0.268,33,"--",40,754,318,2.709
"43",43,"=","ALEX CLARE Too Close",437,22,190,-4,1.104,0.043,9,"53",43,437,194,1.104
"44",44,"=","CHIDDY BANG Mind Your Manners f/Icona Po...",410,8,75,2,1.294,0.019,15,"--",44,410,99,1.294
"45",45,"=","THE CAB La La",399,5,15,14,0.953,-0.001,61,"--",43,401,82,0.995
"46",46,"=","JAY SEAN I'm All Yours f/Pitbull",375,28,144,8,0.807,0.064,7,"115",46,375,205,0.807
"47",47,"=","STEFANO I'm On A Roll f/New Boyz",328,17,128,5,0.607,0.036,4,"--",47,328,128,0.607
"48",48,"+2","FLO RIDA Whistle",319,40,171,26,2.257,0.359,2,"117",48,319,171,2.257
"49",49,"-1","WIZ KHALIFA Work Hard, Play Hard",300,1,14,-14,1.086,0.023,11,"21",48,300,73,1.086
"50",50,"-1","RIHANNA Birthday Cake",298,0,-26,4,1.034,-0.003,66,"87",40,479,116,1.742
