"","Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
"1",1,"=","MAROON 5 F/CHRISTINA AGUILERA Moves Like...",13988,"+17",-103,"+49",91.377,"+0.088",99,"6",1,14127,1893,93.336
"2",2,"+1","GYM CLASS HEROES Stereo Hearts f/Adam Le...",13153,"+196",1024,"+104",80.366,"+0.752",109,"7",2,13153,1685,80.366
"3",3,"-1","ADELE Someone Like You",13135,"+49",746,"-95",90.185,"+0.587",70,"2",2,13135,2614,90.185
"4",4,"=","FOSTER THE PEOPLE Pumped Up Kicks",12063,"-49",219,"-86",70.246,"+0.046",94,"5",3,12112,1356,70.246
"5",5,"=","COBRA STARSHIP You Make Me Feel... f/Sab...",10733,"+15",611,"-156",64.965,"+0.325",124,"9",5,10733,1097,64.965
"6",6,"=","DAVID GUETTA Without You f/Usher",8542,"+270",1257,"+240",52.376,"+1.247",50,"8",6,8542,1586,52.376
"7",7,"+1","LADY GAGA You And I",7680,"+2",34,"-9",44.349,"-0.004",68,"10",7,7680,1553,44.425
"8",8,"-1","BAD MEETS EVIL Lighters f/Bruno Mars",7498,"-333",-1737,"-245",47.35,"-2.907",112,"35",2,11835,1599,78.403
"9",9,"+1","DEV In The Dark",7445,"+160",380,"+202",49.611,"+0.645",79,"15",9,7445,1224,49.611
"10",10,"-1","LMFAO Party Rock Anthem",7343,"-55",-470,"-36",49.67,"+0.026",158,"11",1,14043,1859,94.193
"11",11,"+1","LMFAO Sexy And I Know It",6453,"+162",1043,"+33",41.422,"+1.164",50,"1",11,6453,1530,41.422
"12",12,"-1","PITBULL Give Me Everything f/Ne-Yo",6396,"-51",-474,"+5",43.789,"-0.126",158,"33",1,14233,1811,95.596
"13",13,"+1","NICKI MINAJ Super Bass",6035,"-31",-590,"+63",41.1,"-0.355",158,"13",3,12009,1188,73.23
"14",14,"-1","BRITNEY SPEARS I Wanna Go",5916,"-199",-1374,"+18",38.422,"-1.249",124,"53",1,12853,1768,82.422
"15",15,"=","KATY PERRY Last Friday Night (T.G.I.F.)",5577,"-120",-1131,"+85",30.598,"-0.756",141,"45",1,14935,2322,96.531
"16",16,"=","JASON DERULO It Girl",5553,"+34",309,"+34",27.04,"+0.154",59,"12",16,5553,1048,27.04
