"","Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","Pk","PkSp","PkBl","PkAu"
"1",1,"=","FLO RIDA","My House",17296,"-174",-697,"-36",96.528,"-0.558",159,"3",1,18123,2285,104.909
"2",2,"=","TWENTY ONE PILOTS","Stressed Out",15567,"-289",-1195,"-109",101.801,"-0.936",132,"10",1,19140,2702,124.646
"3",3,"=","SELENA GOMEZ","Hands To Myself",15482,"-108",349,"-310",87.613,"-0.673",83,"33",3,15590,1952,89.574
"4",4,"=","JUSTIN BIEBER","Love Yourself",14992,"-115",-909,"+61",105.691,"+0.140",113,"13",1,19000,4103,124.28
"5",5,"=","G-EAZY","Me Myself And I f/Bebe Rexha",14811,"+112",1044,"-63",84.036,"-0.359",79,"16",5,14811,1836,84.395
"6",6,"=","DNCE","Cake By The Ocean",13897,"+173",1185,"+108",87.426,"+0.612",178,"11",6,13897,1185,87.426
"7",7,"=","ZAYN","Pillowtalk",12202,"+123",978,"-103",76.372,"+0.293",57,"15/42",7,12202,2441,76.372
"8",8,"=","MIKE POSNER","I Took A Pill In Ibiza",11489,"+164",1073,"-67",66.714,"+0.651",71,"7",8,11489,1578,66.714
"9",9,"=","RIHANNA","Work f/Drake",11375,"+89",475,"+34",66.143,"+0.105",59,"5/73",8,11375,3999,66.143
"10",10,"+1","MEGHAN TRAINOR","NO",9458,"+139",1725,"-236",55.215,"+0.667",22,"1",10,9458,5498,55.215
"11",11,"-1","THE CHAINSMOKERS","Roses f/Rozes",9265,"-277",-2188,"+126",54.188,"-0.648",181,"31",3,14687,2023,83.872
"12",12,"=","CHARLIE PUTH","One Call Away",8403,"-281",-1037,"-291",44.153,"-1.184",138,"14",10,9491,931,51.298
"13",13,"=","LUKAS GRAHAM","7 Years",8289,"+130",1188,"-79",46.838,"+0.570",69,"2",13,8289,1392,46.838
"14",14,"=","ZARA LARSSON & MNEK","Never Forget You",7868,"+15",756,"-169",45.021,"+0.168",52,"9",14,7868,1534,45.021
"15",15,"=","FIFTH HARMONY","Work From Home",7364,"+95",1007,"-75",38.185,"+0.411",29,"4",15,7364,4059,38.185
"16",16,"=","DJ SNAKE","Middle f/Bipolar Sunshine",6687,"+60",438,"-28",35.344,"+0.307",69,"17",16,6687,1239,35.344
"17",17,"=","TAYLOR SWIFT","New Romantics",5856,"+3",573,"-131",28.403,"+0.151",31,"19",17,5856,2558,28.403
"18",18,"=","ARIANA GRANDE","Dangerous Woman",5644,"+69",2138,"+835",29.564,"-0.049",15,"8",18,5644,4214,33.464
"19",19,"=","JUSTIN BIEBER","Company",5442,"-9",930,"-223",26.204,"-0.007",27,"105",19,5451,2006,26.211
"20",20,"+1","THE WEEKND","In The Night",4913,"-136",-708,"-112",29.452,"-0.583",135,"166",3,15760,3011,89.68
"21",21,"-1","ROBIN SCHULZ","Sugar f/Francesco Yates",4864,"-300",-1955,"-40",29.114,"-1.236",120,"82",13,7836,1193,44.484
"22",22,"=","TROYE SIVAN","Youth",4691,"+13",478,"-67",17.951,"+0.012",83,"36",22,4691,660,17.951
"23",23,"=","ALESSIA CARA","Wild Things",3981,"-33",165,"-114",15.687,"-0.147",55,"56",23,4014,814,15.944
"24",24,"=","ELLIE GOULDING","Something In The Way You Move",3304,"-223",-2599,"+258",11.948,"-0.921",78,"158",14,7731,1673,38.605
"25",25,"=","SHAWN HOOK","Sound Of Your Heart",3163,"+22",163,"-10",10.434,"-0.109",76,"130",25,3163,576,10.588
"26",26,"=","GWEN STEFANI","Make Me Like You",2849,"-13",234,"-53",9.353,"-0.112",37,"64",26,2862,1040,9.508
"27",27,"+1","JAMES BAY","Let It Go",2176,"+17",238,"-24",9.174,"-0.021",34,"21",27,2176,885,9.368
