"","Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
"1",1,"=","AVICII","Wake Me Up",16777,-50,220,-6,116.402,-0.575,99,"8",1,17010,2103,116.977
"2",2,"=","LORDE","Royals",16245,-55,122,154,112.096,0.339,83,"5",1,16495,2817,112.096
"3",3,"=","MILEY CYRUS","Wrecking Ball",15150,101,1342,-50,104.497,0.95,53,"10",3,15150,2954,104.497
"4",4,"=","KATY PERRY","Roar",13008,-169,-1497,275,97.832,-0.712,84,"6",1,17176,6098,117.145
"5",5,"=","LADY GAGA","Applause",11766,55,513,102,77.605,-0.414,83,"17",5,11766,3922,80.17
"6",6,"=","DRAKE","Hold On We're Goi...",11451,96,687,181,72.25,0.07,84,"12",6,11451,1610,72.25
"7",7,"=","SELENA GOMEZ","Slow Down",9197,95,896,-81,54.082,-0.006,77,"38",7,9197,1167,54.088
"8",8,"=","JAY Z","Holy Grail f/Just...",8648,-405,-1901,-134,60.839,-1.9,122,"23",4,11700,2095,78.442
"9",9,"=","PARAMORE","Still Into You",8143,44,336,69,48.47,0.018,178,"30",9,8143,961,48.47
"10",10,"=","IMAGINE DRAGONS","Demons",7815,291,1954,160,51.505,1.72,63,"11",10,7815,1954,51.505
"11",11,"=","BRUNO MARS","Gorilla",7248,-16,275,-33,35.279,-0.452,55,"32",10,7264,1872,38.774
"12",12,"=","LANA DEL REY","Summertime Sadnes...",6321,-90,-1682,500,42.258,-0.456,123,"57/72",2,13737,1923,88.403
"13",13,"=","JUSTIN TIMBERLAKE","TKO",6028,23,475,22,31.853,-0.126,40,"67",13,6028,1724,31.979
"14",14,"=","KATY PERRY","Unconditionally",5476,124,1955,-391,35.757,1.105,15,"19",14,5476,3384,35.757
"15",15,"=","TAYLOR SWIFT","Everything Has .....",4857,-99,-524,-48,22.926,-0.993,112,"58",14,5693,990,31.815
"16",16,"=","JASON DERULO","Marry Me",4842,96,599,39,25.012,0.6,50,"20",16,4842,856,25.012
"17",17,"+1","TEGAN & SARA","Closer",4421,61,112,109,20.862,-0.102,140,"93",17,4451,570,22.41
"18",18,"-1","BRITNEY SPEARS","Work Bitch",4196,-319,-1235,-318,17.741,-2.009,49,"40",13,5635,3487,31.994
"19",19,"+1","ZEDD","Stay The Night f/...",4136,170,1182,47,29.675,1.255,35,"49",19,4136,1182,29.675
"20",20,"+1","NEIGHBOURHOOD","Sweater Weather",4035,112,760,71,17.566,0.566,127,"22",20,4035,760,17.566
"21",21,"+1","RIHANNA","What Now",3786,99,656,87,16.515,0.523,43,"108",21,3786,821,16.515
"22",22,"-3","ROBIN THICKE","Give It 2 U f/Ken...",3757,-268,-1576,-140,15.796,-1.671,91,"92",12,6339,1340,33.892
"23",23,"=","TRAVIE MCCOY","Rough Water f/Jas...",3515,77,643,4,20.072,0.351,41,"74",22,3515,705,20.072
