"","Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","Pk","PkSp","PkBl","PkAu"
"1",1,"=","PHARRELL WILLIAMS","Happy",17081,21,18,54,119.762,-0.17,80,"1",1,17173,2414,120.293
"2",2,"=","JASON DERULO","Talk Dirty f/2 Chainz",15755,103,776,-2,102.961,1.313,100,"8/21",2,15755,2775,102.961
"3",3,"=","JOHN LEGEND","All Of Me",15483,216,1457,-105,111.761,1.083,69,"2",3,15483,2520,111.761
"4",4,"=","KATY PERRY","Dark Horse",14478,-26,-445,26,107.199,-0.36,137,"5",1,17515,2780,123.167
"5",5,"=","LORDE","Team",12817,-356,-1575,-97,88.775,-0.864,136,"28",1,16451,1641,108.342
"6",6,"=","BASTILLE","Pompeii",12215,-435,-1856,-278,84.512,-1.445,151,"12",3,15079,1804,100.897
"7",7,"=","DEMI LOVATO","Neon Lights",9441,185,622,122,55.072,0.618,131,"70",7,9441,967,55.072
"8",8,"=","AMERICAN AUTHORS","Best Day Of My Life",9170,138,825,-16,57.349,1.099,120,"13",8,9170,1116,57.349
"9",9,"=","ALOE BLACC","The Man",8965,-31,339,-134,42.849,-0.282,76,"9",8,8996,1722,43.362
"10",10,"=","JUSTIN TIMBERLAKE","Not A Bad Thing",8545,180,873,32,54.689,0.34,44,"11",10,8545,2024,54.689
"11",11,"=","AVICII","Hey Brother",8189,70,420,-1,49.367,0.217,124,"20",10,8189,816,49.367
"12",12,"=","MARTIN GARRIX","Animals",7083,54,583,-22,43.287,0.343,128,"26",12,7083,993,43.287
"13",13,"=","THE CHAINSMOKERS","#Selfie",6165,12,372,41,28.593,-0.355,50,"14",13,6173,1709,33.093
"14",14,"=","NAUGHTY BOY","La La La f/Sam Smith",6144,154,764,69,33.525,0.798,86,"36",14,6144,764,33.525
"15",15,"=","PARAMORE","Ain't It Fun",5824,77,652,-122,34.857,0.401,59,"22",15,5824,978,34.857
"16",16,"=","RIXTON","Me And My Broken Heart",5141,168,1153,50,27.679,0.967,37,"53",16,5141,1397,27.679
"17",17,"=","CASH CASH","Take Me Home f/Bebe Rexha",4157,-334,-1933,-221,24.347,-1.913,142,"118",13,6726,1074,37.25
"18",18,"+1","AUSTIN MAHONE","Mmm Yeah f/Pitbull",3957,-6,584,-180,17.576,0.092,63,"30",18,3963,764,17.576
"19",19,"+1","MKTO","Classic",3935,25,503,-18,17.867,0.156,128,"27",19,3935,570,17.867
"20",20,"+1","TIESTO","Red Lights",3922,193,842,158,25.037,0.818,46,"116",20,3922,842,25.037
"21",21,"-3","BEYONCE","Drunk In Love f/Jay Z",3917,-458,-2256,-235,21.99,-1.89,79,"52",12,7095,1663,41.601
"22",22,"+1","PITBULL","Wild Wild Love f/GRL",3676,111,970,-28,25.473,1.01,37,"47",22,3676,1033,25.473
"23",23,"-1","KID INK","Show Me f/Chris Brown",3491,-98,-446,-114,19.474,-0.175,93,"54",19,3945,644,21.33
"24",24,"=","DJ SNAKE & LIL JON","Turn Down For What",3394,64,478,4,21.386,0.219,79,"10",24,3394,478,21.386
"25",25,"=","EMINEM","Headlights",2681,53,344,29,13.881,0.359,52,"79",25,2681,453,13.881
"26",26,"=","B.O.B","John Doe f/Priscilla",2368,70,-8,72,12.494,-0.094,49,"56",26,2378,644,12.96
"27",27,"+1","DISCLOSURE","Latch f/Sam Smith",2180,21,188,10,8.915,0.108,65,"76",27,2180,344,8.915
"28",28,"-1","A GREAT BIG WORLD","Say Something w/C. Aguilera",2164,-75,-401,76,13.169,-0.774,137,"49",7,10605,1506,64.936
"29",29,"=","NEON TREES","Sleeping With A Friend",2149,114,393,129,10.897,0.502,62,"66",29,2149,489,10.897
