"","Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
"1",1,"=","TAYLOR SWIFT","I Knew You Were Troubl...",16019,-35,7,-95,125.513,-0.747,86,"13",1,16073,2452,126.481
"2",2,"=","SWEDISH HOUSE MAFIA","Don't You Worry Child",14023,181,757,81,109.568,1.615,157,"23",2,14023,1905,109.568
"3",3,"=","WILL.I.AM & BRITNEY SP...","Scream And Shout",12468,108,1040,-30,99.18,1.077,80,"12",3,12468,2182,99.18
"4",4,"+2","MACKLEMORE & RYAN LEWI...","Thrift Shop f/Wanz",11056,275,2020,21,85.048,0.685,87,"2",4,11056,2020,85.048
"5",5,"-1","BRUNO MARS","Locked Out Of Heaven",10909,-86,-797,-42,88.198,-0.729,135,"10",1,15928,2790,124.488
"6",6,"-1","JUSTIN BIEBER","Beauty And A Beat f/N....",10458,-351,-1873,-257,76.703,-1.424,118,"46",2,12731,1998,87.772
"7",7,"=","LUMINEERS","Ho Hey",9770,-117,-954,-1,77.036,-0.67,150,"3",2,13545,1921,101.636
"8",8,"+1","MAROON 5","Daylight",9489,164,1228,-11,68.561,1.054,82,"11",8,9489,1239,68.561
"9",9,"-1","PINK","Try",9367,-40,-453,28,61.238,-0.733,108,"22",6,9909,1515,66.33
"10",10,"=","CALVIN HARRIS","Sweet Nothing f/Floren...",8312,166,878,53,69.011,0.415,90,"26",10,8312,903,69.011
"11",11,"=","KE$HA","C'mon",7697,96,623,51,54.252,0.851,59,"44",11,7697,1547,54.252
"12",12,"=","ALICIA KEYS","Girl On Fire",7010,-110,-631,-105,42.322,-1.302,113,"15/84",9,7658,1171,50.899
"13",13,"=","JUSTIN TIMBERLAKE","Suit & Tie f/JAY Z",6840,-16,-7,-44,45.72,0.116,30,"4",12,6903,6457,59.334
"14",14,"=","KELLY CLARKSON","Catch My Breath",6076,123,607,100,39.48,0.858,110,"37",14,6076,767,39.48
"15",15,"=","IMAGINE DRAGONS","It's Time",5884,146,445,142,40.943,0.584,143,"38",15,5884,833,41.487
"16",16,"=","THE SCRIPT","Hall Of Fame f/will.i....",5485,69,452,-14,30.898,0.801,150,"36",16,5485,564,30.898
"17",17,"=","BRUNO MARS","When I Was Your Man",4950,227,1494,40,36.264,1.46,29,"5",17,4950,1494,36.264
"18",18,"=","RIHANNA","Diamonds",3962,-105,-1373,107,27.394,-0.853,140,"62",2,13317,2812,96.67
"19",19,"=","KE$HA","Die Young",3942,-98,-529,13,36.904,-0.775,141,"89",1,15607,3842,121.911
"20",20,"=","OLLY MURS","Troublemaker f/Flo Rid...",3906,143,578,87,27.088,0.732,58,"42",20,3906,763,27.088
"21",21,"=","PITBULL","Don't Stop The Party",3355,-379,-2209,-122,18.034,-2.076,129,"51",12,6363,675,41.893
"22",22,"=","OF MONSTERS AND MEN","Little Talks",3231,90,427,46,21.347,0.55,87,"34",22,3231,468,21.347
"23",23,"=","ONE DIRECTION","Kiss You",3161,182,1186,40,15.504,0.722,22,"94",23,3161,1186,15.504
"24",24,"=","HUNTER HAYES","Wanted",2966,13,39,-14,18.025,0.221,122,"18",23,2985,368,18.025
"25",25,"=","PITBULL","Feel This Moment",2905,179,1270,65,25.092,0.5,38,"47",25,2905,1270,25.092
