"","Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","Pk","PkSp","PkBl","PkAu"
"1",1,"=","SELENA GOMEZ","Same Old Love",17962,-137,-813,-75,112.424,-1.298,127,"23",1,18836,1774,120.08
"2",2,"=","ALESSIA CARA","Here",17596,-3,775,-140,109.076,0.13,185,"18",2,17599,1489,109.076
"3",3,"=","JUSTIN BIEBER","Sorry",17303,-95,-890,149,115.667,-1.092,90,"6",1,19494,3902,127.324
"4",4,"=","JUSTIN BIEBER","Love Yourself",15036,358,2749,-124,109.754,2.708,47,"1/91",4,15036,4103,109.754
"5",5,"=","THE WEEKND","In The Night",14189,74,655,-169,83.363,0.294,69,"26",4,14189,3011,83.363
"6",6,"=","TWENTY ONE PILOTS","Stressed Out",12832,262,2257,-111,80.277,1.265,66,"2",6,12832,2702,80.277
"7",7,"=","ADELE","Hello",12098,-153,-1945,174,88.875,-1.01,89,"4",1,19167,4705,124.831
"8",8,"=","THE CHAINSMOKERS","Roses f/Rozes",11226,42,700,-222,68.305,0.67,115,"5",8,11226,2023,68.305
"9",9,"=","MEGHAN TRAINOR","Like I'm Gonna Lose You",10894,-288,-1849,-90,62.067,-1.483,205,"20",5,13735,1275,83.171
"10",10,"=","DAYA","Hide Away",9063,127,480,88,51.417,0.813,157,"15",10,9063,883,51.417
"11",11,"=","DEMI LOVATO","Confident",8297,-141,-527,-118,43.305,-0.162,111,"45",9,9049,1761,48.443
"12",12,"=","ONE DIRECTION","Perfect",8195,-127,-338,-64,41.903,-0.406,94,"24",10,8635,1211,42.552
"13",13,"=","SHAWN MENDES & CAMILA CABELLO","I Know What You Did Last...",7757,76,362,-25,39.682,0.217,57,"14",13,7757,1989,39.682
"14",14,"+1","ADELE","When We Were Young",7065,56,685,-180,35.337,0.255,35,"11",14,7065,1962,35.337
"15",15,"+1","DNCE","Cake By The Ocean",6962,178,1010,76,36.023,0.843,112,"13",15,6962,1111,36.023
"16",16,"-2","ELLIE GOULDING","On My Mind",6934,-293,-2395,332,47.357,-1.931,125,"60",4,14332,3457,82.642
