"","Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","Pk","PkSp","PkBl","PkAu"
"1",1,"=","SELENA GOMEZ","Same Old Love",18650,282,1178,266,117.617,1.424,117,"16/54",1,18650,1774,117.617
"2",2,"=","JUSTIN BIEBER","Sorry",18427,124,127,313,122.169,0.353,80,"4",1,19494,3902,127.324
"3",3,"=","ALESSIA CARA","Here",16349,68,944,-92,96.28,0.517,175,"21",3,16349,1467,98.324
"4",4,"=","ADELE","Hello",15004,-451,-1513,-347,103.76,-2.244,79,"3",1,19167,4705,124.831
"5",5,"=","MEGHAN TRAINOR","Like I'm Gonna Lose You",13026,-28,166,-36,75.667,-0.274,195,"14",5,13735,1275,83.171
"6",6,"=","THE WEEKND","In The Night",12679,312,1470,256,74.122,1.915,59,"24",6,12679,3011,74.122
"7",7,"=","ELLIE GOULDING","On My Mind",10835,-352,-1757,-67,69.849,-1.851,115,"33",4,14332,3457,82.642
"8",8,"=","JUSTIN BIEBER","Love Yourself",10728,576,2903,397,75.679,3.505,37,"1/88",8,10728,2930,75.679
"9",9,"=","THE CHAINSMOKERS","Roses f/Rozes",9710,351,1458,245,55.174,2.06,105,"6",9,9710,1619,55.174
"10",10,"=","TWENTY ONE PILOTS","Stressed Out",9467,297,1600,227,56.945,2.541,56,"2",10,9467,1684,56.945
"11",11,"+1","DEMI LOVATO","Confident",8795,-63,230,-155,47.425,0.02,101,"25",9,9049,1761,47.803
"12",12,"-1","SHAWN MENDES","Stitches",8759,-183,-437,-63,64.636,-1.288,233,"12",1,17999,2130,108.715
"13",13,"=","ONE DIRECTION","Perfect",8465,71,424,76,41.381,0.477,84,"22",10,8465,1211,41.381
"14",14,"=","DAYA","Hide Away",8292,140,461,115,45.452,0.931,147,"13",12,8292,851,45.452
"15",15,"=","DRAKE","Hotline Bling",7044,-66,-575,-3,41.721,-0.512,118,"15",2,16016,2377,99.499
"16",16,"=","SHAWN MENDES & CAMILA CABELLO","I Know What You Did Last...",6971,131,797,113,35.472,1.014,47,"7",16,6971,1989,35.472
"17",17,"=","TAYLOR SWIFT","Wildest Dreams",6005,-115,-792,-70,40.635,-0.631,136,"31",1,18848,3531,112.715
"18",18,"+2","ADELE","When We Were Young",5511,204,1470,-36,29.702,1.192,25,"20",18,5511,1506,29.702
"19",19,"-1","DNCE","Cake By The Ocean",5476,152,683,123,25.52,0.998,102,"19",18,5476,683,25.52
"20",20,"-1","JUSTIN BIEBER","What Do You Mean?",5200,-116,-112,-126,45.623,-0.631,135,"17",1,18691,5900,114.523
"21",21,"=","GWEN STEFANI","Used To Love You",4555,-41,-192,10,17.998,-0.023,73,"53",19,5224,1038,22.087
"22",22,"=","ELLE KING","Ex's and Oh's",4432,-69,-487,-56,26.628,-0.524,149,"18",7,12070,1468,71.394
"23",23,"=","CHARLIE PUTH","One Call Away",4408,37,386,-46,19.026,0.343,62,"10",23,4408,819,19.026
"24",24,"=","FALL OUT BOY","Irresistible f/Demi Lovato",3996,46,237,37,16.51,0.028,74,"46",23,3996,560,16.657
"25",25,"=","FLO RIDA","My House",3744,185,644,73,16.538,1.338,83,"5",25,3744,666,16.538
"26",26,"=","JASON DERULO","Get Ugly",3197,35,414,-82,13.321,-0.072,28,"72",26,3197,1110,13.461
"27",27,"=","TORI KELLY","Hollow",3037,21,180,-14,10.855,0.056,63,"137",26,3037,501,10.855
