"Pos","Pos.","Artist","Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"=","KATY PERRY","Wide Awake",13914,107,730,-28,98.446,0.927,67,"3",1,13914,2824,98.446
2,"=","ELLIE GOULDING","Lights",13183,80,1105,-26,95.622,0.351,169,"8",2,13183,1482,95.622
3,"=","MAROON 5","Payphone f/Wiz Khali...",12866,-222,-950,-168,97.252,-0.638,103,"20",1,14353,3415,107.136
4,"=","RIHANNA","Where Have You Been",12751,-119,-170,-100,91.062,-0.949,104,"21",2,12963,1884,95.69
5,"=","CARLY RAE JEPSEN","Call Me Maybe",11236,-128,-1225,38,81.692,-1.021,139,"2",1,14563,1711,111.23
6,"+1","DAVID GUETTA","Titanium f/Sia",9629,168,880,40,65.529,1.07,111,"10",6,9629,1091,65.529
7,"-1","USHER","Scream",9592,76,118,99,67.963,0.133,93,"18",6,9592,2323,68.266
8,"=","GOTYE","Somebody That I Used...",8383,-81,-854,77,56.885,-0.334,149,"14",1,14242,2018,106.819
9,"=","CALVIN HARRIS","Let's Go f/Ne-Yo",8018,91,754,32,53.192,0.542,91,"22",9,8018,1254,53.192
10,"=","DEMI LOVATO","Give Your Heart A Br...",7450,52,363,-19,49.051,0.841,150,"23",10,7450,1250,49.051
11,"=","PINK","Blow Me (One Last Ki...",6397,176,1229,0,42.503,0.973,24,"7",11,6397,2737,42.503
12,"=","CHER LLOYD","Want U Back",6212,98,569,2,37.573,0.584,77,"5",11,6212,1103,37.573
13,"=","FLO RIDA","Whistle",5792,98,1212,-87,40.303,0.813,53,"1",13,5792,1412,40.303
14,"=","HAVANA BROWN","We Run The Night f/P...",5434,-25,240,-92,39.31,-0.333,167,"31",14,5459,544,39.659
15,"=","ONE DIRECTION","One Thing",5207,-74,-213,-130,27.089,-0.43,83,"35",13,5433,975,29.694
16,"=","OWL CITY & CARLY RAE...","Good Time",5157,169,864,137,32.741,0.746,32,"6",16,5157,1961,32.741
17,"=","THE WANTED","Chasing The Sun",4206,70,354,-30,23.797,0.537,85,"34",17,4206,656,23.797
18,"=","NEON TREES","Everybody Talks",3460,104,439,93,22.444,0.786,110,"13",18,3460,510,22.444
