"","Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","PkPos","PkSpins","PkBllt","PkAud"
"1",1,"=","ADELE Rolling In The Deep",14263,"+6",111,"-91",94.251,"-0.353",33,1,14295,2273,96.15
"2",2,"=","KATY PERRY E.T.",11557,"-152",-1207,"-47",78.37,"-1.373",33,1,14624,0,96.745
"3",3,"=","BLACK EYED PEAS Just Can't Get Enough",11529,"-99",-1035,"+10",76.222,"-0.121",33,2,13366,715,84.474
"4",4,"=","BRUNO MARS Lazy Song",11291,"-73",197,"-295",61.241,"-0.346",33,4,11422,1054,61.587
"5",5,"=","PITBULL Give Me Everything f/Ne-Yo",11249,"+173",1628,"-8",79.743,"+1.197",33,5,11249,1811,79.743
"6",6,"=","BRITNEY SPEARS Till The World Ends",10085,"-136",-1027,"-86",65.677,"-1.234",33,3,11896,966,75.819
"7",7,"=","JENNIFER LOPEZ F/PITBULL On The Floor",8645,"-193",-1154,"-138",54.629,"-1.270",33,5,10169,668,65.118
"8",8,"=","LADY GAGA The Edge Of Glory",8137,"+225",1706,"-26",49.007,"+1.591",33,8,8137,2193,49.007
"9",9,"=","LUPE FIASCO The Show Goes On",7375,"+94",633,"+2",43.985,"+0.442",33,9,7375,1043,43.985
"10",10,"=","TINIE TEMPAH Written In The Stars",6216,"-181",-1397,"-112",33.464,"-0.980",33,7,8819,756,54.175
"11",11,"=","LMFAO Party Rock Anthem",6114,"+193",1444,"+5",44.804,"+1.416",33,11,6114,1444,44.804
"12",12,"=","JASON DERULO Don't Wanna Go Home",5608,"+176",885,"+70",31.847,"+1.396",31,12,5608,1463,31.847
"13",13,"=","RIHANNA S&M",4926,"-116",-698,"-147",31.235,"-1.040",33,5,10081,0,64.524
"14",14,"+2","HOT CHELLE RAE Tonight Tonight",4902,"+86",514,"-39",24.631,"+0.775",33,14,4902,643,24.631
"15",15,"=","WIZ KHALIFA Roll Up",4875,"+42",258,"-36",26.126,"+0.014",33,15,4875,725,26.433
"16",16,"-2","KE$HA Blow",4872,"-139",-989,"-117",29.583,"-1.222",33,4,10135,0,56.264
"17",17,"+2","ONEREPUBLIC Good Life",4541,"+68",539,"+17",23.084,"+0.352",33,17,4541,580,23.084
"18",18,"-1","THE SCRIPT For The First Time",4448,"-75",-875,"+25",26.725,"-0.213",33,11,6229,433,33.625
"19",19,"+1","SELENA GOMEZ & THE SCENE Who Says",4392,"-20",-6,"-62",25.334,"-0.258",33,17,4450,707,26.291
"20",20,"-2","JESSIE J Price Tag f/B.O.B",4268,"-210",-1355,"-162",22.064,"-0.597",33,12,5959,582,30.453
"21",21,"=","MARTIN SOLVEIG & DRAGONETTE Hello",3954,"+78",216,"+30",21.401,"+0.450",33,21,3954,605,21.932
"22",22,"+1","NICKI MINAJ Super Bass",3788,"+163",941,"+109",23.033,"+1.420",33,22,3788,941,23.033
"23",23,"-1","JEREMIH Down On Me f/50 Cent",3693,"-96",-792,"+57",22.33,"-0.303",33,10,8052,153,44.2
"24",24,"=","ENRIQUE IGLESIAS Dirty Dancer f/Usher/Li...",3475,"+41",450,"-125",19.94,"+0.083",31,24,3475,864,19.94
"25",25,"+2","KATY PERRY Last Friday Night (T.G.I.F.)",3191,"+317",1749,"+168",20.143,"+2.049",16,25,3191,1749,20.143
"26",26,"-1","NEW BOYZ Back Seat f/Cataracs & Dev",3115,"-148",-924,"-138",17.452,"-0.806",33,17,4096,331,21.342
"27",27,"-1","TAYLOR SWIFT The Story Of Us",3092,"+8",177,"-50",15.69,"+0.228",33,24,3104,587,15.69
"28",28,"=","RIHANNA California King Bed",2437,"+81",398,"+29",12.414,"+0.471",28,28,2437,616,12.414
"29",29,"=","DAVID GUETTA/FLO RIDA/NICKI M. Where The...",2243,"+70",362,"+1",10.856,"+0.488",33,29,2243,525,10.856
"30",30,"=","LADY GAGA Born This Way",2047,"-101",-500,"-126",11.122,"-0.559",33,19,3651,0,20.436
"31",31,"=","NICOLE SCHERZINGER Right There",2024,"+117",588,"-10",11.625,"+0.539",17,31,2024,697,11.625
"32",32,"=","THE BAND PERRY If I Die Young",1890,"+88",633,"+52",8.467,"+0.559",33,32,1890,633,8.467
"33",33,"=","MAROON 5 Never Gonna Leave This Bed",1748,"+10",158,"-24",6.835,"-0.033",33,31,1748,312,6.868
"34",34,"=","SHONTELLE Say Hello To Goodbye",1699,"-20",-55,"-44",5.536,"+0.019",33,29,1775,174,5.629
"35",35,"=","CHRIS BROWN Look At Me Now",1316,"-42",-217,"+4",9.335,"+0.007",33,28,1861,229,12.746
"36",36,"+1","CHRIS BROWN She Ain't You",1064,"+68",269,"+31",6.191,"+0.260",22,36,1064,269,6.191
"37",37,"-1","NEON TREES Your Surrender",1040,"-17",-14,"-47",2.537,"-0.043",33,36,1091,173,2.732
"38",38,"=","THE READY SET Young Forever",928,"-24",-117,"-34",2.206,"-0.034",33,35,1045,107,2.59
"39",39,"=","T-PAIN Best Love Song f/Chris Brown",921,"+8",88,"-34",4.383,"+0.140",31,39,921,151,4.383
"40",40,"=","STEVEN TYLER (It) Feels So Good",885,"+14",69,"-15",3.382,"+0.057",22,40,885,326,3.408
"41",41,"+1","AVRIL LAVIGNE Smile",775,"+31",142,"+5",2.176,"+0.157",15,41,775,226,2.176
"42",42,"+2","LIL WAYNE How To Love",711,"+73",337,"+27",2.856,"+0.272",8,42,711,337,2.856
"43",43,"-2","DR. DRE I Need A Doctor f/Eminem",699,"-48",-326,"-37",5.076,"-0.623",33,20,3521,0,21.933
"44",44,"+2","BEYONCE Best Thing I Never Had",686,"+97",501,"+69",7.207,"+0.462",5,44,686,501,7.207
"45",45,"=","CEE LO GREEN Bright Lights Bigger City",633,"+7",102,"-5",2.435,"+0.056",14,44,633,125,2.435
"46",46,"+1","IYAZ Pretty Girls",569,"+43",262,"+4",1.856,"+0.255",8,46,569,262,1.856
"47",47,"+1","JENNIFER LOPEZ I'm Into You f/Lil Wayne",557,"+39",169,"+20",3.907,"+0.258",8,47,557,169,3.907
"48",48,"+1","TRAIN Save Me San Francisco",509,"+8",17,"+10",2.155,"+0.074",15,45,509,92,2.155
"49",49,"+1","BIG SEAN My Last f/Chris Brown",429,"+4",25,"-9",1.478,"-0.004",9,46,429,55,1.482
"50",50,"--","COBRA STARSHIP You Make Me Feel... f/Sab...",364,"--",165,"--",1.758,"--",1,50,364,165,1.758
