"","Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","PkPos","PkSpins","PkBllt","PkAud"
"1",1,"=","ADELE Rolling In The Deep",14249,-14,45,-66,93.701,-0.55,34,1,14295,2273,96.15
"2",2,"+3","PITBULL Give Me Everything f/Ne-Yo",11522,273,1675,47,81.294,1.551,34,2,11522,1811,81.294
"3",3,"-1","KATY PERRY E.T.",11407,-150,-1260,-53,77.381,-0.989,34,1,14624,0,96.745
"4",4,"-1","BLACK EYED PEAS Just Can't Get Enough",11401,-128,-957,78,75.779,-0.443,34,2,13366,715,84.474
"5",5,"-1","BRUNO MARS Lazy Song",11280,-11,45,-152,61.279,0.038,34,4,11422,1054,61.587
"6",6,"=","BRITNEY SPEARS Till The World Ends",9759,-326,-1259,-232,63.785,-1.892,34,3,11896,966,75.819
"7",7,"=","JENNIFER LOPEZ F/PITBULL On The Floor",8496,-149,-1167,-13,53.961,-0.668,34,5,10169,668,65.118
"8",8,"=","LADY GAGA The Edge Of Glory",8356,219,1711,5,50.439,1.432,34,8,8356,2193,50.439
"9",9,"=","LUPE FIASCO The Show Goes On",7464,89,565,-68,44.147,0.162,34,9,7464,1043,44.147
"10",10,"+1","LMFAO Party Rock Anthem",6316,202,1479,35,46.107,1.303,34,10,6316,1479,46.107
"11",11,"-1","TINIE TEMPAH Written In The Stars",6009,-207,-1419,-22,32.347,-1.117,34,7,8819,756,54.175
"12",12,"=","JASON DERULO Don't Wanna Go Home",5685,77,817,-68,32.552,0.705,32,12,5685,1463,32.552
"13",13,"+1","HOT CHELLE RAE Tonight Tonight",4956,54,490,-24,24.973,0.342,34,13,4956,643,24.973
"14",14,"+1","WIZ KHALIFA Roll Up",4930,55,263,5,26.303,0.177,34,14,4930,725,26.433
"15",15,"-2","RIHANNA S&M",4832,-94,-711,-13,30.057,-1.178,34,5,10081,0,64.524
"16",16,"=","KE$HA Blow",4747,-125,-964,25,28.418,-1.165,34,4,10135,0,56.264
"17",17,"=","ONEREPUBLIC Good Life",4636,95,593,54,23.787,0.703,34,17,4636,593,23.787
"18",18,"+1","SELENA GOMEZ & THE SCENE Who Says",4411,19,4,10,25.211,-0.123,34,17,4450,707,26.291
"19",19,"-1","THE SCRIPT For The First Time",4355,-93,-763,112,26.244,-0.481,34,11,6229,433,33.625
"20",20,"=","JESSIE J Price Tag f/B.O.B",4060,-208,-1412,-57,21.456,-0.608,34,12,5959,582,30.453
"21",21,"=","MARTIN SOLVEIG & DRAGONETTE Hello",3988,34,248,32,21.757,0.356,34,21,3988,605,21.932
"22",22,"=","NICKI MINAJ Super Bass",3982,194,1067,126,24.296,1.263,34,22,3982,1067,24.296
"23",23,"=","JEREMIH Down On Me f/50 Cent",3604,-89,-722,70,21.817,-0.513,34,10,8052,153,44.2
"24",24,"=","ENRIQUE IGLESIAS Dirty Dancer f/Usher/Li...",3518,43,408,-42,20.125,0.185,32,24,3518,864,20.125
"25",25,"=","KATY PERRY Last Friday Night (T.G.I.F.)",3501,310,1900,151,21.895,1.752,17,25,3501,1900,21.895
"26",26,"+1","TAYLOR SWIFT The Story Of Us",3090,-2,125,-52,15.921,0.231,34,24,3104,587,15.921
"27",27,"-1","NEW BOYZ Back Seat f/Cataracs & Dev",2944,-171,-1035,-111,16.733,-0.719,34,17,4096,331,21.342
"28",28,"=","RIHANNA California King Bed",2492,55,394,-4,12.924,0.51,29,28,2492,616,12.924
"29",29,"=","DAVID GUETTA/FLO RIDA/NICKI M. Where The...",2281,38,358,-4,11.202,0.346,34,29,2281,525,11.202
"30",30,"+1","NICOLE SCHERZINGER Right There",2145,121,657,69,12.117,0.492,18,30,2145,697,12.117
"31",31,"-1","LADY GAGA Born This Way",1999,-48,-510,-10,11.024,-0.098,34,19,3651,0,20.436
"32",32,"=","THE BAND PERRY If I Die Young",1986,96,655,22,9.11,0.643,34,32,1986,655,9.11
"33",33,"=","MAROON 5 Never Gonna Leave This Bed",1746,-2,117,-41,6.895,0.06,34,31,1748,312,6.895
"34",34,"=","SHONTELLE Say Hello To Goodbye",1692,-7,-74,-19,5.589,0.053,34,29,1775,174,5.629
"35",35,"=","CHRIS BROWN Look At Me Now",1316,0,-170,47,9.508,0.173,34,28,1861,229,12.746
"36",36,"=","CHRIS BROWN She Ain't You",1105,41,276,7,6.333,0.142,23,36,1105,276,6.333
"37",37,"=","NEON TREES Your Surrender",1024,-16,-59,-45,2.457,-0.08,34,36,1091,173,2.732
"38",38,"+1","T-PAIN Best Love Song f/Chris Brown",941,20,96,8,4.624,0.241,32,38,941,151,4.624
"39",39,"-1","THE READY SET Young Forever",901,-27,-130,-13,2.121,-0.085,34,35,1045,107,2.59
"40",40,"=","STEVEN TYLER (It) Feels So Good",899,14,68,-1,3.357,-0.025,23,40,899,326,3.408
"41",41,"+3","BEYONCE Best Thing I Never Had",823,137,600,99,7.801,0.594,6,41,823,600,7.801
"42",42,"-1","AVRIL LAVIGNE Smile",793,18,141,-1,2.156,-0.02,16,41,793,226,2.176
"43",43,"-1","LIL WAYNE How To Love",741,30,323,-14,2.878,0.022,9,42,741,337,2.878
"44",44,"-1","DR. DRE I Need A Doctor f/Eminem",649,-50,-344,-18,4.507,-0.569,34,20,3521,0,21.933
