"Pos","Pos.","Artist.and.Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"=","WANTED Glad You Came",13031,123,1008,-97,94.437,1.478,88,"7",1,13031,1363,94.437
2,"=","KELLY CLARKSON Stronger (What Doesn't Ki...",12484,-76,-810,-45,91.72,-0.258,88,"10",1,13549,2321,99.332
3,"+1","FUN. We Are Young f/Janelle Monae",11910,287,1936,-24,93.942,1.559,43,"1",3,11910,2738,93.942
4,"-1","DAVID GUETTA Turn Me On f/Nicki Minaj",11522,-258,-879,-206,87.143,-1.872,116,"35",2,12506,1674,92.019
5,"=","GYM CLASS HEROES Ass Back Home",10848,-42,-86,-33,71.699,-0.648,133,"27",4,11001,1379,73.574
6,"=","KATY PERRY Part Of Me",10668,203,772,96,71.938,0.276,52,"14",6,10668,3625,71.938
7,"=","ADELE Set Fire To The Rain",7944,-338,-2172,-18,60.416,-2.8,132,"24",1,13928,2301,95.946
8,"+1","FLO RIDA Wild Ones f/Sia",7468,207,1170,61,53.811,1.796,61,"5",8,7468,1182,53.811
9,"-1","DRAKE Take Care f/Rihanna",7355,51,128,70,56.823,0.197,89,"28",8,7355,1220,56.823
10,"=","CALVIN HARRIS Feel So Close",7018,110,329,30,50.13,0.898,56,"18",10,7018,1329,50.13
11,"+1","NICKI MINAJ Starships",6536,165,560,116,46.817,1.412,51,"8/53",11,6536,1834,46.817
12,"-1","JESSIE J Domino",6344,-130,-875,-58,40.023,-1.048,202,"57",2,12024,1524,67.403
13,"=","ONE DIRECTION What Makes You Beautiful",6175,157,712,34,39.462,1.498,36,"4",13,6175,1579,39.462
14,"=","WIZ KHALIFA/SNOOP DOGG Young, Wild & Fre...",5348,-127,-1181,59,35.287,-0.194,133,"21",10,7182,1174,48.863
15,"=","JUSTIN BIEBER Boyfriend",5340,286,3447,-335,42.112,1.284,10,"3",15,5340,4726,42.112
16,"+1","KARMIN Broken Hearted",4637,73,318,9,28.025,0.709,46,"26",16,4637,936,28.025
17,"+2","ADELE Rumour Has It",4557,221,1255,55,26.61,1.831,32,"32",17,4557,1255,26.61
18,"-2","OUTASIGHT Tonight Is The Night",4529,-295,-1323,-294,26.955,-1.956,156,"70",13,6035,572,36.649
19,"+1","TRAIN Drive By",4342,95,491,59,23.716,0.354,81,"9",19,4342,527,23.716
20,"+1","GOTYE Somebody That I Used To Know",4297,227,1396,56,32.008,1.071,35,"2",20,4297,1396,32.008
21,"-3","CHRIS BROWN Turn Up The Music",4255,-97,-482,19,27.718,-0.56,64,"38",17,4894,987,33.507
22,"=","B.O.B So Good",3915,43,481,-7,26.684,0.225,33,"13",21,3915,1013,26.684
23,"=","CARLY RAE JEPSEN Call Me Maybe",3025,137,1174,-46,18.901,0.829,25,"6",23,3025,1230,18.901
24,"+1","TAYLOR SWIFT Eyes Open",2281,171,1422,-20,13.064,0.586,11,"19",24,2281,1442,13.064
25,"-1","RIHANNA Talk That Talk f/Jay Z",2180,-16,15,-40,10.791,-0.326,58,"63",24,2226,339,12.882
26,"+1","JENNIFER LOPEZ Dance Again f/Pitbull",1833,335,1833,335,19.741,2.378,6,"11",26,1833,1833,19.741
27,"-1","CHRISTINA PERRI A Thousand Years",1628,-59,-297,-17,8.52,-0.082,91,"43",23,2055,280,9.423
28,"=","ELLIE GOULDING Lights",1425,45,98,17,7.077,0.127,55,"77",27,1425,226,7.077
29,"+1","DRAKE The Motto f/Lil Wayne",1308,-5,-2,-24,14.323,-0.089,46,"22",29,1331,237,15.761
30,"-1","K'NAAN F/NELLY FURTADO Is Anybody Out Th...",1291,-30,-34,-116,7.242,0.052,32,"107",28,1332,461,8.004
31,"=","HAVANA BROWN We Run The Night f/Pitbull",1289,36,37,25,9.957,0.067,53,"142",31,1289,237,10.526
32,"=","DEV & ENRIQUE IGLESIAS Naked",1147,-82,-323,-65,6.347,-0.64,75,"--",28,1524,318,8.497
33,"=","DEMI LOVATO Give Your Heart A Break",1094,43,196,27,6.211,0.183,36,"60",33,1094,196,6.211
34,"=","NEON HITCH F U Betta",986,7,29,-32,2.922,0.122,32,"616",34,986,215,2.922
35,"=","CHRIS RENE Young Homie",949,7,160,-36,3.327,-0.005,25,"127",35,949,213,3.346
36,"=","WALLPAPER F**king Best Song Everrr",846,13,58,-16,3.544,0.054,20,"--",36,846,262,3.563
37,"=","USHER Climax",766,0,47,-1,3.121,-0.051,18,"37",37,786,348,3.492
38,"+3","PITBULL Back In Time",723,104,481,52,6.317,0.333,7,"110",38,723,560,6.317
39,"=","ALL-AMERICAN REJECTS Beekeeper's Daughte...",682,-36,-118,-40,2.309,-0.138,47,"--",38,804,204,2.758
40,"-2","JASON DERULO Breathing",663,-66,-686,8,3.213,-0.202,61,"415",28,1573,432,6.812
41,"-1","COLDPLAY Princess Of China",540,-90,-669,23,2.525,-0.256,131,"93",24,2042,363,10.812
42,"=","SEAN PAUL She Doesn't Mind",519,8,10,2,1.832,0.074,25,"754",42,520,158,1.832
43,"=","J. COLE Can't Get Enough f/Trey Songz",468,-8,-32,-4,2.385,-0.173,25,"164",43,562,156,3.809
44,"=","AVICII Levels",452,4,-51,4,5.907,0.181,91,"141",33,1352,260,9.722
45,"+1","HOT CHELLE RAE Honestly",418,38,275,3,1.512,0.167,4,"593",45,418,275,1.512
46,"-1","FAR EAST MOVEMENT Live My Life f/Justin ...",411,6,55,6,1.347,-0.021,14,"379",45,418,80,1.436
47,"=","MADONNA Girl Gone Wild",346,29,245,11,0.819,0.055,4,"298",47,346,245,0.819
48,"=","RIHANNA Birthday Cake",285,20,68,16,0.997,0.077,4,"51",48,285,68,0.997
49,"=","T-PAIN Turn All The Lights On f/Ne-Yo",188,1,46,-11,0.47,-0.007,3,"673",49,188,62,0.53
50,"=","KIRKO BANGZ Drank In My Cup",186,7,71,-6,2.363,-0.038,2,"78",50,186,77,2.401
