"Pos","Pos.","Artist","Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","iTunes","Pk","PkSp","PkBl","PkAu"
1,"=","ARIANA GRANDE","Problem f/Iggy Azalea",17275,-29,336,-176,115.338,-0.352,66,"7",1,17403,2576,116.283
2,"=","NICO & VINZ","Am I Wrong",16495,181,1391,24,112.264,1.02,95,"4",2,16495,2409,112.264
3,"=","IGGY AZALEA","Fancy f/Charlie XCX",15942,-107,-589,48,107.108,-0.247,106,"6/27",1,17156,2440,116.166
4,"=","CALVIN HARRIS","Summer",14737,44,-28,3,92.875,0.23,106,"13",3,14765,1917,95.785
5,"=","MAGIC!","Rude",13824,334,1874,72,94.534,2.556,80,"2",5,13824,2272,94.534
6,"=","DISCLOSURE","Latch f/Sam Smith",10555,137,829,-16,73.066,1.164,153,"11",6,10555,1508,73.066
7,"=","SAM SMITH","Stay With Me",10293,120,1244,-121,68.846,1.283,54,"3",7,10293,1606,68.846
8,"+1","MKTO","Classic",8963,-58,27,-105,55.15,0.589,216,"26",8,9119,733,55.15
9,"-1","PARAMORE","Ain't It Fun",8868,-254,-1562,-67,54.789,-1.322,147,"31",2,14464,1853,84.721
10,"+1","JASON DERULO","Wiggle f/Snoop Dogg",7473,0,-2,-23,35.587,0.136,57,"5",10,7555,1666,36.719
11,"-1","KATY PERRY","Birthday",7440,-332,-1921,-237,34.533,-1.772,90,"73",7,9576,2209,52.775
12,"+1","MAROON 5","Maps",7059,109,1238,-196,42.801,0.795,19,"8",12,7059,4866,42.801
13,"-1","ONEREPUBLIC","Love Runs Out",7054,40,667,-54,38.886,0.612,64,"18",12,7054,1336,38.886
14,"=","JUSTIN TIMBERLAKE","Not A Bad Thing",6330,-134,-959,15,41.28,-0.974,132,"48",1,15543,2024,97.949
15,"+1","DEMI LOVATO","Really Don't Care f/Cher Lloyd",5470,159,900,48,27.906,1.166,41,"38",15,5470,1152,27.906
16,"+1","PHARRELL WILLIAMS","Come Get It Bae",5337,90,409,-21,23.698,0.51,43,"35",16,5337,993,23.698
17,"-2","RIXTON","Me And My Broken Heart",5230,-255,-2086,89,29.194,-0.761,125,"60",6,11699,1397,59.689
18,"=","KONGOS","Come With Me Now",5009,75,414,-37,19.729,0.247,78,"24",18,5009,652,19.729
19,"+1","JENNIFER LOPEZ","First Love",4214,34,309,-18,22.02,0.217,48,"175",19,4214,853,22.02
20,"+1","CHARLI XCX","Boom Clap",4054,208,1633,-13,23.155,1.144,21,"9",20,4054,1646,23.155
21,"-2","ED SHEERAN","Sing",3956,-276,-2058,41,20.447,-0.675,88,"14",6,10622,2778,57.807
22,"=","AFROJACK","Ten Feet Tall f/Wrabel",3718,77,341,20,15.954,1.048,97,"121",21,3718,633,15.954
23,"+1","SIA","Chandelier",3463,115,508,115,22.627,1.398,76,"10",23,3463,561,22.627
24,"-1","LORDE","Tennis Court",3389,18,260,-42,15.379,0.003,67,"87",22,3389,590,15.379
25,"=","BECKY G","Shower",3203,19,639,-92,14.125,0.043,50,"28",25,3203,853,14.125
26,"=","TIESTO","Wasted",3170,53,506,-70,16.968,0.611,53,"40",25,3170,775,16.968
27,"=","TREY SONGZ","Na Na",2791,37,176,15,17.433,0.27,92,"30",27,2791,394,18.704
28,"=","CLEAN BANDIT","Rather Be f/Jess Glynne",2745,162,1198,11,20.198,1.205,37,"49",28,2745,1209,20.198
29,"=","ENRIQUE IGLESIAS","Bailando f/Gente De Zona",2190,124,547,72,24.256,0.755,41,"64",29,2190,547,24.256
30,"=","AJR","I'm Ready",2087,81,164,75,6.555,0.324,85,"45",30,2087,346,6.555
31,"+1","RITA ORA","I Will Never Let You Down",1908,38,374,-14,7.418,0.117,41,"--",31,1908,513,7.418
32,"-1","KATY TIZ","The Big Bang",1883,-56,-638,40,6.524,-0.239,101,"199",24,2827,878,14.656
33,"=","ONE DIRECTION","You & I",1290,-150,-926,-12,6.277,-0.495,71,"133",21,3204,850,12.022
34,"=","M. JACKSON & J. TIMBERLAKE","Love Never Felt So Good",1274,-21,-535,120,5.968,-0.177,62,"66",28,2309,1126,13.019
35,"=","FLORIDA-GEORGIA LINE","This Is How We Roll f/J.Derulo",1272,42,306,-11,6.942,0.208,20,"34",35,1272,370,6.942
36,"=","MADDEN BROTHERS","We Are Done",1150,51,296,16,4.14,0.109,22,"--",36,1150,424,4.14
37,"=","ECHOSMITH","Cool Kids",1116,33,182,19,3.896,0.037,27,"86",36,1116,377,3.896
38,"+3","IGGY AZALEA","Black Widow f/Rita Ora",949,136,703,70,7.429,0.63,6,"106",38,949,703,7.429
39,"=","AVICII","Addicted To You",844,25,76,8,2.684,0.293,32,"--",39,844,175,2.684
40,"+2","CHROMEO","Jealous (I Ain't With It)",823,27,180,9,2.974,0.005,34,"--",40,823,180,2.98
41,"-1","NEON TREES","Sleeping With A Friend",801,-16,-395,120,4.328,-0.155,150,"197",18,4374,507,18.342
42,"-4","HAIM","Forever",774,-91,-514,-49,1.83,-0.21,74,"--",35,1596,291,5.196
43,"+2","INGRID MICHAELSON","Girls Chase Boys",768,43,145,32,3.985,0.164,27,"44",43,768,168,3.985
44,"-1","TINASHE","2 On f/Schoolboy Q",766,14,88,7,2.888,0.024,26,"67",42,766,231,2.888
45,"+1","TOVE LO","Habits (Stay High)",736,19,186,8,3.047,0.116,12,"98",44,736,224,3.047
46,"-2","CHRIS BROWN","Loyal f/Lil' Wayne",715,-22,-30,-22,4.224,-0.215,99,"92",40,854,230,7.37
47,"=","CAPITAL CITIES","One Minute More",660,7,84,-11,1.688,0.028,13,"--",46,660,180,1.688
48,"=","COLDPLAY","A Sky Full Of Stars",620,27,139,11,1.94,0.15,6,"57",47,620,139,1.94
49,"=","KIESZA","Hideaway",618,29,276,-6,7.971,0.511,6,"149",48,618,282,7.971
50,"=","NICKI MINAJ","Pills N Potions",449,0,17,12,1.256,0.017,14,"42",48,470,147,1.344
