"","Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","Pk","PkSp","PkBl","PkAu"
"1",1,"+1","NICO & VINZ","Am I Wrong",17233,86,738,-95,114.881,0.258,102,"5",1,17233,2409,114.881
"2",2,"-1","ARIANA GRANDE","Problem f/Iggy Azalea",17212,-40,-63,-11,114.77,0.136,73,"4",1,17403,2576,116.283
"3",3,"=","MAGIC!","Rude",16112,283,2288,-51,108.972,0.883,87,"1",3,16112,2371,108.972
"4",4,"=","CALVIN HARRIS","Summer",14804,-67,67,-111,90.597,-0.654,113,"16",3,14953,1917,95.785
"5",5,"=","IGGY AZALEA","Fancy f/Charlie XCX",14298,-231,-1644,-124,101.91,-1.191,113,"7/29",1,17156,2440,116.166
"6",6,"=","DISCLOSURE","Latch f/Sam Smith",11500,114,945,-23,77.359,0.18,160,"13",6,11500,1508,77.359
"7",7,"=","SAM SMITH","Stay With Me",11473,168,1180,48,77.665,1.121,61,"3",6,11473,1606,77.665
"8",8,"=","MKTO","Classic",8709,-23,-254,35,55.614,-0.847,223,"27",8,9119,733,57.275
"9",9,"+1","MAROON 5","Maps",7913,119,854,10,46.945,0.54,26,"6",9,7913,4866,46.945
"10",10,"+1","ONEREPUBLIC","Love Runs Out",7897,142,843,102,42.245,0.272,71,"10",10,7897,1336,42.245
"11",11,"-2","PARAMORE","Ain't It Fun",7825,-116,-1043,138,46.312,-1.209,154,"41",2,14464,1853,84.721
"12",12,"=","JASON DERULO","Wiggle f/Snoop Dogg",7214,-128,-259,-128,31.931,-1.274,64,"12",10,7555,1666,36.719
"13",13,"=","DEMI LOVATO","Really Don't Care f/Cher Lloyd",6420,106,950,-53,33.793,0.361,48,"36",13,6420,1152,33.793
"14",14,"=","PHARRELL WILLIAMS","Come Get It Bae",5720,20,383,-70,23.893,-0.296,50,"25",14,5720,993,24.189
"15",15,"+1","CHARLI XCX","Boom Clap",5432,161,1378,-47,32.498,1.309,28,"8",15,5432,1646,32.498
"16",16,"-1","JUSTIN TIMBERLAKE","Not A Bad Thing",5367,-104,-963,30,36.985,-0.674,139,"65",1,15543,2024,97.949
"17",17,"=","KONGOS","Come With Me Now",5203,-36,194,-111,20.178,-0.093,85,"19",17,5239,652,20.271
"18",18,"=","KATY PERRY","Birthday",4721,-417,-2719,-85,21.624,-1.835,97,"83",7,9576,2209,52.775
"19",19,"+1","RIXTON","Me And My Broken Heart",3940,-108,-1290,147,22.486,-0.631,132,"58",6,11699,1397,59.689
"20",20,"+2","SIA","Chandelier",3937,40,474,-75,24.844,-0.239,83,"9",20,3937,568,25.083
"21",21,"-2","JENNIFER LOPEZ","First Love",3929,-135,-285,-169,20.241,-0.644,55,"169",19,4214,853,22.02
"22",22,"-1","AFROJACK","Ten Feet Tall f/Wrabel",3907,-13,189,-90,16.787,-0.576,104,"111",21,3920,633,17.363
"23",23,"+1","CLEAN BANDIT","Rather Be f/Jess Glynne",3834,141,1089,-21,26.073,0.581,44,"28",23,3834,1347,26.073
"24",24,"-1","BECKY G","Shower",3818,105,615,86,16.746,0.358,57,"20",23,3818,853,16.746
"25",25,"=","LORDE","Tennis Court",3635,35,246,17,16.05,0.022,74,"81",22,3635,590,16.053
"26",26,"=","TIESTO","Wasted",3506,60,336,7,18.824,-0.229,60,"33",25,3506,775,19.053
"27",27,"=","ED SHEERAN","Sing",2903,-71,-1053,205,15.997,-0.464,95,"31",6,10622,2778,57.807
"28",28,"=","TREY SONGZ","Na Na",2791,-24,0,-61,17.673,-0.074,99,"44",27,2823,394,18.704
"29",29,"=","ENRIQUE IGLESIAS","Bailando f/Gente De Zona",2660,30,470,-94,27.192,0.26,48,"56",29,2660,574,27.192
"30",30,"=","AJR","I'm Ready",2482,15,395,-66,7.769,0.007,92,"39",30,2482,461,7.769
"31",31,"=","RITA ORA","I Will Never Let You Down",2308,68,400,30,8.917,0.303,48,"147",31,2308,513,8.917
"32",32,"=","IGGY AZALEA","Black Widow f/Rita Ora",2057,192,1108,56,12.987,1.13,13,"37",32,2057,1108,12.987
"33",33,"=","ARIANA GRANDE","Break Free f/Zedd",1894,229,1471,82,15.205,1.407,7,"14",33,1894,1471,15.205
"34",34,"=","FLORIDA-GEORGIA LINE","This Is How We Roll f/J.Derulo",1527,27,255,-15,8.143,0.136,27,"38",33,1527,370,8.143
"35",35,"=","MADDEN BROTHERS","We Are Done",1421,8,271,-43,4.973,0.032,29,"--",34,1421,424,4.973
"36",36,"=","ECHOSMITH","Cool Kids",1301,32,185,-1,4.887,0.248,34,"50",36,1301,377,4.887
"37",37,"=","KIESZA","Hideaway",1225,88,607,59,9.993,0.168,13,"98",37,1225,607,9.993
"38",38,"+1","INGRID MICHAELSON","Girls Chase Boys",1022,10,254,-33,4.811,0.056,34,"40",38,1022,295,4.811
"39",39,"+2","TINASHE","2 On f/Schoolboy Q",979,53,213,39,4.742,0.488,33,"55",39,979,231,4.742
"40",40,"-2","KATY TIZ","The Big Bang",929,-148,-954,-92,4.355,-0.245,108,"--",24,2827,878,14.656
"41",41,"-1","M. JACKSON & J. TIMBERLAKE","Love Never Felt So Good",925,-42,-349,-21,3.836,-0.145,69,"49",28,2309,1126,13.019
"42",42,"=","CHROMEO","Jealous (I Ain't With It)",913,6,90,-21,3.368,0.039,41,"--",40,913,182,3.368
"43",43,"+1","TOVE LO","Habits (Stay High)",864,48,128,29,3.416,0.174,19,"99",43,864,224,3.416
"44",44,"+1","COLDPLAY","A Sky Full Of Stars",841,38,221,11,2.898,0.169,13,"47",44,841,221,2.898
"45",45,"-2","AVICII","Addicted To You",839,-37,-5,-62,2.908,-0.186,39,"--",39,905,175,3.16
"46",46,"=","CAPITAL CITIES","One Minute More",713,17,53,10,1.777,0.085,20,"--",46,713,180,1.777
"47",47,"=","CHRIS BROWN","Loyal f/Lil' Wayne",703,12,-12,34,4.32,0.193,106,"94",40,854,230,7.37
"48",48,"=","ONE DIRECTION","You & I",561,-27,-729,123,3.21,-0.15,78,"132",21,3204,850,12.022
"49",49,"=","MEGHAN TRAINOR","All About That Bass",507,37,286,-9,1.673,0.181,4,"32",49,507,295,1.673
"50",50,"=","G.R.L.","Ugly Heart",419,26,99,12,1.419,0.084,5,"--",49,419,132,1.419
