"","Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","Pk","PkSp","PkBl","PkAu"
"1",1,"=","ALESSIA CARA","Here",17387,"-81",-138,"-453",103.415,"-1.036",190,"19",1,17621,1489,109.076
"2",2,"+2","JUSTIN BIEBER","Love Yourself",16520,"+271",2209,"-259",115.603,"+1.470",52,"2",2,16520,4103,115.603
"3",3,"-1","JUSTIN BIEBER","Sorry",16228,"-160",-1290,"-261",107.947,"-0.901",95,"6",1,19494,3902,127.324
"4",4,"-1","SELENA GOMEZ","Same Old Love",16119,"-269",-2150,"-444",99.204,"-1.752",132,"16",1,18836,1774,120.08
"5",5,"=","THE WEEKND","In The Night",14559,"+72",528,"-108",84.532,"+0.203",74,"30",4,14559,3011,84.532
"6",6,"=","TWENTY ONE PILOTS","Stressed Out",14073,"+261",1786,"-134",87.479,"+1.517",71,"1",6,14073,2702,87.479
"7",7,"=","THE CHAINSMOKERS","Roses f/Rozes",11604,"-27",544,"-281",70.931,"+0.400",120,"7",7,11631,2023,70.931
"8",8,"=","ADELE","Hello",10970,"-215",-1532,"-150",80.927,"-1.488",94,"4",1,19167,4705,124.831
"9",9,"=","DAYA","Hide Away",9449,"+77",658,"-141",53.281,"+0.358",162,"14",9,9449,883,53.281
"10",10,"=","MEGHAN TRAINOR","Like I'm Gonna Lose You",8623,"-414",-2843,"-360",48.876,"-2.247",210,"24",5,13735,1275,83.171
"11",11,"=","SHAWN MENDES & CAMILA CABELLO","I Know What You Did Last...",8136,"+96",464,"-94",41.297,"+0.349",62,"17",11,8136,1989,41.297
"12",12,"+1","DNCE","Cake By The Ocean",7493,"+142",851,"+7",39.652,"+0.860",117,"13",12,7493,1111,39.652
"13",13,"-1","ADELE","When We Were Young",7434,"+61",501,"-113",36.221,"+0.110",40,"12",12,7434,1962,36.221
"14",14,"=","ONE DIRECTION","Perfect",6865,"-241",-1468,"-331",35.967,"-1.221",99,"26",10,8635,1211,42.552
"15",15,"=","DEMI LOVATO","Confident",6544,"-288",-1978,"-322",34.321,"-1.935",116,"49",9,9049,1761,48.443
"16",16,"+1","FLO RIDA","My House",6369,"+128",1226,"-88",37.324,"+1.242",98,"3",16,6369,1338,37.324
"17",17,"-1","TAYLOR SWIFT","Out Of The Woods",6362,"+100",1203,"-251",38.706,"+0.434",22,"51",16,6362,2806,38.706
"18",18,"=","ELLIE GOULDING","On My Mind",6123,"-94",-1425,"+1",44.469,"+0.182",130,"67",4,14332,3457,82.642
"19",19,"+1","SELENA GOMEZ","Hands To Myself",5726,"+363",1671,"+224",32.837,"+2.166",22,"5",19,5726,1952,32.837
"20",20,"-1","CHARLIE PUTH","One Call Away",5476,"+64",460,"-77",24.489,"+0.269",77,"8",19,5476,819,24.489
"21",21,"=","DRAKE","Hotline Bling",5076,"-90",-768,"+7",32.353,"-0.182",133,"29",2,16016,2377,99.499
"22",22,"=","JASON DERULO","Get Ugly",4197,"+132",404,"-31",17.93,"+0.635",43,"57",22,4197,1110,17.93
"23",23,"=","FALL OUT BOY","Irresistible f/Demi Lovato",4027,"-27",-157,"-161",16.056,"-0.219",89,"46",21,4199,560,17.263
"24",24,"=","ELLIE GOULDING","Something In The Way You Move",3716,"+173",1585,"-88",20.426,"+0.427",17,"151",24,3716,1673,20.426
"25",25,"=","TORI KELLY","Hollow",3510,"+41",183,"-61",12.357,"+0.109",78,"110",24,3510,501,12.482
"26",26,"=","ROBIN SCHULZ","Sugar f/Francesco Yates",3413,"+67",491,"-60",18.903,"+0.587",59,"68",25,3413,551,18.903
"27",27,"=","TRAVI$ SCOTT","Antidote",2899,"+30",424,"-56",11.957,"-0.071",57,"35",26,2899,545,12.148
