"Pos","Pos.","Artist.and.Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","PkPos","PkSpins","PkBllt","PkAud"
1,"=","ADELE Rolling In The Deep",14002,"-51",-261,"-55",90.622,"-0.591",40,1,14295,2273,96.15
2,"=","PITBULL Give Me Everything f/Ne-Yo",12842,"+214",1593,"+44",86.592,"+1.069",40,2,12842,1811,86.592
3,"=","BRUNO MARS Lazy Song",11062,"-41",-229,"+33",58.138,"-0.655",40,3,11422,1054,61.587
4,"=","KATY PERRY E.T.",10591,"-126",-966,"+29",76.11,"+0.247",40,1,14624,0,96.745
5,"=","BLACK EYED PEAS Just Can't Get Enough",10480,"-110",-1049,"-9",69.61,"-1.058",40,2,13366,715,84.474
6,"=","LADY GAGA The Edge Of Glory",9545,"+149",1408,"-75",60.048,"+1.178",40,6,9545,2193,60.048
7,"=","BRITNEY SPEARS Till The World Ends",8453,"-190",-1632,"-53",53.623,"-1.327",40,3,11896,966,75.819
8,"=","LUPE FIASCO The Show Goes On",8085,"+126",710,"+32",49.034,"+1.373",40,8,8085,1043,49.034
9,"+1","LMFAO Party Rock Anthem",7715,"+200",1601,"+8",54.156,"+0.943",40,9,7715,1601,54.156
10,"-1","JENNIFER LOPEZ F/PITBULL On The Floor",7448,"-142",-1197,"+51",46.903,"-1.020",40,5,10169,668,65.118
11,"=","JASON DERULO Don't Wanna Go Home",6181,"+113",573,"-61",35.754,"+0.475",38,11,6181,1463,35.754
12,"=","HOT CHELLE RAE Tonight Tonight",5319,"+110",417,"+49",26.981,"+0.535",40,12,5319,643,26.981
13,"+3","KATY PERRY Last Friday Night (T.G.I.F.)",5210,"+211",2019,"-105",34.436,"+1.749",23,13,5210,2124,34.436
14,"=","ONEREPUBLIC Good Life",5112,"+62",571,"-6",26.793,"+0.491",40,14,5112,604,26.793
15,"=","WIZ KHALIFA Roll Up",5043,"+23",168,"-18",26.478,"+0.257",40,14,5043,725,26.478
16,"-3","TINIE TEMPAH Written In The Stars",5034,"-165",-1182,"+16",28.018,"-0.701",40,7,8819,756,54.175
17,"=","NICKI MINAJ Super Bass",4916,"+197",1128,"+36",30.908,"+1.100",40,17,4916,1188,30.908
18,"+1","SELENA GOMEZ & THE SCENE Who Says",4559,"+64",167,"+85",27.052,"+0.519",40,17,4559,707,27.052
19,"+2","MARTIN SOLVEIG & DRAGONETTE Hello",3970,"-15",16,"-92",22.882,"+0.190",40,19,4017,605,22.882
20,"+2","ENRIQUE IGLESIAS Dirty Dancer f/Usher/Li...",3752,"+34",277,"-6",21.561,"+0.410",38,20,3752,864,21.561
21,"+3","TAYLOR SWIFT The Story Of Us",3172,"-3",80,"-11",16.747,"+0.025",40,21,3175,587,16.747
22,"+3","JEREMIH Down On Me f/50 Cent",3079,"-81",-614,"+16",18.698,"-0.548",40,10,8052,153,44.2
23,"+4","RIHANNA California King Bed",2803,"+116",366,"+37",14.298,"+0.902",35,23,2803,616,14.298
