"","Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","PkPos","PkSpins","PkBllt","PkAud"
"1",1,"=","ADELE Rolling In The Deep",13900,50,592,-92,93.701,-0.041,23,1,13900,2273,93.742
"2",2,"+1","KATY PERRY E.T.",12919,-120,-512,-85,88.715,-0.672,23,1,14624,0,96.745
"3",3,"-1","BLACK EYED PEAS Just Can't Get Enough",12883,-171,-399,-168,80.487,-1.265,23,2,13366,715,84.474
"4",4,"=","BRITNEY SPEARS Till The World Ends",11282,-171,-522,-152,72.278,-0.755,23,3,11896,966,75.819
"5",5,"=","BRUNO MARS Lazy Song",10552,72,305,-52,59.806,-0.105,23,5,10552,1054,60.439
"6",6,"=","JENNIFER LOPEZ F/PITBULL On The Floor",9974,-50,-195,-74,61.64,-0.278,23,5,10169,668,65.118
"7",7,"=","PITBULL Give Me Everything f/Ne-Yo",9140,214,1208,44,66.251,1.68,23,7,9140,1811,66.251
"8",8,"=","TINIE TEMPAH Written In The Stars",7998,-114,-507,-42,43.3,-0.412,23,7,8819,756,54.175
"9",9,"+1","LUPE FIASCO The Show Goes On",6301,192,582,169,38.762,1.045,23,9,6301,1005,38.762
"10",10,"-1","KE$HA Blow",6060,-112,-1024,71,37.161,-0.797,23,4,10135,0,56.264
"11",11,"+3","LADY GAGA The Edge Of Glory",5783,161,992,-44,34.656,1.065,23,11,5783,2193,34.656
"12",12,"-1","RIHANNA S&M",5768,-119,-927,1,38.198,-0.597,23,5,10081,0,64.524
"13",13,"=","JESSIE J Price Tag f/B.O.B",5638,-65,-321,-82,27.883,-0.393,23,12,5959,582,30.453
"14",14,"-2","THE SCRIPT For The First Time",5625,-156,-531,-126,30.246,-0.452,23,11,6229,433,33.625
"15",15,"=","JEREMIH Down On Me f/50 Cent",4925,-158,-1010,-11,27.641,-0.588,23,10,8052,153,44.2
"16",16,"=","WIZ KHALIFA Roll Up",4439,39,399,-37,24.726,0.184,23,16,4439,725,24.726
"17",17,"+1","JASON DERULO Don't Wanna Go Home",4238,136,990,-40,23.073,0.397,21,17,4238,1463,23.073
"18",18,"-1","SELENA GOMEZ & THE SCENE Who Says",4231,56,159,-4,24.698,0.336,23,17,4231,707,24.698
"19",19,"+1","LMFAO Party Rock Anthem",4176,149,861,47,30.384,1.442,23,19,4176,861,30.384
"20",20,"+1","HOT CHELLE RAE Tonight Tonight",4080,69,376,7,20.22,0.309,23,19,4080,643,20.22
"21",21,"-2","NEW BOYZ Back Seat f/Cataracs & Dev",4043,1,-53,-7,21.169,0.064,23,17,4096,331,21.342
"22",22,"=","ONEREPUBLIC Good Life",3881,33,444,-32,20.352,0.211,23,21,3881,580,20.352
"23",23,"=","MARTIN SOLVEIG & DRAGONETTE Hello",3614,41,353,16,21.729,-0.122,23,23,3614,605,21.932
"24",24,"=","TAYLOR SWIFT The Story Of Us",2747,15,129,23,13.736,-0.047,23,24,2747,587,13.808
"25",25,"=","ENRIQUE IGLESIAS Dirty Dancer f/Usher/Li...",2669,85,663,-35,17.922,0.496,21,25,2669,864,17.922
"26",26,"+1","NICKI MINAJ Super Bass",2610,85,641,-49,14.289,0.574,23,26,2610,834,14.289
"27",27,"-1","LADY GAGA Born This Way",2534,-11,-120,37,13.167,-0.1,23,19,3651,0,20.436
"28",28,"=","RIHANNA California King Bed",1821,69,439,-6,8.972,0.184,18,28,1821,616,8.972
"29",29,"+1","DAVID GUETTA/FLO RIDA/NICKI M. Where The...",1691,33,196,4,7.658,0.161,23,29,1691,525,7.658
"30",30,"+1","SHONTELLE Say Hello To Goodbye",1679,23,140,29,5.168,0.122,23,29,1679,142,5.168
"31",31,"-2","CHRIS BROWN Look At Me Now",1667,-39,-115,4,11.008,-0.477,23,28,1861,229,12.746
"32",32,"=","MAROON 5 Never Gonna Leave This Bed",1468,36,140,21,5.376,0.215,23,32,1468,312,5.376
"33",33,"=","AVRIL LAVIGNE What The Hell",1383,-31,-288,44,7.041,-0.086,23,24,2903,0,13.876
"34",34,"+1","THE BAND PERRY If I Die Young",1117,50,300,-1,4.174,0.125,23,34,1117,301,4.174
"35",35,"+2","NICOLE SCHERZINGER Right There",1083,70,575,-24,7.516,0.255,7,35,1083,599,7.516
"36",36,"-2","DR. DRE I Need A Doctor f/Eminem",1064,-5,-273,78,8.498,-0.097,23,20,3521,0,21.933
"37",37,"-1","THE READY SET Young Forever",1041,7,50,4,2.59,0,23,35,1041,107,2.59
"38",38,"+2","KATY PERRY Last Friday Night (T.G.I.F.)",986,105,537,32,7.468,0.58,6,38,986,537,7.468
"39",39,"-1","NEON TREES Your Surrender",978,20,39,17,2.281,0.09,23,37,978,173,2.281
"40",40,"-1","MIKE POSNER F/LIL WAYNE Bow Chicka Wow W...",888,-36,-733,105,4.073,-0.224,23,21,3233,127,13.744
"41",41,"=","NICKI MINAJ Moment 4 Life f/Drake",810,-18,-161,9,6.229,-0.103,23,29,2036,0,13.564
"42",42,"=","BRITNEY SPEARS Hold It Against Me",807,-4,-234,28,4.966,-0.049,23,37,1171,58,8.927
