"","Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
"1",1,"=","MAROON 5 F/CHRISTINA AGUILERA Moves Like...",13547,"+28",300,"-162",89.665,"-0.217",82,"3",1,13547,1893,89.882
"2",2,"+1","GYM CLASS HEROES Stereo Hearts f/Adam Le...",10689,"+268",1596,"+32",63.185,"+1.869",92,"7",2,10689,1596,63.185
"3",3,"-1","BAD MEETS EVIL Lighters f/Bruno Mars",10682,"-146",-1024,"-61",65.063,"-1.074",95,"21",2,11835,1599,78.403
"4",4,"=","FOSTER THE PEOPLE Pumped Up Kicks",10358,"+127",710,"-29",62.086,"+0.646",77,"4",3,10358,1302,62.086
"5",5,"+1","ADELE Someone Like You",9425,"+344",1832,"+35",69.02,"+1.906",53,"2",5,9425,1982,69.02
"6",6,"-1","BRITNEY SPEARS I Wanna Go",8891,"-292",-1773,"-44",57.155,"-1.500",107,"48",1,12853,1768,82.422
"7",7,"=","COBRA STARSHIP You Make Me Feel... f/Sab...",8576,"+81",389,"-36",55.286,"+0.867",107,"13",7,8576,1017,55.286
"8",8,"=","KATY PERRY Last Friday Night (T.G.I.F.)",8264,"-146",-1909,"+135",47.448,"-1.174",124,"46",1,14935,2322,96.531
"9",9,"=","LMFAO Party Rock Anthem",8201,"-56",-710,"+52",53.204,"-0.377",141,"10",1,14043,1859,94.193
"10",10,"=","NICKI MINAJ Super Bass",7893,"-194",-1659,"+96",53.327,"-0.832",141,"28",3,12009,1188,73.23
"11",11,"=","RIHANNA Cheers (Drink To That)",7678,"-157",-406,"-227",38.908,"-1.429",63,"12",10,8085,1594,43.942
"12",12,"=","PITBULL Give Me Everything f/Ne-Yo",7229,"-76",-598,"-38",50.298,"-1.011",141,"34",1,14233,1811,95.596
"13",13,"=","LADY GAGA You And I",7186,"-29",223,"-93",41.345,"-0.345",51,"11",13,7215,1553,41.69
"14",14,"=","DEV In The Dark",6314,"+89",227,"+15",41.136,"+0.959",62,"14",14,6314,1224,41.136
"15",15,"=","ONEREPUBLIC Good Life",5963,"-115",-1036,"+37",37.508,"-1.350",141,"40",6,9571,978,57.364
"16",16,"=","DAVID GUETTA Without You f/Usher",5947,"+208",1122,"+48",38.123,"+1.117",33,"8",16,5947,1586,38.123
"17",17,"=","JASON DERULO It Girl",4639,"+57",593,"-40",22.453,"+0.221",42,"15",17,4639,1048,22.453
"18",18,"+1","KELLY CLARKSON Mr. Know It All",3779,"+89",833,"-46",20.968,"+0.489",25,"29",18,3779,1093,20.968
"19",19,"-1","THE SCRIPT Nothing",3776,"+47",219,"+67",18.444,"+0.271",61,"26",18,3776,722,18.444
"20",20,"=","ALEXANDRA STAN Mr. Saxobeat",3647,"+25",251,"-52",29.035,"+0.769",67,"31",20,3647,567,29.035
