"Pos","Pos.","Artist","Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","iTunes","Pk","PkSp","PkBl","PkAu"
1,"=","MAGIC!","Rude",17752,-38,570,-198,116.95,-1.7,101,"2",1,17790,2371,118.65
2,"=","NICO & VINZ","Am I Wrong",17492,44,-239,22,114.746,-1.621,116,"6",1,17731,2409,119.274
3,"=","ARIANA GRANDE","Problem f/Iggy Azalea",15115,-269,-1698,-158,96.582,-2.235,87,"8",1,17403,2576,116.283
4,"=","SAM SMITH","Stay With Me",14657,334,1871,103,96.463,-0.779,75,"4",4,14657,1871,97.242
5,"=","DISCLOSURE","Latch f/Sam Smith",13655,185,1399,69,84.834,0.376,174,"18",5,13655,1508,84.834
6,"=","CALVIN HARRIS","Summer",11998,-286,-2267,-117,73.075,-2.632,127,"26",3,14953,1917,95.785
7,"=","IGGY AZALEA","Fancy f/Charlie XCX",10735,-46,-1436,322,80.236,-0.548,127,"13/34",1,17156,2440,116.166
8,"=","MAROON 5","Maps",9566,108,841,-68,53.8,-1.044,40,"7",8,9566,4866,54.844
9,"=","CHARLI XCX","Boom Clap",8842,258,1942,0,51.824,-0.17,42,"11",9,8842,1942,51.994
10,"=","ONEREPUBLIC","Love Runs Out",8589,53,274,10,44.441,-0.913,85,"10",9,8589,1336,45.354
11,"=","DEMI LOVATO","Really Don't Care f/Cher Lloyd",8162,108,939,-67,45.804,-0.322,62,"39",10,8162,1152,46.126
12,"=","PHARRELL WILLIAMS","Come Get It Bae",6647,78,468,34,28.417,-0.508,64,"27",12,6647,993,28.925
13,"=","ARIANA GRANDE","Break Free f/Zedd",6103,215,1936,-150,38.987,0.677,21,"17",13,6103,2327,38.987
14,"=","SIA","Chandelier",5899,156,1162,20,36.107,-0.533,97,"15",13,5899,1217,36.64
15,"=","CLEAN BANDIT","Rather Be f/Jess Glynne",5698,111,894,19,37.155,0.528,58,"16",14,5698,1347,37.155
16,"+1","BECKY G","Shower",4623,50,402,-45,19.711,-0.499,71,"14",16,4623,853,20.21
17,"-1","KONGOS","Come With Me Now",4476,-231,-766,-277,17.92,-0.892,99,"23",14,5298,652,21.39
18,"=","IGGY AZALEA","Black Widow f/Rita Ora",4299,182,1357,83,25.53,0.144,27,"21",18,4299,1357,25.53
19,"=","ENRIQUE IGLESIAS","Bailando f/Gente De Zona",4019,123,678,32,38.157,0.006,62,"46",19,4019,719,38.157
20,"=","TIESTO","Wasted",3793,-10,81,9,18.624,-0.919,74,"42",19,3822,775,19.749
21,"=","AFROJACK","Ten Feet Tall f/Wrabel",3559,-98,-257,-82,14.178,-0.806,118,"127",19,3920,633,17.363
22,"=","JASON DERULO","Wiggle f/Snoop Dogg",3091,-291,-2390,36,12.83,-1.253,78,"25",10,7555,1666,36.719
23,"=","RITA ORA","I Will Never Let You Down",2824,27,119,-10,13.516,-0.213,62,"115",23,2824,643,13.729
24,"+1","KIESZA","Hideaway",2503,65,673,-41,17.893,1.607,27,"62",24,2503,714,17.893
25,"-1","AJR","I'm Ready",2497,9,-14,25,7.647,-0.052,106,"47",24,2537,461,8.111
26,"=","RIXTON","Me And My Broken Heart",2417,38,-722,189,13.411,0.078,146,"81",6,11699,1397,59.689
27,"=","LORDE","Tennis Court",2041,-232,-1283,-105,9.102,-0.977,88,"100",22,3658,590,16.188
28,"+1","FLORIDA-GEORGIA LINE","This Is How We Roll f/J.Derulo",1981,51,363,49,10.005,0.278,9,"54",28,1981,1589,10.005
29,"-1","TREY SONGZ","Na Na",1901,-98,-627,-26,14.418,0.481,113,"77",27,2847,394,18.704
