"","Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","Pk","PkSp","PkBl","PkAu"
"1",1,"=","SELENA GOMEZ","Same Old Love",18099,-170,-738,-180,113.722,-1.327,126,"19",1,18836,1774,120.08
"2",2,"=","ALESSIA CARA","Here",17599,74,915,43,108.946,1.157,184,"16",2,17599,1489,108.946
"3",3,"=","JUSTIN BIEBER","Sorry",17398,-120,-1039,-2,116.759,-0.896,89,"5",1,19494,3902,127.324
"4",4,"=","JUSTIN BIEBER","Love Yourself",14678,367,2873,-172,107.046,3.666,46,"1",4,14678,4103,107.046
"5",5,"=","THE WEEKND","In The Night",14115,84,824,-108,83.069,0.217,68,"26",4,14115,3011,83.069
"6",6,"+1","TWENTY ONE PILOTS","Stressed Out",12570,283,2368,-62,79.012,1.926,65,"2",6,12570,2702,79.012
"7",7,"-1","ADELE","Hello",12251,-251,-2119,92,89.885,-1.08,88,"4",1,19167,4705,124.831
"8",8,"+1","THE CHAINSMOKERS","Roses f/Rozes",11184,124,922,-31,67.635,1.019,114,"6",8,11184,2023,67.635
"9",9,"-1","MEGHAN TRAINOR","Like I'm Gonna Lose You",11182,-284,-1759,-117,63.55,-1.898,204,"22",5,13735,1275,83.171
"10",10,"=","DAYA","Hide Away",8936,145,392,126,50.604,0.843,156,"13",10,8936,883,50.604
"11",11,"=","DEMI LOVATO","Confident",8438,-84,-409,-33,43.467,-0.759,110,"38",9,9049,1761,48.443
"12",12,"=","ONE DIRECTION","Perfect",8322,-11,-274,28,42.309,0.171,93,"21",10,8635,1211,42.552
"13",13,"=","SHAWN MENDES & CAMILA CABELLO","I Know What You Did Last...",7681,9,387,-141,39.465,0.095,56,"14",13,7681,1989,39.465
"14",14,"=","ELLIE GOULDING","On My Mind",7227,-321,-2727,265,49.288,-2.104,124,"50",4,14332,3457,82.642
"15",15,"=","ADELE","When We Were Young",7009,76,865,-174,35.082,0.49,34,"10",15,7009,1962,35.082
"16",16,"=","DNCE","Cake By The Ocean",6784,142,934,19,35.18,1.292,111,"12",16,6784,1111,35.18
"17",17,"=","DRAKE","Hotline Bling",5730,-114,-1143,106,34.97,-0.741,127,"24",2,16016,2377,99.499
"18",18,"=","TAYLOR SWIFT","Out Of The Woods",5402,243,2201,-180,34.357,1.449,16,"54",18,5402,2806,34.357
"19",19,"=","FLO RIDA","My House",5346,203,1188,43,29.685,1.472,92,"3",19,5346,1338,29.685
"20",20,"=","CHARLIE PUTH","One Call Away",5100,84,503,66,22.81,0.439,71,"7",19,5100,819,22.81
"21",21,"+1","SELENA GOMEZ","Hands To Myself",4338,283,1671,101,25.055,1.578,16,"11",21,4338,1952,25.055
"22",22,"-1","FALL OUT BOY","Irresistible f/Demi Lovato",4199,15,110,21,17.216,-0.002,83,"52",21,4199,560,17.218
"23",23,"=","JASON DERULO","Get Ugly",3849,56,484,-52,16.514,0.158,37,"67",23,3849,1110,16.514
"24",24,"=","TORI KELLY","Hollow",3344,17,229,8,11.769,0.013,72,"119",24,3344,501,11.769
"25",25,"=","ROBIN SCHULZ","Sugar f/Francesco Yates",2991,69,435,19,16.348,0.582,53,"93",25,2991,492,16.348
"26",26,"=","TRAVI$ SCOTT","Antidote",2544,69,464,24,11.928,0.177,51,"33",26,2544,545,11.928
"27",27,"+1","ELLIE GOULDING","Something In The Way You Move",2379,248,1478,160,15.088,1.244,11,"264",27,2379,1478,15.088
"28",28,"-1","POST MALONE","White Iverson",2377,-9,-14,-16,7.691,-0.033,65,"25",27,2470,451,8.258
"29",29,"+1","RACHEL PLATTEN","Stand By You",2120,72,322,44,10.419,0.528,81,"15",29,2120,322,10.419
"30",30,"+3","DAVID GUETTA","Bang My Head f/Sia",1904,66,266,77,10.729,0.517,40,"226",30,1904,379,10.729
"31",31,"+1","R. CITY","Make Up f/Chloe Angelides",1866,9,150,-2,9.41,-0.037,44,"161",31,1866,348,9.56
"32",32,"-1","CHRIS BROWN","Zero",1832,-35,-271,-10,6.322,-0.325,84,"241",31,2128,391,9.008
"33",33,"-4","GWEN STEFANI","Used To Love You",1702,-355,-2609,-127,5.516,-1.606,82,"113",19,5224,1038,22.087
"34",34,"+3","G-EAZY","Me Myself And I f/Bebe Rexha",1627,116,784,16,10.137,0.643,12,"8",34,1627,784,10.137
"35",35,"-1","BORNS","Electric Love",1583,10,112,-12,4.307,0.039,51,"59",34,1583,225,4.307
"36",36,"=","DIPLO & SLEEPY TOM","Be Right There",1580,39,38,23,10.243,0.142,57,"233",36,1580,207,10.721
"37",37,"-2","X AMBASSADORS","Renegades",1548,-11,-238,0,7.701,0.038,162,"71",8,9986,1573,48.866
"38",38,"=","JUSTIN TIMBERLAKE","Drink You Away",1444,22,179,-11,5.671,0.078,32,"110",38,1444,390,5.671
"39",39,"=","FETTY WAP","679 f/Remy Boyz...",1350,11,-130,48,6.64,-0.188,135,"31",19,5210,769,28.742
"40",40,"=","HALSEY","New Americana",1055,-147,-1404,-9,2.646,-0.308,114,"121",25,3060,537,9.352
"41",41,"+1","SHAWN HOOK","Sound Of Your Heart",989,39,386,-58,2.287,0.122,9,"769",41,989,576,2.287
"42",42,"-1","ANDY GRAMMER","Good To Be Alive (Hallelujah)",955,-39,-194,-23,2.656,0.002,98,"43",41,1261,177,3.294
"43",43,"=","ADAM LAMBERT","Another Lonely Night",880,7,-58,26,1.908,0.043,42,"--",43,962,129,2.993
"44",44,"+1","TROYE SIVAN","Youth",869,30,187,-12,2.439,0.051,16,"280",44,869,301,2.483
"45",45,"-1","DAWIN","Dessert",829,-16,-11,-5,3.596,-0.085,57,"55",44,989,118,4.548
"46",46,"=","MIKE POSNER","I Took A Pill In Ibiza",806,49,378,27,6.484,0.272,4,"56",46,806,378,6.484
"47",47,"=","DJ SNAKE","Middle f/Bipolar Sunshine",664,30,273,-11,7.403,0.154,2,"92",47,664,284,7.403
"48",48,"=","PITBULL","El Taxi f/Sensato & O. Garcia",646,21,161,-7,4.986,0.165,4,"416",48,646,219,4.986
"49",49,"+1","LUKAS GRAHAM","7 Years",539,54,363,21,1.713,0.163,2,"65",49,539,363,1.713
"50",50,"-1","COLDPLAY","Adventure Of A Lifetime",483,-3,-21,-8,2.306,-0.038,10,"42",48,507,29,2.836
