"Pos","Pos.","Artist","Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","iTunes","Pk","PkSp","PkBl","PkAu"
1,"=","MARK RONSON","Uptown Funk f/Bruno Mars",19205,"+43",-182,"-12",123.624,"+0.093",112,"1",1,19386,3126,125.545
2,"=","ED SHEERAN","Thinking Out Loud",18670,"+120",466,"+147",117.95,"+0.992",85,"3",2,18670,3319,117.95
3,"=","TAYLOR SWIFT","Style",15660,"+285",2216,"+100",102.335,"+1.149",56,"7",3,15660,3111,102.335
4,"=","PITBULL","Time Of Our Lives f/Ne-Yo",14184,"+100",1254,"-144",89.49,"+0.622",94,"8",4,14184,2867,89.49
5,"=","MAROON 5","Sugar",12963,"+248",1886,"+96",83.842,"+1.306",50,"5",5,12963,2244,83.842
6,"=","HOZIER","Take Me To Church",10892,"-331",-2628,"+9",65.192,"-1.624",140,"9",2,14683,2004,91.149
7,"+1","LILLYWOOD & ROBIN SCHULZ","Prayer In C",10657,"+21",314,"-58",66.668,"-0.706",120,"38",7,10657,1413,68.631
8,"+1","RIHANNA/KANYE WEST/P MCCARTNEY","FourFiveSeconds",10578,"+113",1086,"-30",61.862,"+0.511",36,"4",8,10578,3932,61.862
9,"-2","MEGHAN TRAINOR","Lips Are Movin",10385,"-309",-2774,"-98",52.771,"-1.883",133,"20",4,13569,1988,75.882
10,"=","TAYLOR SWIFT","Blank Space",9812,"-255",-1534,"-137",72.912,"-1.303",125,"14",1,18014,3248,118.647
11,"=","ELLIE GOULDING","Love Me Like You Do",8679,"+213",1227,"+60",52.147,"+1.466",51,"2",11,8679,1757,52.147
12,"=","CALVIN HARRIS","Outside f/Ellie Goulding",8103,"+189",1031,"+160",53.138,"+0.782",72,"36",12,8103,1280,53.138
13,"=","ELLA HENDERSON","Ghost",7593,"-136",-511,"-128",37.759,"-0.881",172,"22",11,8217,1207,40.362
14,"=","FALL OUT BOY","Centuries",7043,"-139",-796,"-208",34.61,"-1.223",166,"15",12,7839,756,42.152
15,"=","ONE DIRECTION","Night Changes",5989,"+121",547,"+60",29.946,"+0.788",107,"52",15,5989,1221,29.946
16,"=","USHER","I Don't Mind f/Juicy J",5797,"+51",272,"-4",33.821,"+0.336",85,"26",15,5797,911,33.821
17,"=","NICK JONAS","Chains",5659,"+213",1100,"+106",32.852,"+1.324",50,"13",17,5659,1264,32.852
18,"=","NATALIE LA ROSE","Somebody f/Jeremih",5495,"+228",1058,"+114",33.001,"+0.605",57,"18",18,5495,1193,33.001
19,"=","ARIANA GRANDE","One Last Time",5328,"+189",1275,"-176",32.042,"+1.302",23,"25",19,5328,2135,32.042
20,"=","NE-YO","She Knows f/Juicy J",5227,"+153",624,"+55",24.62,"+0.721",64,"29",18,5227,1028,24.62
21,"+1","KELLY CLARKSON","Heartbeat Song",4234,"+41",217,"-21",17.957,"+0.209",47,"19",20,4234,1093,17.957
22,"+2","ZEDD","I Want You To Know f/S. Gomez",3806,"+524",3786,"+504",35.742,"+4.028",7,"11",22,3806,3786,35.742
23,"=","VANCE JOY","Riptide",3611,"+129",558,"+119",17.696,"+0.668",125,"31",23,3611,558,17.696
24,"+1","TORI KELLY","Nobody Love",3027,"+125",600,"+38",16.774,"+0.598",20,"91",24,3027,1398,16.774
25,"+2","FLO RIDA","GDFR f/Sage The Gemini",2843,"+191",666,"+121",13.248,"+1.163",52,"10",25,2843,666,13.248
26,"=","TOVE LO","Talking Body",2729,"+73",233,"-25",16.397,"+0.102",46,"46",26,2729,589,16.397
27,"+1","NICKI MINAJ","Truffle Butter f/Drake...",2669,"+125",424,"+93",13.921,"+0.813",43,"17",27,2669,577,13.921
28,"+2","SAM SMITH","Lay Me Down",2417,"+115",474,"+57",10.457,"+0.687",20,"51",28,2417,1008,10.457
29,"=","SELENA GOMEZ","The Heart Wants What It Wants",2267,"-155",-1017,"+33",12.577,"-1.152",116,"81",7,10523,2058,67.628
30,"+2","IMAGINE DRAGONS","I Bet My Life",1784,"+58",117,"+6",6.994,"+0.383",56,"33",30,1784,436,6.994
31,"=","JESSIE J","Masterpiece",1772,"+4",-31,"-51",6.487,"+0.055",48,"157",29,1803,587,6.563
32,"+1","THE WEEKND","Earned It",1476,"+158",711,"+119",11.589,"+0.814",12,"6",32,1476,711,11.589
33,"+3","ECHOSMITH","Bright",1260,"+28",132,"+15",4.288,"+0.065",28,"128",33,1260,405,4.288
34,"+5","LUNCHMONEY LEWIS","Bills",1198,"+130",672,"+96",5.626,"+0.675",8,"491",34,1198,672,5.626
35,"+2","WHO IS FANCY","Goodbye",1180,"+26",332,"-22",8.325,"+0.050",16,"97",35,1180,399,8.325
36,"+2","WALK THE MOON","Shut Up And Dance",1150,"+46",362,"+24",5.909,"+0.242",16,"21",36,1150,362,5.909
37,"-2","ONEREPUBLIC","I Lived",1045,"-195",-1440,"-14",4.331,"-0.887",108,"69",17,5193,1083,23.7
38,"+2","CASH CASH","Surrender",951,"+29",133,"+24",4.006,"+0.109",43,"586",37,951,157,4.006
39,"-5","PRINCE ROYCE","Stuck On A Feeling f/Snoop...",938,"-332",-1947,"-124",3.927,"-1.458",88,"93",16,5829,1306,31.259
40,"+1","CHRIS BROWN & TYGA","Ayo",925,"+65",314,"+39",4.523,"+0.210",13,"34",40,925,330,4.523
41,"+1","IGGY AZALEA","Trouble f/Jennifer Hudson",844,"+5",179,"-35",2.588,"-0.095",14,"359",41,844,298,2.724
42,"+1","OLLY MURS","Wrapped Up f/Travie McCoy",837,"+2",64,"-13",1.787,"-0.023",29,"217",40,837,309,1.81
