"","Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
"1",1,"=","ROBIN THICKE","Blurred Lines f/P...",13235,-317,-1228,-169,85.402,-2.609,125,"10",1,16771,2544,113.5
"2",2,"=","ZEDD","Clarity f/Foxes",13152,-227,-638,-234,86.971,-1.051,178,"26",2,14188,1183,92.157
"3",3,"+1","KATY PERRY","Roar",12748,468,2666,187,94.34,3.558,31,"2",3,12748,6098,94.34
"4",4,"-1","CAPITAL CITIES","Safe And Sound",12566,257,1098,165,83.122,1.326,143,"14",3,12566,1098,83.122
"5",5,"=","MAROON 5","Love Somebody",11238,-558,-2063,-497,71.279,-2.289,119,"58",2,13931,1278,87.913
"6",6,"+1","LANA DEL REY","Summertime Sadnes...",11199,190,1136,126,74.595,1.176,70,"15/27",6,11199,1923,74.595
"7",7,"-1","MACKLEMORE & RYAN...","Same Love f/Mary ...",11162,-16,122,-57,69.254,-0.737,110,"19",5,11178,1815,71.324
"8",8,"=","CALVIN HARRIS F/E...","I Need Your Love",10807,-19,6,-77,67.213,-1.371,159,"52",5,10846,1386,72.137
"9",9,"=","MILEY CYRUS","We Can't Stop",8896,-216,-425,-260,50.819,-1.622,98,"11",9,9405,1276,55.184
"10",10,"+1","AVICII","Wake Me Up",8787,254,1343,82,61.243,1.995,46,"4",10,8787,2103,61.243
"11",11,"-1","IMAGINE DRAGONS","Radioactive",8706,-162,-1025,71,59.181,-1.298,151,"18",2,14606,2069,92.777
"12",12,"=","JAY Z","Holy Grail f/Just...",7915,178,1112,31,50.555,1.755,69,"9",12,7915,2095,50.555
"13",13,"=","LADY GAGA","Applause",6916,264,979,164,42.898,1.756,30,"5",13,6916,3922,42.898
"14",14,"=","LORDE","Royals",6735,250,2139,-54,47.57,1.399,30,"3",14,6735,2237,47.57
"15",15,"=","BRUNO MARS","Treasure",5895,-199,-1065,-14,32.947,-0.786,123,"45/98",5,11434,2114,69.467
"16",16,"+1","ONE DIRECTION","Best Song Ever",5235,-20,172,-14,25.039,-0.113,53,"21",16,5307,1660,25.473
"17",17,"-1","JUSTIN TIMBERLAKE","Take Back The Nig...",5072,-368,-1380,-324,27.344,-1.631,61,"72",13,6823,3722,40.113
"18",18,"=","DAFT PUNK","Get Lucky",4834,-172,-878,-83,36.475,-0.757,142,"32",2,14968,2173,99.686
"19",19,"+1","DRAKE","Hold On We're Goi...",4778,200,1474,24,29.881,0.942,31,"7",19,4778,1474,29.881
"20",20,"-1","PARAMORE","Still Into You",4735,41,400,-27,28.721,0.339,125,"24",19,4735,711,28.721
"21",21,"+1","PHILLIP PHILLIPS","Gone, Gone, Gone",4377,35,114,10,23.091,-0.167,106,"40",19,4377,462,24.14
"22",22,"-1","TAYLOR SWIFT","Everything Has .....",4367,-23,282,-54,22.819,-0.343,59,"41",20,4390,990,23.162
"23",23,"=","JASON DERULO","The Other Side",4016,-128,-740,72,28.581,-0.812,145,"114",5,11323,2399,66.105
"24",24,"=","ENRIQUE IGLESIAS","Turn The Night Up",3866,-90,-141,-153,16.98,-0.761,51,"83",21,4111,2260,24.628
"25",25,"=","BONNIE MCKEE","American Girl",3117,40,122,37,14.555,-0.067,66,"92",25,3117,740,15.059
"26",26,"=","ROBIN THICKE","Give It 2 U f/Ken...",3087,198,1026,137,19.775,1,38,"29",26,3087,1026,19.775
"27",27,"=","SELENA GOMEZ","Slow Down",3065,181,1013,82,18.542,0.937,24,"62",27,3065,1013,18.542
"28",28,"=","AWOLNATION","Sail",2762,12,299,1,12.107,0.013,111,"17",27,2762,299,12.107
"29",29,"=","EMINEM","Berzerk",2753,152,1016,275,16.426,0.629,15,"6/91",29,2753,1757,16.426
"30",30,"=","TEGAN & SARA","Closer",2303,77,528,-1,11.368,0.311,87,"268",30,2303,529,11.368
"31",31,"=","PINK","True Love f/Lily ...",2227,1,19,-5,10.428,0.094,52,"81",28,2250,503,10.728
"32",32,"=","NEIGHBOURHOOD","Sweater Weather",1726,14,151,2,6.206,0.038,74,"61",32,1726,262,6.206
"33",33,"=","KREWELLA","Live For The Nigh...",1681,1,181,-43,6.937,0.022,51,"285",33,1681,288,6.943
"34",34,"=","FIFTH HARMONY","Miss Movin' On",1660,50,188,35,6.893,-0.021,64,"130",34,1660,324,6.969
"35",35,"=","CODY SIMPSON","Pretty Brown Eyes",1510,-14,89,-38,4.425,-0.005,61,"187",34,1526,328,4.43
"36",36,"=","ARMIN VAN BUUREN","This Is What It F...",1272,31,166,13,10.511,0.162,48,"156",36,1272,225,10.511
"37",37,"=","FLO RIDA","Can't Believe It ...",1200,-6,52,-19,4.912,0.054,38,"115",37,1206,479,5.365
"38",38,"=","LABRINTH","Beneath Your Beau...",925,-81,-715,111,3.389,-0.376,117,"55",25,2799,485,13.99
"39",39,"+1","J. COLE","Crooked Smile f/T...",738,20,207,1,2.584,0.065,23,"142",39,738,207,2.584
"40",40,"-1","DEMI LOVATO","Made In The USA",735,-38,-172,-22,2.63,-0.155,49,"159",39,1032,271,4.421
"41",41,"=","DAFT PUNK","Lose Yourself To ...",707,1,128,-41,2.144,-0.01,14,"--",41,707,249,2.197
"42",42,"=","FALL OUT BOY","Alone Together",697,15,160,-3,2.697,0.109,23,"--",42,697,170,2.697
"43",43,"=","ICONA POP","All Night",694,20,149,4,2.337,0.112,24,"--",42,694,149,2.337
"44",44,"+3","BRUNO MARS","Gorilla",648,172,545,152,5.353,0.969,2,"67",44,648,545,5.353
"45",45,"-1","MIKA","Popular Song f/Ar...",610,3,54,-21,1.335,-0.001,24,"257",41,610,210,1.384
