"","Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","Pk","PkSp","PkBl","PkAu"
"1",1,"=","CHARLI XCX","Boom Clap",15674,"-42",351,"-192",99.418,"-0.330",79,"11",1,15741,2210,99.979
"2",2,"=","SAM SMITH","Stay With Me",14943,"-204",-1421,"-47",92.228,"-1.833",112,"7",1,17277,2202,112.938
"3",3,"=","MAGIC!","Rude",12826,"-488",-2719,"-424",81.035,"-2.877",138,"16",1,17959,2371,118.65
"4",4,"=","MAROON 5","Maps",12643,"+96",673,"+53",68.694,"+0.287",77,"8",4,12643,4866,68.694
"5",5,"+1","MEGHAN TRAINOR","All About That Bass",10791,"+146",1713,"-24",64.263,"+0.964",55,"2",5,10791,2609,64.263
"6",6,"-1","NICO & VINZ","Am I Wrong",10704,"-145",-1026,"+51",68.657,"-0.979",153,"37",1,17731,2409,119.274
"7",7,"=","ARIANA GRANDE","Break Free f/Zedd",10168,"-12",784,"-76",66.069,"+0.396",58,"5",7,10180,2327,66.069
"8",8,"+1","CLEAN BANDIT","Rather Be f/Jess Glynne",9934,"+65",616,"-25",66.022,"+0.229",95,"10",8,9934,1429,66.022
"9",9,"+1","TAYLOR SWIFT","Shake It Off",9849,"+193",833,"-1036",64.145,"+1.416",14,"1",9,9849,9016,64.145
"10",10,"-2","DISCLOSURE","Latch f/Sam Smith",9773,"-222",-2326,"+198",57.334,"-1.747",211,"29",3,15461,1542,91.17
"11",11,"=","SIA","Chandelier",9186,"-79",141,"-196",60.766,"+0.101",134,"9",10,9270,1217,60.766
"12",12,"=","IGGY AZALEA","Black Widow f/Rita Ora",9056,"+123",1115,"+18",58.204,"+1.585",64,"6",12,9056,1492,58.204
"13",13,"=","DEMI LOVATO","Really Don't Care f/Cher Lloyd",8428,"-248",-971,"-242",54.722,"-1.002",99,"30",7,9530,1152,57.524
"14",14,"=","ENRIQUE IGLESIAS","Bailando f/Gente De Zona",8242,"-89",318,"-161",62.989,"-0.400",99,"25",12,8331,1299,63.654
"15",15,"=","JESSIE J/A. GRANDE/N. MINAJ","Bang Bang",7716,"+31",499,"-46",48.189,"+0.133",34,"3",15,7716,4716,48.189
"16",16,"=","ARIANA GRANDE","Problem f/Iggy Azalea",6820,"-197",-1283,"-114",42.66,"-1.023",124,"12",1,17403,2576,116.283
"17",17,"+1","JEREMIH","Don't Tell 'Em f/YG",4933,"+196",1015,"+24",35.209,"+1.474",43,"17",17,4933,1115,35.209
"18",18,"-1","KIESZA","Hideaway",4859,"-29",243,"-58",29.982,"+0.169",64,"41",17,5006,788,30.246
"19",19,"=","ECHOSMITH","Cool Kids",4791,"+199",692,"+97",25.429,"+1.015",85,"15",18,4791,739,25.429
"20",20,"=","KATY PERRY","This Is How We Do",4672,"+171",964,"+60",23.373,"+0.902",26,"26",20,4672,1638,23.373
"21",21,"+1","TOVE LO","Habits (Stay High)",4574,"+221",1161,"+156",27.137,"+0.782",70,"22/87",21,4574,1161,27.137
"22",22,"-1","5 SECONDS OF SUMMER","Amnesia",4423,"+28",314,"-61",19.982,"+0.285",47,"19",18,4423,912,19.982
"23",23,"=","ED SHEERAN","Don't",4322,"+139",653,"+84",23.478,"+1.004",50,"24",22,4322,795,23.478
"24",24,"=","COLDPLAY","A Sky Full Of Stars",3351,"+138",564,"+45",24.558,"+1.103",64,"31",24,3351,564,24.558
"25",25,"=","INGRID MICHAELSON","Girls Chase Boys",3164,"-35",159,"-78",13.298,"+0.027",85,"52",25,3222,499,13.298
"26",26,"=","ONEREPUBLIC","Love Runs Out",2942,"-188",-1035,"+95",15.193,"-1.191",122,"40",9,8849,1336,45.354
"27",27,"=","RITA ORA","I Will Never Let You Down",2835,"-241",-726,"-253",12.331,"-1.159",99,"97",20,3585,643,15.988
"28",28,"+1","TINASHE","2 On f/Schoolboy Q",2725,"-2",67,"-48",13.637,"-0.166",84,"90",28,2744,403,14.907
"29",29,"-1","BECKY G","Shower",2468,"-296",-1859,"-49",9.349,"-1.370",108,"23",16,5432,853,23.665
"30",30,"=","PITBULL","Fireball f/John Ryan",2229,"+93",588,"+42",12.724,"+0.540",29,"34",30,2229,606,12.724
"31",31,"=","NICKI MINAJ","Anaconda",2071,"+158",538,"+161",7.924,"+0.950",27,"4/55",31,2071,974,8.86
"32",32,"=","FLORIDA-GEORGIA LINE","This Is How We Roll f/J.Derulo",1463,"-152",-879,"-121",6.814,"-0.926",46,"69",26,2686,1589,13.043
"33",33,"=","THE 1975","Girls",1349,"-8",85,"-8",3.694,"-0.008",42,"--",33,1357,385,3.702
