"Pos","Pos.","Artist","Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"=","EMINEM","The Monster f/Rih...",15908,85,939,-278,114.048,0.425,49,"5/47",1,15908,2904,114.048
2,"=","ONEREPUBLIC","Counting Stars",15070,130,1531,-238,105.415,0.792,66,"6",2,15070,2609,105.415
3,"=","IMAGINE DRAGONS","Demons",14429,0,44,-84,95.668,0.018,107,"13",1,14595,1982,96.313
4,"=","PITBULL","Timber f/Ke$ha",12706,315,1883,24,86.125,2.658,64,"3",4,12706,1883,86.125
5,"=","AVICII","Wake Me Up",11181,-120,-882,-35,85.247,-1.863,143,"19",1,17010,2103,116.977
6,"=","MILEY CYRUS","Wrecking Ball",9365,-379,-1887,-31,58.606,-2.06,97,"27",1,15459,2954,107.57
7,"=","ZEDD","Stay The Night f/...",8909,41,247,-29,62.419,0.417,79,"40",7,8909,1238,62.419
8,"=","LORDE","Royals",8322,-173,-1513,146,55.067,-1.273,127,"10",1,16495,2817,112.509
9,"=","KATY PERRY","Unconditionally",8139,-206,-849,-221,40.85,-2.075,59,"30",8,8987,3384,51.293
10,"=","LADY GAGA","Do What U Want f/...",7754,91,667,-62,47.554,0.522,49,"29",10,7754,1408,47.554
11,"=","NEIGHBOURHOOD","Sweater Weather",7488,116,373,50,40.674,0.644,171,"17",11,7488,869,40.674
12,"+1","ELLIE GOULDING","Burn",7020,133,1262,-119,54.64,1.099,72,"14",12,7020,1500,54.64
13,"+1","PASSENGER","Let Her Go",7018,146,1079,52,40.029,0.747,79,"7",13,7018,1223,40.029
14,"+1","ONE DIRECTION","Story Of My Life",6836,100,788,-100,40.059,0.977,48,"8",13,6836,1292,40.059
15,"-3","DRAKE","Hold On We're Goi...",6756,-191,-1518,83,40.824,-1.93,128,"35",4,11961,1610,74.25
16,"=","MACKLEMORE & RYAN...","White Walls f/ScH...",6144,111,497,68,36.257,0.363,94,"22",16,6144,764,36.257
17,"=","LADY GAGA","Applause",5350,-203,-1356,-11,43.199,-1.076,127,"44",4,12273,3922,81.876
18,"=","JASON DERULO","Marry Me",5081,-237,-1006,-277,24.423,-1.267,94,"15",14,6157,856,31.947
19,"+1","KATY PERRY","Roar",4996,-58,-710,63,35.375,-0.567,128,"24",1,17176,6098,117.145
20,"-1","SELENA GOMEZ","Slow Down",4967,-293,-2929,152,27.175,-1.559,121,"84",7,9868,1167,57.795
21,"+1","A GREAT BIG WORLD","Say Something w/C...",4090,146,1146,-104,25.284,0.935,25,"2/49",21,4090,1506,25.284
22,"+1","LORDE","Team",4049,219,1327,63,28.826,1.795,24,"25",22,4049,1327,28.826
23,"-2","JUSTIN TIMBERLAKE","TKO",3886,-217,-1262,37,16.973,-0.979,84,"127",11,6739,1724,32.813
24,"=","BRITNEY SPEARS","Perfume",3535,31,284,-13,16.833,-0.077,38,"110",22,3535,896,17.467
