"","Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
"1",1,"=","MAROON 5 F/CHRISTINA AGUILERA Moves Like...",14042,3,-68,-17,91.11,-0.175,96,"6",1,14127,1893,93.336
"2",2,"=","ADELE Someone Like You",12904,100,1011,-103,88.566,0.695,67,"1",2,12904,2614,88.566
"3",3,"=","GYM CLASS HEROES Stereo Hearts f/Adam Le...",12713,121,812,50,78.962,0.46,106,"7",2,12713,1685,78.962
"4",4,"=","FOSTER THE PEOPLE Pumped Up Kicks",12037,56,423,-84,69.605,0.8,91,"5",3,12037,1356,69.605
"5",5,"=","COBRA STARSHIP You Make Me Feel... f/Sab...",10576,72,945,-91,63.973,0.411,121,"9",5,10576,1097,63.973
"6",6,"=","BAD MEETS EVIL Lighters f/Bruno Mars",8361,-272,-1382,-106,55.664,-2.267,109,"36",2,11835,1599,78.403
"7",7,"+2","DAVID GUETTA Without You f/Usher",7820,226,748,158,49.077,1.219,47,"8",7,7820,1586,49.077
"8",8,"=","LADY GAGA You And I",7594,-18,-7,-100,44.25,0.305,65,"10",8,7647,1553,44.25
"9",9,"-2","LMFAO Party Rock Anthem",7527,-129,-385,-97,49.258,-0.517,155,"13",1,14043,1859,94.193
"10",10,"=","DEV In The Dark",7196,49,198,3,48.751,0.077,76,"16",10,7196,1224,48.751
"11",11,"+1","PITBULL Give Me Everything f/Ne-Yo",6617,-7,-411,66,44.029,0.199,155,"45",1,14233,1811,95.596
"12",12,"-1","BRITNEY SPEARS I Wanna Go",6533,-203,-1292,-81,42.599,-1.554,121,"66",1,12853,1768,82.422
"13",13,"=","NICKI MINAJ Super Bass",6262,-78,-657,-44,42.687,-0.636,155,"18",3,12009,1188,73.23
"14",14,"+1","LMFAO Sexy And I Know It",6024,161,1038,7,37.941,1.457,47,"3",14,6024,1530,37.941
"15",15,"-1","KATY PERRY Last Friday Night (T.G.I.F.)",6007,-153,-1232,43,33.659,-0.998,138,"60",1,14935,2322,96.531
"16",16,"=","JASON DERULO It Girl",5445,9,286,-69,26.46,0.156,56,"12",16,5445,1048,26.46
"17",17,"+1","RIHANNA We Found Love f/Calvin Harris",4838,207,1977,-131,32.939,1.417,18,"4",17,4838,2184,32.939
"18",18,"+1","KELLY CLARKSON Mr. Know It All",4692,79,327,57,24.246,0.107,39,"20",18,4692,1093,24.246
"19",19,"-2","RIHANNA Cheers (Drink To That)",4517,-305,-1852,-50,24.036,-1.716,77,"17",10,8085,1594,43.942
"20",20,"=","ALEXANDRA STAN Mr. Saxobeat",4408,14,88,-55,37.253,-0.119,81,"27",19,4408,673,37.372
"21",21,"=","THE SCRIPT Nothing",4324,10,223,-31,20.566,0.07,75,"28",18,4331,722,20.566
"22",22,"=","ANDY GRAMMER Keep Your Head Up",3066,-18,62,-16,12.789,-0.015,109,"95",22,3119,355,12.824
"23",23,"=","LIL WAYNE How To Love",2812,-24,-388,55,18.148,-0.247,130,"29",9,8047,1328,45.275
"24",24,"=","NEW BOYZ Better With The Lights Off",2733,-5,-5,-43,10.071,-0.038,69,"34",23,2777,423,10.454
"25",25,"=","PATRICK STUMP This City f/Lupe Fiasco",2027,3,101,13,8.53,-0.169,46,"122",25,2046,386,8.768
"26",26,"+1","NICKI MINAJ Fly f/Rihanna",1991,112,449,71,8.675,0.345,25,"47",26,1991,643,8.675
"27",27,"+1","BRITNEY SPEARS Criminal",1904,87,474,19,8.983,0.503,22,"207",27,1904,596,8.983
"28",28,"-2","SELENA GOMEZ & THE SCENE Love You Like A...",1895,9,148,-44,9.131,0.193,51,"32",26,1895,306,9.131
"29",29,"+2","BRUNO MARS It Will Rain",1648,178,1020,47,10.307,0.714,10,"49",29,1648,1020,10.307
"30",30,"-1","LLOYD Dedication To My Ex...",1646,0,108,-40,5.91,-0.105,40,"151",29,1646,315,6.038
"31",31,"+1","FLO RIDA Good Feeling",1515,84,516,40,7.787,0.746,18,"31",31,1515,516,7.787
"32",32,"-2","AFROJACK Take Over Control f/Eva Simons",1482,-111,-499,-47,15.804,-0.698,115,"70",24,2836,435,23.455
"33",33,"=","GAVIN DEGRAW Not Over You",1337,0,37,-8,5.197,0.08,49,"43",31,1337,310,5.197
