"Pos","Pos.","Artist","Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","iTunes","Pk","PkSp","PkBl","PkAu"
1,"=","MAROON 5","Animals",17019,"-26",-299,"+5",109.07,"-0.100",75,"12",1,17381,3186,114.705
2,"+1","TAYLOR SWIFT","Blank Space",15544,"+428",2884,"+187",106.568,"+2.371",40,"1",2,15544,3248,106.568
3,"-1","ED SHEERAN","Don't",15305,"-126",-304,"-195",90.231,"-1.009",147,"23",2,15646,2073,94.331
4,"=","CALVIN HARRIS","Blame f/John Newman",13700,"+2",193,"-34",84.061,"-0.443",90,"33",3,13764,1988,85.912
5,"=","NICK JONAS","Jealous",12498,"-19",727,"-278",69.247,"+0.266",87,"10",5,12517,1846,69.247
6,"+1","MR PROBZ","Waves",12203,"+46",185,"+79",82.23,"+0.623",147,"22",5,12203,1264,82.23
7,"-1","TOVE LO","Habits (Stay High)",11825,"-341",-1976,"-28",85.334,"-1.659",167,"30",1,16744,2816,110.186
8,"=","ARIANA GRANDE & THE WEEKND","Love Me Harder",9867,"+195",814,"+152",67.761,"+1.212",61,"16",8,9867,1751,67.761
9,"=","SAM SMITH","I'm Not The Only One",8826,"+79",369,"-32",52.165,"+0.711",73,"9",9,8826,1424,52.165
10,"=","TAYLOR SWIFT","Shake It Off",8300,"-151",-1257,"+30",60.284,"-1.270",111,"6",1,17531,9016,110.142
11,"=","JASON DERULO","Trumpets",7145,"-319",-1450,"-228",35.089,"-2.047",104,"27",9,8686,1238,46.628
12,"=","IGGY AZALEA","Beg For It f/MØ",7139,"+7",235,"-61",37.857,"-0.078",44,"20",12,7139,2920,38.689
13,"=","MEGHAN TRAINOR","All About That Bass",6546,"-154",-783,"-36",42.659,"-1.413",152,"7",1,17875,3030,116.17
14,"=","HOZIER","Take Me To Church",6499,"+219",1030,"+86",39.293,"+1.476",55,"3",14,6499,1034,39.293
15,"+1","ALESSO","Heroes",6287,"+158",578,"+150",36.422,"+0.908",90,"39",15,6287,896,36.422
16,"-1","JESSIE J/A. GRANDE/N. MINAJ","Bang Bang",6028,"-211",-961,"-195",37.09,"-0.968",131,"18",1,15754,4716,94.236
17,"=","SELENA GOMEZ","The Heart Wants What It Wants",5904,"+214",968,"+70",34.884,"+1.313",31,"11",17,5904,2058,34.884
18,"=","MEGHAN TRAINOR","Lips Are Movin",5721,"+139",477,"+128",30.719,"+1.013",48,"5",18,5721,1423,30.719
19,"=","JEREMIH","Don't Tell 'Em f/YG",5333,"-125",-900,"-109",33.526,"-0.811",140,"61",5,12620,1458,74.757
20,"=","MARK RONSON","Uptown Funk f/Bruno Mars",5155,"+198",1151,"+38",29.805,"+1.161",27,"2",20,5155,2689,29.805
21,"=","FALL OUT BOY","Centuries",4538,"+107",236,"+129",21.852,"+0.325",81,"15",20,4538,679,22.502
