"Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","Pk","PkSp","PkBl","PkAu"
1,"=","ZAYN","Pillowtalk",17343,"+140",1163,"-81",103.25,"+1.608",90,"71",1,17343,2441,103.25
2,"=","MIKE POSNER","I Took A Pill In Ibiza",16251,"+231",1077,"+35",101.226,"+0.849",104,"15",2,16251,1578,101.226
3,"=","LUKAS GRAHAM","7 Years",16147,"+241",1763,"-89",96.872,"+1.327",102,"8",3,16147,2077,96.872
4,"=","DNCE","Cake By The Ocean",13933,"-351",-1558,"-122",78.419,"-1.615",211,"33",2,15763,1185,92.576
5,"=","G-EAZY","Me Myself And I f/Bebe Rexha",13682,"-282",-1717,"+6",82.528,"-1.846",112,"57",1,16250,1836,97.757
6,"+2","FIFTH HARMONY","Work From Home",12160,"+177",701,"+46",70.563,"+1.413",62,"16",6,12160,4059,70.563
7,"=","MEGHAN TRAINOR","NO",12103,"-55",-375,"+19",63.802,"-0.841",55,"18",7,12552,5498,69.649
8,"-2","JUSTIN BIEBER","Love Yourself",12036,"-148",-1139,"+56",81.589,"-1.691",146,"49",1,19000,4103,124.28
9,"=","FLO RIDA","My House",11104,"-98",-1253,"+96",67.253,"-0.755",192,"24",1,18123,2285,104.909
10,"=","ZARA LARSSON & MNEK","Never Forget You",10631,"+101",358,"+33",62.011,"+0.112",85,"26",10,10631,1534,62.309
11,"=","ARIANA GRANDE","Dangerous Woman",9152,"+79",584,"-36",52.452,"-0.012",48,"19",11,9152,4214,52.464
12,"=","THE CHAINSMOKERS","Don't Let Me Down f/Daya",8697,"+279",1449,"+79",54.744,"+1.996",46,"14",12,8697,1906,54.744
13,"=","DJ SNAKE","Middle f/Bipolar Sunshine",8420,"+84",202,"+69",44.312,"-0.019",102,"50",12,8420,1239,44.331
14,"=","SELENA GOMEZ","Hands To Myself",6835,"-235",-2079,"+72",39.822,"-0.808",116,"113",1,16291,1952,91.457
15,"=","NICK JONAS","Close f/Tove Lo",6602,"-10",270,"-141",33.514,"+0.009",34,"35",15,6612,3392,33.514
16,"=","ALESSIA CARA","Wild Things",5668,"+43",393,"-25",25.233,"+0.446",88,"82",16,5668,814,25.233
17,"=","JASON DERULO","If It Ain't Love",5373,"+134",777,"+5",25.789,"+0.757",27,"124",17,5373,2192,25.789
18,"+3","DRAKE","One Dance f/Wizkid & Kyla",4863,"+313",2167,"+25",33.836,"+2.100",18,"5",18,4863,2167,33.836
19,"-1","JUSTIN BIEBER","Company",4753,"-409",-1475,"-277",23.359,"-2.401",60,"146",16,6486,2006,31.446
20,"=","JAMES BAY","Let It Go",4709,"+101",755,"+16",25.728,"+0.562",67,"30",20,4709,885,25.728
21,"-2","TROYE SIVAN","Youth",4354,"-357",-1013,"-331",17.119,"-1.449",116,"40",17,5443,660,22.213
22,"=","IGGY AZALEA","Team",3557,"+31",246,"-52",12.71,"+0.223",39,"94",22,3557,1132,12.71
23,"=","RUTH B.","Lost Boy",3467,"+82",302,"+46",16.223,"+0.403",73,"23",23,3467,530,16.223
24,"=","RIHANNA","Work f/Drake",3244,"-136",-1899,"+135",21.235,"-0.436",92,"45",8,11661,3999,67.246
25,"=","RIHANNA","Kiss It Better",3143,"+76",564,"-15",15.25,"+0.168",22,"89",25,3143,1133,15.25
26,"=","PINK","Just Like Fire",3002,"+166",1185,"-178",14.182,"+0.677",13,"51",26,3002,2189,15.897
27,"=","GRACE","You Don't Own Me f/G-Eazy",2488,"+72",417,"-6",10.622,"+0.307",41,"68",27,2488,603,10.622
28,"=","PITBULL F/ENRIQUE IGLESIAS","Messin' Around",2384,"+43",448,"-38",10.735,"+0.237",20,"65",28,2384,1675,13.913
29,"=","FLUME","Never Be Like You f/Kai",2147,"+61",410,"+22",11.299,"+0.508",44,"86",29,2147,410,11.299
30,"=","TWENTY ONE PILOTS","Ride",1836,"+104",660,"+3",6.818,"+0.528",18,"69",30,1836,660,6.818
31,"=","SIA","Cheap Thrills",1753,"+32",244,"+18",7.228,"+0.226",51,"88",30,1753,260,7.228
