"","Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
"1",1,"=","CARLY RAE JEPSEN Call Me Maybe",14537,"-26",397,"-270",110.788,"-0.375",99,"1",1,14563,1711,111.23
"2",2,"=","GOTYE Somebody That I Used To Know",13408,"-44",-346,"-2",101.379,"+0.117",109,"3",1,14242,2018,106.819
"3",3,"=","MAROON 5 Payphone f/Wiz Khalifa",13288,"+98",1211,"-70",92.848,"+0.910",63,"4",3,13288,3415,92.848
"4",4,"=","ONE DIRECTION What Makes You Beautiful",11109,"-86",-613,"+1",76.883,"-0.928",110,"10",3,11838,1579,80.433
"5",5,"=","NICKI MINAJ Starships",9333,"-285",-1616,"-260",71.754,"-1.434",125,"24/44",3,12071,1834,87.938
"6",6,"=","FUN. We Are Young f/Janelle Monae",9097,"-184",-972,"+66",64.549,"-1.595",117,"16",1,14439,2738,110.772
"7",7,"=","RIHANNA Where Have You Been",8678,"+60",715,"-61",68.336,"+0.462",64,"7",7,8678,1884,68.336
"8",8,"=","FLO RIDA Wild Ones f/Sia",8226,"-90",-620,"-47",65.711,"-0.499",135,"14",2,12595,1940,93.589
"9",9,"=","USHER Scream",7762,"+9",244,"+8",52.802,"+0.265",53,"--",9,7762,2323,52.802
"10",10,"=","JUSTIN BIEBER Boyfriend",7685,"+25",69,"+36",48.327,"-0.537",84,"8",9,7937,4726,51.515
"11",11,"=","ELLIE GOULDING Lights",7424,"+98",914,"+4",51.959,"+0.692",129,"9",11,7424,914,51.959
"12",12,"+1","KARMIN Broken Hearted",7214,"-33",-95,"-34",44.789,"+0.112",120,"15",10,7320,936,47.276
"13",13,"+1","KATY PERRY Wide Awake",6958,"+48",995,"-208",50.794,"+1.017",27,"2",13,6958,2824,50.794
"14",14,"+1","PITBULL Back In Time",6122,"+28",298,"-19",40.966,"-0.011",81,"6",14,6122,925,40.977
"15",15,"+1","DAVID GUETTA Titanium f/Sia",6074,"+20",513,"-48",43.998,"+0.388",71,"12",15,6074,987,43.998
"16",16,"+1","GYM CLASS HEROES Fighter f/Ryan Tedder",5506,"+82",377,"+52",34.315,"+0.158",49,"18",16,5506,1441,34.315
"17",17,"+2","KATY PERRY Part Of Me",4114,"-117",-638,"-47",27.825,"-1.345",126,"57",3,12039,3625,78.553
"18",18,"+2","DEMI LOVATO Give Your Heart A Break",3921,"-7",113,"-75",29.384,"+0.310",110,"27",18,3928,665,29.384
"19",19,"+2","ONE DIRECTION One Thing",3895,"+152",791,"+13",21.122,"+0.847",43,"35",19,3895,975,21.122
"20",20,"+2","CALVIN HARRIS Let's Go f/Ne-Yo",3642,"+90",564,"+10",27.573,"+0.215",51,"48",20,3642,836,27.573
"21",21,"+2","HAVANA BROWN We Run The Night f/Pitbull",3371,"+90",444,"+80",25.329,"+0.438",127,"40",21,3371,444,25.329
"22",22,"+3","RITA ORA How We Do (Party)",3038,"+31",393,"+1",16.438,"+0.251",53,"54",22,3038,620,16.438
"23",23,"+1","ADELE Rumour Has It",3038,"-66",-509,"+119",20.333,"-0.777",106,"61",8,8497,1514,56.313
"24",24,"+2","CALVIN HARRIS Feel So Close",2794,"-7",-785,"+165",22.312,"+0.159",130,"28",7,8145,1329,55.352
"25",25,"+2","B.O.B Both Of Us f/Taylor Swift",2330,"+160",511,"+69",13.649,"+1.309",36,"42",25,2330,536,13.649
"26",26,"+2","CHER LLOYD Want U Back",2139,"+151",861,"+103",12.733,"+1.037",37,"38",26,2139,861,12.733
