"","Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
"1",1,"=","FUN. We Are Young f/Janelle Monae",13761,93,521,-34,105.682,0.595,57,"4",1,13761,2738,105.682
"2",2,"=","WANTED Glad You Came",13662,4,-47,-27,101.962,0.147,102,"9",1,13712,1363,101.962
"3",3,"=","KATY PERRY Part Of Me",11768,53,185,23,76.575,-0.23,66,"17",3,11768,3625,77.218
"4",4,"=","KELLY CLARKSON Stronger (What Doesn't Ki...",10806,-267,-1166,-153,81.302,-1.475,102,"23",1,13549,2321,99.332
"5",5,"=","FLO RIDA Wild Ones f/Sia",10760,251,1930,-10,77.746,1.271,75,"7",5,10760,1940,77.746
"6",6,"=","DAVID GUETTA Turn Me On f/Nicki Minaj",8098,-249,-1535,2,58.271,-1.395,130,"58",2,12506,1674,92.019
"7",7,"+1","CALVIN HARRIS Feel So Close",7967,96,354,85,54.689,0.013,70,"21",7,7967,1329,55.352
"8",8,"+1","NICKI MINAJ Starships",7925,131,710,70,62.572,1.049,65,"12/52",8,7925,1834,62.572
"9",9,"-2","GYM CLASS HEROES Ass Back Home",7890,-238,-1947,75,58.569,-1.171,147,"61",4,11001,1379,73.574
"10",10,"+1","ONE DIRECTION What Makes You Beautiful",7814,166,720,110,51.166,0.176,50,"6",10,7814,1579,51.166
"11",11,"-1","JUSTIN BIEBER Boyfriend",7705,46,655,-119,50.621,-0.554,24,"3",10,7705,4726,51.492
"12",12,"=","DRAKE Take Care f/Rihanna",7524,-41,-58,-85,60.09,-0.111,103,"31",8,7620,1220,60.618
"13",13,"=","ADELE Rumour Has It",7038,203,1076,30,44.539,1.452,46,"25",13,7038,1514,44.539
"14",14,"=","GOTYE Somebody That I Used To Know",6889,198,1345,58,48.739,1.46,49,"2",14,6889,1560,48.739
"15",15,"+1","KARMIN Broken Hearted",5375,6,332,-52,32.466,0.373,60,"27",15,5375,936,32.466
"16",16,"-1","ADELE Set Fire To The Rain",5284,-140,-1076,-8,37.567,-1.687,146,"35",1,13928,2301,95.946
"17",17,"=","CARLY RAE JEPSEN Call Me Maybe",5186,79,1086,-95,34.835,0.946,39,"5",17,5186,1298,34.835
"18",18,"=","TRAIN Drive By",5164,80,407,63,30.4,0.339,95,"10",17,5164,601,30.4
"19",19,"=","B.O.B So Good",4643,13,362,-79,31.878,-0.045,47,"13",18,4643,1013,31.923
"20",20,"=","JENNIFER LOPEZ Dance Again f/Pitbull",4208,108,962,-68,27.587,0.518,20,"22",20,4208,2243,27.587
"21",21,"=","TAYLOR SWIFT Eyes Open",3831,19,520,-107,22.221,0.159,25,"15",21,3831,1442,22.221
"22",22,"=","WIZ KHALIFA/SNOOP DOGG Young, Wild & Fre...",3276,-124,-893,22,21.898,-1.097,147,"33",10,7182,1174,48.863
"23",23,"+1","PITBULL Back In Time",2287,52,740,-72,11.696,0.394,21,"82",23,2287,916,11.696
"24",24,"-1","CHRIS BROWN Turn Up The Music",2283,-140,-917,-23,18.383,-0.382,78,"63",17,4894,987,33.507
"25",25,"=","ELLIE GOULDING Lights",2074,8,291,-44,11.62,0.103,69,"46",24,2074,431,11.62
"26",26,"=","DRAKE The Motto f/Lil Wayne",1866,35,251,-15,18.051,0.24,60,"29",26,1866,321,18.051
"27",27,"=","K'NAAN F/NELLY FURTADO Is Anybody Out Th...",1718,-22,245,-67,9.154,-0.384,46,"426",27,1740,461,9.538
"28",28,"=","DEMI LOVATO Give Your Heart A Break",1690,41,233,-13,11.322,0.14,50,"73",28,1690,362,11.322
"29",29,"=","HAVANA BROWN We Run The Night f/Pitbull",1582,37,138,41,11.443,0.253,67,"129",27,1582,237,11.443
"30",30,"+1","NEON HITCH F U Betta",1270,3,116,-25,4.331,0.001,46,"516",30,1270,215,4.331
"31",31,"-1","RIHANNA Talk That Talk f/Jay Z",1241,-44,-631,72,7.521,-0.147,72,"100",24,2226,339,12.882
"32",32,"=","CHRIS RENE Young Homie",1234,26,131,-8,4.636,0.132,39,"127",32,1234,213,4.636
"33",33,"+5","MAROON 5 Payphone f/Wiz Khalifa",1017,451,1017,451,7.865,2.917,3,"1",33,1017,1017,7.865
"34",34,"-1","CHRISTINA PERRI A Thousand Years",878,-23,-270,39,4.445,-0.021,105,"49",23,2055,280,9.423
"35",35,"-1","USHER Climax",869,-26,2,-60,3.281,-0.264,32,"30",34,905,348,3.895
"36",36,"=","HOT CHELLE RAE Honestly",857,12,180,-25,3.236,0.039,18,"304",36,857,284,3.236
"37",37,"-2","WALLPAPER F**king Best Song Everrr",857,-32,-36,-23,3.47,-0.16,34,"--",34,908,262,3.847
"38",38,"-1","DAVID GUETTA Titanium f/Sia",733,71,447,42,5.66,0.571,11,"98",37,733,447,5.66
"39",39,"=","SEAN PAUL She Doesn't Mind",560,0,35,-2,2.09,0.002,39,"265",38,560,158,2.09
"40",40,"+1","MADONNA Girl Gone Wild",536,-1,86,-13,1.335,-0.007,18,"640",39,537,245,1.342
"41",41,"-1","DEV & ENRIQUE IGLESIAS Naked",532,-13,-201,28,4.913,-0.044,89,"--",28,1524,318,8.497
"42",42,"=","RIHANNA Birthday Cake",461,-2,68,-17,1.616,0.01,18,"42",41,463,116,1.616
"43",43,"+2","RIHANNA Where Have You Been",420,78,352,58,5.455,0.649,4,"295",43,420,352,5.455
"44",44,"-1","KIRKO BANGZ Drank In My Cup",395,-5,142,-42,3.272,-0.147,16,"71",42,400,184,3.45
"45",45,"+2","NEON TREES Everybody Talks",345,24,129,4,0.938,0.089,10,"44",45,345,130,0.938
"46",46,"=","FAR EAST MOVEMENT Live My Life f/Justin ...",318,-16,-27,-15,1.085,-0.097,28,"552",43,418,80,1.436
"47",47,"-3","J. COLE Can't Get Enough f/Trey Songz",312,-37,-118,-28,1.132,-0.172,39,"266",39,562,156,3.809
"48",48,"=","JASON MRAZ I Won't Give Up",271,8,128,-1,1.291,0.026,4,"41",48,271,129,1.291
"49",49,"=","NICKI MINAJ Right By My Side f/Chris Bro...",237,-11,53,-33,0.885,-0.013,4,"117",47,248,92,0.902
"50",50,"=","THE CAB La La",237,-3,3,-6,0.336,-0.02,14,"665",46,240,82,0.356
