"Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","Pk","PkSp","PkBl","PkAu"
1,"=","ZAYN","Pillowtalk",17522,179,1179,16,105.065,1.815,91,"48",1,17522,2441,105.065
2,"=","MIKE POSNER","I Took A Pill In Ibiza",16559,308,1261,184,103.365,2.139,105,"14",2,16559,1578,103.365
3,"=","LUKAS GRAHAM","7 Years",16446,299,1851,88,99.177,2.305,103,"6",3,16446,2077,99.177
4,"=","DNCE","Cake By The Ocean",13517,-416,-1763,-205,76.962,-1.457,212,"35",2,15763,1185,92.576
5,"=","G-EAZY","Me Myself And I f/Bebe Rexha",13356,-326,-1799,-82,80.911,-1.617,113,"60",1,16250,1836,97.757
6,"=","FIFTH HARMONY","Work From Home",12357,197,772,71,71.881,1.318,63,"13",6,12357,4059,71.881
7,"=","MEGHAN TRAINOR","NO",12115,12,-280,95,63.617,-0.185,56,"18",7,12552,5498,69.649
8,"=","JUSTIN BIEBER","Love Yourself",11978,-58,-960,179,80.9,-0.689,147,"53",1,19000,4103,124.28
9,"=","FLO RIDA","My House",11032,-72,-1016,237,67.536,0.283,193,"26",1,18123,2285,104.909
10,"=","ZARA LARSSON & MNEK","Never Forget You",10756,125,434,76,62.5,0.489,86,"28",10,10756,1534,62.5
11,"=","ARIANA GRANDE","Dangerous Woman",9318,166,696,112,53.349,0.897,49,"22",11,9318,4214,53.349
12,"=","THE CHAINSMOKERS","Don't Let Me Down f/Daya",8941,244,1519,70,56.697,1.953,47,"10",12,8941,1906,56.697
13,"=","DJ SNAKE","Middle f/Bipolar Sunshine",8558,138,384,182,45.221,0.909,103,"51",12,8558,1239,45.221
14,"+1","NICK JONAS","Close f/Tove Lo",6739,137,404,134,33.925,0.411,35,"34",14,6739,3392,33.925
15,"-1","SELENA GOMEZ","Hands To Myself",6716,-119,-1804,275,39.433,-0.389,117,"111",1,16291,1952,91.457
16,"=","ALESSIA CARA","Wild Things",5737,69,378,-15,26.045,0.812,89,"78",16,5737,814,26.045
17,"=","JASON DERULO","If It Ain't Love",5469,96,802,25,26.546,0.757,28,"113",17,5469,2192,26.546
18,"=","DRAKE","One Dance f/Wizkid & Kyla",5214,351,2234,67,36.085,2.249,19,"4/24",18,5214,2234,36.085
19,"+1","JAMES BAY","Let It Go",4843,134,797,42,26.662,0.934,68,"33",19,4843,885,26.662
20,"-1","JUSTIN BIEBER","Company",4323,-430,-1776,-301,21.261,-2.098,61,"161",16,6486,2006,31.446
21,"=","TROYE SIVAN","Youth",4022,-332,-1276,-263,16.081,-1.038,117,"46",17,5443,660,22.213
22,"=","IGGY AZALEA","Team",3582,25,233,-13,12.711,0.001,40,"88",22,3582,1132,12.711
23,"=","RUTH B.","Lost Boy",3558,91,373,71,16.707,0.484,74,"25",23,3558,530,16.707
24,"+1","RIHANNA","Kiss It Better",3244,101,572,8,15.449,0.199,23,"84",24,3244,1133,15.449
25,"-1","RIHANNA","Work f/Drake",3184,-60,-1601,298,21.098,-0.137,93,"44",8,11661,3999,67.246
26,"=","PINK","Just Like Fire",3158,156,964,-221,14.985,0.803,14,"49",26,3158,2189,15.897
27,"=","GRACE","You Don't Own Me f/G-Eazy",2591,103,446,29,10.978,0.356,42,"64",27,2591,603,10.978
28,"=","PITBULL F/ENRIQUE IGLESIAS","Messin' Around",2424,40,410,-38,11.096,0.361,21,"66",28,2424,1675,13.913
29,"=","FLUME","Never Be Like You f/Kai",2206,59,448,38,11.614,0.315,45,"81",29,2206,448,11.614
30,"=","TWENTY ONE PILOTS","Ride",1955,119,731,71,7.441,0.623,19,"68",30,1955,731,7.441
31,"=","SIA","Cheap Thrills",1785,32,249,5,7.555,0.327,52,"85",30,1785,260,7.555
32,"+1","MAJOR LAZER","Light It Up f/Nyla",1618,20,229,15,5.795,0.086,58,"152",32,1618,288,5.795
33,"-1","ROBIN SCHULZ","Sugar f/Francesco Yates",1614,13,-126,39,11.882,0.107,154,"238",13,7836,1193,44.484
34,"+2","JEREMIH","Oui",1354,41,205,25,3.985,0.13,40,"72",34,1354,263,3.985
35,"-1","HAILEE STEINFELD","Rock Bottom f/DNCE",1332,-17,-17,43,3.322,-0.019,57,"237",32,1409,560,3.761
36,"+1","DAYA","Sit Still, Look Pretty",1299,20,250,0,4.034,0.032,33,"172",36,1299,250,4.034
37,"-2","PANIC! AT THE DISCO","Victorious",1270,-79,-311,-49,3.634,-0.198,62,"141",29,1641,273,4.676
38,"+3","DESIIGNER","Panda",1167,124,593,82,8.281,0.603,9,"7/73",38,1167,593,8.281
39,"-1","TAYLOR SWIFT","New Romantics",1153,-83,-628,28,5.88,-0.214,65,"95",17,5862,2558,28.461
40,"-1","GWEN STEFANI","Make Me Like You",1146,-52,-1369,225,3.597,-0.428,71,"189",23,3265,1040,10.548
41,"-1","MELANIE MARTINEZ","Pity Party",1084,5,111,-12,3.108,0.072,31,"225",40,1084,316,3.108
42,"+1","ELLIE GOULDING","Army",1045,94,729,-4,3.234,0.268,5,"--",42,1045,733,3.234
43,"-1","HALSEY","Colors",1005,-6,-65,0,2.755,-0.007,54,"292",38,1076,304,2.982
44,"=","BEBE REXHA","No Broken Hearts f/Nicki Minaj",961,29,190,11,2.7,0.071,14,"460",42,961,270,2.96
45,"=","BELLY","Might Not f/The Weeknd",893,34,230,19,3.908,0.104,18,"124",44,893,246,3.908
46,"=","ELLE KING","America's Sweetheart",717,8,56,6,1.748,0.08,30,"82",44,717,345,1.748
47,"=","TRYON","Somebody To Love Me",626,4,72,3,0.931,0.005,18,"--",47,626,95,0.931
48,"+1","TIMEFLIES","Once In A While",615,44,408,-15,1.378,0.081,2,"768",48,615,423,1.378
49,"+1","ALUNAGEORGE","I'm In Control f/Popcaan",587,27,56,20,1.422,0.046,10,"1062",49,587,112,1.497
50,"-2","ALAN WALKER","Faded",570,-3,29,-18,4.151,-0.078,11,"121",48,573,210,4.229
