"Pos","Pos.","Artist.and.Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"=","RIHANNA We Found Love f/Calvin Harris",13718,"-55",-258,"-292",91.926,"-0.488",113,"7",1,14238,2184,95.593
2,"=","BRUNO MARS It Will Rain",13539,"+31",240,"-340",86.094,"+0.128",105,"9",2,13539,2024,86.477
3,"=","KATY PERRY The One That Got Away",13366,"+28",231,"-277",80.43,"+0.017",101,"12",2,13387,1631,80.623
4,"=","FLO RIDA Good Feeling",12322,"+79",1223,"-325",81.345,"+0.548",113,"3",4,12322,1657,81.345
5,"=","LMFAO Sexy And I Know It",9434,"-24",-826,"-61",60.869,"+0.008",142,"4",2,12000,1530,74.768
6,"=","SELENA GOMEZ & THE SCENE Love You Like A...",8791,"+71",884,"-217",45.778,"+0.528",146,"28",6,8791,1208,45.778
7,"+1","ADELE Set Fire To The Rain",8699,"+215",1935,"-150",57.461,"+1.611",52,"1",7,8699,2301,57.461
8,"-1","DAVID GUETTA Without You f/Usher",8514,"-156",-906,"-279",52.053,"-1.336",142,"33",1,13428,1586,84.476
9,"+1","JESSIE J Domino",7204,"+194",1300,"-90",42.946,"+1.074",122,"11",9,7204,1390,42.946
10,"-1","GYM CLASS HEROES Stereo Hearts f/Adam Le...",7054,"-31",-676,"+130",43.061,"-0.721",201,"21",1,13951,1685,86.013
11,"=","MAROON 5 F/CHRISTINA AGUILERA Moves Like...",5795,"-73",-612,"-45",36.844,"-0.449",191,"19",1,14127,1893,93.336
12,"=","GAVIN DEGRAW Not Over You",5693,"+44",238,"-177",28.908,"+0.285",144,"18",12,5693,547,28.908
13,"=","J. COLE Workout",5373,"+44",277,"-140",34.022,"+0.001",84,"23",13,5373,659,34.109
14,"=","COBRA STARSHIP You Make Me Feel... f/Sab...",5108,"-29",-636,"+49",31.897,"-0.248",216,"46",4,11548,1097,70.438
15,"+2","JAY Z & KANYE WEST N***** In Paris",4574,"+54",344,"-130",33.863,"+0.177",71,"10",15,4574,785,33.863
16,"=","DRAKE Headlines",4560,"+4",-218,"-71",26.282,"-0.254",92,"38",16,4778,754,30.781
17,"+4","DAVID GUETTA Turn Me On f/Nicki Minaj",4476,"+160",1277,"-119",28.805,"+1.029",36,"2",17,4476,1674,28.805
18,"+2","RIHANNA You Da One",4462,"+51",170,"-113",24.955,"-0.018",66,"27",18,4462,3394,36.963
19,"-4","T-PAIN 5 O'clock f/Wiz Khalifa",4436,"-261",-1553,"-370",19.991,"-1.612",100,"34",10,6640,1264,34.118
20,"+2","HOT CHELLE RAE I Like It Like That f/New...",4338,"+66",497,"-133",20.719,"+0.164",108,"26",20,4338,639,20.719
21,"+3","GYM CLASS HEROES Ass Back Home",4326,"+143",965,"-138",27.196,"+0.748",53,"24",21,4326,1379,27.196
22,"+1","BREATHE CAROLINA Blackout",4299,"+42",49,"-140",23.478,"+0.400",144,"29",21,4299,498,23.478
