"Pos","Pos.","Artist","Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"=","BRUNO MARS","Locked Out Of Hea...",15455,"-76",-97,"-269",122.481,"-0.048",105,"6",1,15928,2790,124.488
2,"=","LUMINEERS","Ho Hey",13524,"-21",747,"-336",100.573,"-0.438",120,"5",2,13545,1921,101.636
3,"=","TAYLOR SWIFT","I Knew You Were T...",12404,"+152",1834,"-241",92.963,"+1.841",56,"1",3,12404,2452,92.963
4,"=","JUSTIN BIEBER","Beauty And A Beat...",11909,"+64",1312,"-289",82.987,"+0.462",88,"9",4,11909,1998,82.987
5,"=","FLO RIDA","I Cry",11032,"-36",68,"-189",84.885,"+0.331",121,"15",4,11195,1268,84.885
6,"=","RIHANNA","Diamonds",10513,"-186",-1310,"-115",80.118,"-1.281",110,"18",2,13317,2812,96.67
7,"=","SWEDISH HOUSE MAF...","Don't You Worry C...",8659,"+45",428,"-170",66.481,"-0.140",127,"7",7,8659,1312,66.889
8,"=","PINK","Try",8631,"+61",401,"-33",55.956,"+0.856",78,"12",8,8631,1515,55.956
9,"=","MAROON 5","One More Night",8384,"-112",-626,"-45",61.693,"-0.880",180,"31",1,15401,1593,119.954
10,"=","ED SHEERAN","The A Team",8381,"+30",307,"-69",55.358,"-0.011",148,"26",10,8381,1183,56.912
11,"+1","KE$HA","Die Young",7267,"-102",-927,"+55",64.72,"-1.424",111,"29",1,15607,3842,121.911
12,"+2","WILL.I.AM & BRITN...","Scream And Shout",6644,"+15",797,"-207",54.311,"+0.975",50,"4",12,6644,1543,54.311
13,"+2","ALICIA KEYS","Girl On Fire",6467,"+75",716,"-200",47.134,"+0.633",83,"22/75",13,6467,1171,47.134
14,"+2","PITBULL","Don't Stop The Pa...",6146,"+33",453,"-125",41.456,"+0.893",99,"8",14,6146,675,41.456
15,"+2","CALVIN HARRIS","Sweet Nothing f/F...",5403,"+57",440,"-107",44.664,"+0.887",60,"16",15,5403,875,44.664
16,"+2","MAROON 5","Daylight",5241,"+154",494,"+30",34.615,"+1.091",52,"13",16,5241,1101,34.615
17,"+2","ONE DIRECTION","Little Things",5105,"+56",365,"-62",29.586,"+0.389",57,"38",17,5105,1166,29.586
18,"+2","KE$HA","C'mon",4887,"+234",1395,"+31",38.497,"+2.443",29,"44",18,4887,1547,38.497
19,"+2","KELLY CLARKSON","Catch My Breath",4620,"+40",391,"-72",29.921,"+0.260",80,"20",18,4620,767,29.921
20,"+4","MACKLEMORE & RYAN...","Thrift Shop f/Wan...",4425,"+343",1389,"+250",37.177,"+3.139",57,"3",20,4425,1389,37.177
21,"+1","THE SCRIPT","Hall Of Fame f/wi...",4367,"+13",316,"-74",22.6,"-0.092",120,"14",18,4367,493,22.692
22,"+1","IMAGINE DRAGONS","It's Time",4145,"+26",228,"-61",27.902,"+0.406",113,"17",22,4145,833,27.902
23,"+2","LUDACRIS F/USHER/...","Rest Of My Life",3208,"-36",214,"-226",23.727,"-0.302",63,"89",23,3244,615,24.425
24,"+2","HUNTER HAYES","Wanted",2569,"+18",163,"-61",13.699,"+0.088",92,"27",24,2569,368,13.699
25,"+2","NICKI MINAJ","Va Va Voom",2085,"-56",-738,"-87",15.914,"-0.633",87,"59",12,6322,1566,45.452
26,"+2","CHRIS WALLACE","Remember When (Pu...",2060,"+20",113,"-88",11.115,"+0.228",155,"140",26,2060,252,11.115
27,"+2","OF MONSTERS AND M...","Little Talks",1762,"+49",195,"-42",9.712,"+0.202",57,"30",27,1762,349,9.712
28,"+2","THE READY SET","Give Me Your Hand",1533,"+3",88,"-106",5.519,"-0.052",78,"210",28,1536,324,5.631
29,"+2","OLLY MURS","Troublemaker f/Fl...",1410,"+86",401,"+40",8.475,"+0.150",28,"98",29,1410,459,8.475
30,"+2","CONOR MAYNARD","Turn Around f/Ne-...",1258,"+17",250,"+0",4.108,"+0.053",68,"171",30,1258,281,4.108
31,"+2","JONN HART","Who Booty f/Frenc...",1193,"+40",252,"+2",5.397,"-0.001",42,"158",31,1193,252,5.398
32,"+2","ONEREPUBLIC","Feel Again",972,"-77",-265,"-143",8.158,"-0.822",130,"50",18,4153,813,25.014
33,"+3","MIGUEL","Adorn",782,"+58",-77,"+71",5.068,"+0.783",92,"165",33,1329,248,9.94
34,"+3","MUMFORD & SONS","I Will Wait",721,"+20",199,"-62",7.424,"+0.345",9,"41",34,734,474,7.424
35,"+3","BRITT NICOLE","Gold",660,"+16",110,"+9",2.168,"+0.088",29,"--",35,660,179,2.168
36,"-1","PSY","Gangnam Style",651,"-96",-458,"-84",4.127,"-0.848",127,"11",10,7746,1695,59.817
37,"+2","50 CENT","My Life f/Eminem ...",540,"+4",-23,"-8",1.215,"-0.019",25,"173",37,564,215,1.427
38,"+2","NEON TREES","Lessons In Love (...",517,"-1",47,"-17",1.818,"-0.047",36,"--",38,518,87,1.865
39,"+2","C. AGUILERA & B. ...","Just A Fool",510,"+0",68,"-11",2.279,"-0.016",26,"--",39,510,106,2.295
40,"+2","THE CAB","Endlessly",443,"+0",14,"+1",1.297,"+0.012",48,"--",40,457,52,1.321
41,"+3","PITBULL","Feel This Moment",421,"+32",134,"+41",4.742,"+0.398",8,"273",41,421,134,4.742
42,"+1","MUSE","Madness",409,"+7",15,"+2",0.999,"-0.026",30,"86",42,409,81,1.078
43,"+2","OWL CITY","Shooting Star",367,"-3",-37,"-8",1.188,"-0.092",33,"--",43,404,89,1.77
44,"+3","KANYE WEST","Clique f/Big Sean...",329,"+2",-14,"-6",1.518,"+0.130",46,"46",44,466,94,3.286
45,"+5","FUN.","Carry On",324,"+25",78,"+10",1.845,"+0.056",6,"117",45,324,93,1.845
46,"+2","CAMRYN","Now Or Never",315,"-4",23,"-13",0.459,"+0.020",8,"--",46,324,60,0.459
47,"+2","SECRET STATE","Biggest Mistake",311,"+2",-3,"+4",0.61,"+0.032",13,"--",47,314,32,0.626
48,"--","KENDRICK LAMAR","Swimming Pools (D...",258,"--",-7,"--",1.644,"--",1,"42",48,258,0,1.644
49,"--","SKYLAR GREY","C�mon Let Me Ride...",246,"--",74,"--",0.92,"--",1,"--",49,246,74,0.92
50,"--","AUSTIN MAHONE","Say You're Just A...",241,"--",54,"--",1.242,"--",1,"--",50,241,54,1.242
