"","Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
"1",1,"+1","MACKLEMORE & RYAN...","Thrift Shop f/Wan...",14103,91,630,47,105.249,1.069,111,"2",1,14103,2020,105.249
"2",2,"-1","SWEDISH HOUSE MAF...","Don't You Worry C...",13964,-191,-683,-226,103.402,-1.835,181,"27",1,14704,1905,116.982
"3",3,"=","TAYLOR SWIFT","I Knew You Were T...",13423,-229,-1360,-133,111.667,-0.891,110,"12",1,16073,2452,126.481
"4",4,"=","MAROON 5","Daylight",12534,88,672,-34,93.619,0.633,106,"16",4,12534,1308,93.619
"5",5,"=","WILL.I.AM & BRITN...","Scream And Shout",12203,-92,-745,-56,89.909,-0.966,104,"11",3,13157,2182,99.406
"6",6,"=","CALVIN HARRIS","Sweet Nothing f/F...",10456,148,618,139,80.658,1.184,114,"31",6,10456,1126,80.658
"7",7,"=","BRUNO MARS","When I Was Your M...",9517,285,1334,152,72.487,1.543,53,"1",7,9517,1738,72.487
"8",8,"+1","JUSTIN TIMBERLAKE","Suit & Tie f/JAY ...",8796,257,1122,134,63.917,1.399,54,"6",8,8796,6457,63.917
"9",9,"-1","BRUNO MARS","Locked Out Of Hea...",8408,-161,-940,-71,71.147,-0.736,159,"15",1,15928,2790,124.488
"10",10,"=","LUMINEERS","Ho Hey",7900,-76,-280,-32,58.877,-0.871,174,"22",2,13545,1921,101.636
"11",11,"=","IMAGINE DRAGONS","It's Time",7465,91,82,54,49.009,0.28,167,"34",11,7465,983,49.009
"12",12,"=","RIHANNA","Stay f/Mikky Ekko",7345,241,1267,26,59.465,1.143,41,"3",12,7345,1617,59.465
"13",13,"+1","KELLY CLARKSON","Catch My Breath",6785,10,-83,12,44.108,0.291,134,"36",13,6870,767,44.758
"14",14,"+1","PITBULL","Feel This Moment",6779,44,662,-110,52.469,0.934,62,"7",14,6779,1516,52.469
"15",15,"-2","KE$HA","C'mon",6737,-311,-1199,-173,35.18,-1.712,83,"49",9,8228,1547,54.334
"16",16,"=","JUSTIN BIEBER","Beauty And A Beat...",6023,-103,-893,82,44.217,-1.027,142,"61",2,12731,1998,87.772
"17",17,"=","OLLY MURS","Troublemaker f/Fl...",4992,21,170,-19,33.043,-0.182,82,"23",17,4992,766,33.287
"18",18,"+1","MUMFORD & SONS","I Will Wait",4718,84,537,-24,33.49,0.857,63,"18",18,4718,747,33.49
"19",19,"+1","ONE DIRECTION","Kiss You",4542,27,283,23,22.462,-0.002,46,"66",19,4542,1186,22.924
"20",20,"-2","PINK","Try",4475,-227,-1154,-167,34.383,-0.807,132,"43",6,9909,1515,66.33
"21",21,"=","OF MONSTERS AND M...","Little Talks",4188,1,265,-31,27.664,0.197,111,"20",20,4188,655,27.664
"22",22,"=","KREWELLA","Alive",3769,133,765,5,29.266,0.317,30,"67",22,3769,918,29.266
"23",23,"=","THE SCRIPT","Hall Of Fame f/wi...",3402,-204,-1605,12,18.738,-1.704,174,"39",16,5672,564,31.748
"24",24,"=","FALL OUT BOY","My Songs Know Wha...",3246,84,758,-27,15.609,0.348,27,"21",24,3246,1015,15.609
"25",25,"+1","CHRIS WALLACE","Remember When (Pu...",2821,-29,-17,-92,14.349,-0.43,209,"131",24,2872,332,15.148
"26",26,"-1","ALICIA KEYS","Girl On Fire",2805,-167,-768,24,20.803,-0.357,137,"35",9,7658,1171,50.899
"27",27,"=","FUN.","Carry On",2732,73,395,38,15.926,0.258,60,"19",27,2732,495,15.926
"28",28,"+1","PINK","Just Give Me A Re...",2559,197,1229,1,18.207,1.586,17,"5",28,2559,1229,18.207
"29",29,"+2","DEMI LOVATO","Heart Attack",2469,306,1767,104,24.548,1.837,9,"10",29,2469,1767,24.548
"30",30,"-2","NELLY","Hey Porsche",2443,-18,-26,-27,14.293,-0.233,50,"40",26,2524,673,14.908
"31",31,"-1","ICONA POP","I Love It f/Charl...",2430,157,507,110,19.877,0.917,29,"37",29,2430,675,19.877
"32",32,"=","HUNTER HAYES","Wanted",2017,-118,-530,-82,13.151,-0.592,146,"45",23,3020,368,18.605
"33",33,"=","MUSE","Madness",1853,36,369,-16,7.712,0.314,84,"44",32,1853,385,7.712
"34",34,"=","BRITT NICOLE","Gold",1663,14,95,1,6.45,0.069,83,"90",29,1663,314,6.45
"35",35,"=","CHER LLOYD","With Ur Love f/Ju...",1508,42,117,19,8.16,0.358,27,"164",33,1508,571,8.16
"36",36,"=","EMELI SANDE","Next To Me",1402,26,307,-37,12.103,0.15,21,"60",36,1402,453,12.103
"37",37,"=","AFROJACK & CHRIS ...","As Your Friend",1341,11,-14,-26,8.652,-0.119,37,"102",33,1355,362,9.977
"38",38,"+1","NE-YO","Forever Now",1248,27,130,-2,11.177,-0.101,43,"281",35,1248,269,11.68
"39",39,"-1","BAAUER","Harlem Shake",1243,19,381,-52,6.149,-0.099,16,"4",38,1243,488,6.257
"40",40,"=","JUSTIN BIEBER","All Around The Wo...",1214,66,395,5,10.253,0.876,20,"217",40,1214,400,10.253
"41",41,"+1","ONEREPUBLIC","If I Lose Myself",967,22,18,20,3.199,0.108,32,"263",38,967,318,3.199
"42",42,"-1","TREY SONGZ","Simply Amazing",952,-38,-94,-23,5.76,-0.215,41,"187",35,1070,243,6.918
"43",43,"+2","TAYLOR SWIFT","22",776,99,427,55,6.136,0.474,6,"138",43,776,427,6.136
"44",44,"-1","A$AP ROCKY","F**kin Problems f...",753,-2,29,-13,3.98,-0.011,34,"32",41,763,154,3.991
"45",45,"-1","LITTLE MIX","Wings",707,29,181,-7,2.429,0.105,14,"227",44,707,203,2.429
"46",46,"=","MIGUEL","Adorn",594,-7,104,-41,7.571,-0.153,118,"155",33,1329,248,9.94
"47",47,"=","BENNY BENASSI","Cinema f/Gary Go",580,5,12,18,3.503,0.068,27,"251",43,587,155,4.68
"48",48,"=","CARLY RAE JEPSEN","Tonight I'm Getti...",539,20,183,-8,1.572,0.072,6,"--",48,539,211,1.572
"49",49,"=","HOT CHELLE RAE","Hung Up",490,7,76,2,1.427,-0.005,12,"396",48,490,102,1.432
"50",50,"=","STEFANO","Yes To Love",489,14,67,13,0.866,0.044,20,"--",46,489,70,0.866
