"","Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","PkPos","PkSpins","PkBllt","PkAud"
"1",1,"=","ADELE Rolling In The Deep",13515,-138,-475,-126,91.893,-0.123,48,1,14295,2273,96.15
"2",2,"=","PITBULL Give Me Everything f/Ne-Yo",13402,99,466,5,92.324,0.582,48,2,13402,1811,92.324
"3",3,"=","LADY GAGA The Edge Of Glory",10689,170,919,-55,61.341,0.025,48,3,10689,2193,62.253
"4",4,"=","KATY PERRY E.T.",9782,-63,-611,135,73.177,-0.252,48,1,14624,0,96.745
"5",5,"+2","LMFAO Party Rock Anthem",9747,245,1744,-43,66.981,1.071,48,5,9747,1859,66.981
"6",6,"-1","BRUNO MARS Lazy Song",9386,-370,-1652,-346,44.731,-1.987,48,3,11422,1054,61.587
"7",7,"-1","BLACK EYED PEAS Just Can't Get Enough",9349,-162,-961,8,64.254,-0.498,48,2,13366,715,84.474
"8",8,"=","LUPE FIASCO The Show Goes On",8443,65,280,-13,53.112,0.89,48,8,8443,1043,53.112
"9",9,"=","KATY PERRY Last Friday Night (T.G.I.F.)",7245,283,1805,53,46.377,1.679,31,9,7245,2124,46.377
"10",10,"=","BRITNEY SPEARS Till The World Ends",6763,-186,-1576,-72,43.784,-0.768,48,3,11896,966,75.819
"11",11,"=","JASON DERULO Don't Wanna Go Home",6736,27,431,-97,36.425,-0.044,46,10,6736,1463,37.039
"12",12,"=","HOT CHELLE RAE Tonight Tonight",6159,94,764,18,31.232,0.3,48,12,6159,838,31.232
"13",13,"=","NICKI MINAJ Super Bass",6026,139,976,5,36.274,0.464,48,13,6026,1188,36.274
"14",14,"=","ONEREPUBLIC Good Life",5816,107,623,26,31.784,0.967,48,14,5816,623,31.784
"15",15,"=","JENNIFER LOPEZ F/PITBULL On The Floor",5346,-182,-1844,76,37.673,-0.755,48,5,10169,668,65.118
"16",16,"=","WIZ KHALIFA Roll Up",4653,-69,-364,-43,21.827,-0.875,48,14,5043,725,26.478
"17",17,"=","SELENA GOMEZ & THE SCENE Who Says",4364,-24,-184,-13,22.796,-0.806,48,17,4559,707,27.282
"18",18,"=","ENRIQUE IGLESIAS Dirty Dancer f/Usher/Li...",3861,-18,81,-46,21.521,-0.19,46,18,3879,864,21.943
"19",19,"=","MARTIN SOLVEIG & DRAGONETTE Hello",3796,-73,-198,-97,22.27,-0.521,48,18,4031,605,23.761
"20",20,"+1","NICOLE SCHERZINGER Right There",3487,73,671,-25,18.598,0.22,32,20,3487,720,18.598
"21",21,"-1","TINIE TEMPAH Written In The Stars",3457,-159,-1383,35,20.642,-0.731,48,7,8819,756,54.175
"22",22,"=","TAYLOR SWIFT The Story Of Us",3291,-4,83,-40,16.877,-0.341,48,21,3295,587,17.303
"23",23,"=","RIHANNA California King Bed",3113,45,256,-9,14.599,0.052,43,23,3113,616,14.846
"24",24,"+1","DAVID GUETTA/FLO RIDA/NICKI M. Where The...",3082,41,458,-27,14.818,-0.008,48,24,3082,525,14.826
"25",25,"-1","THE BAND PERRY If I Die Young",3077,31,509,-74,16.193,0.328,48,24,3077,655,16.193
"26",26,"+1","BRITNEY SPEARS I Wanna Go",2820,210,1688,53,19.986,1.597,14,26,2820,1688,19.986
"27",27,"-1","JEREMIH Down On Me f/50 Cent",2773,-69,-266,-29,17.098,-0.155,48,10,8052,153,44.2
"28",28,"=","BEYONCE Best Thing I Never Had",2401,127,786,54,12.636,0.778,20,28,2401,856,12.636
"29",29,"=","MAROON 5 Never Gonna Leave This Bed",2168,33,149,-8,9.296,0.241,48,28,2168,312,9.296
"30",30,"=","LADY GAGA Born This Way",1775,4,-21,41,11.523,0.25,48,19,3651,0,20.436
"31",31,"=","CHRIS BROWN She Ain't You",1700,74,318,42,8.547,0.344,37,31,1700,337,8.547
"32",32,"=","LIL WAYNE How To Love",1497,67,442,11,8.51,0.699,23,32,1497,442,8.51
"33",33,"+2","JENNIFER LOPEZ I'm Into You f/Lil Wayne",1392,79,486,16,6.746,0.223,23,33,1392,486,6.746
"34",34,"=","T-PAIN Best Love Song f/Chris Brown",1321,6,120,-31,6.518,0.041,46,34,1321,260,6.518
"35",35,"-2","NEW BOYZ Back Seat f/Cataracs & Dev",1280,-48,-564,100,7.371,-0.138,48,17,4096,331,21.342
"36",36,"=","AVRIL LAVIGNE Smile",1164,22,206,1,3.996,0.198,30,36,1164,226,3.996
"37",37,"=","CHRIS BROWN Look At Me Now",1005,-8,-294,12,7.206,-0.083,48,28,1861,229,12.746
"38",38,"=","IYAZ Pretty Girls",924,8,58,-27,3.322,-0.04,23,38,934,271,3.397
"39",39,"=","CEE LO GREEN Bright Lights Bigger City",904,27,153,7,3.173,0.07,29,39,904,154,3.173
"40",40,"=","COBRA STARSHIP You Make Me Feel... f/Sab...",817,25,234,12,2.594,0.025,14,40,817,234,2.594
"41",41,"=","ALL TIME LOW I Feel Like Dancin�",779,25,278,-16,2.296,0.07,9,41,779,294,2.296
"42",42,"=","BIG SEAN My Last f/Chris Brown",718,23,129,-9,2.485,0.048,23,42,718,169,2.485
"43",43,"+2","COLDPLAY Every Teardrop Is A Waterfall",541,61,401,45,2.204,0.255,3,43,541,401,2.204
"44",44,"=","TRAIN Save Me San Francisco",534,9,51,9,2.072,0.028,28,44,534,92,2.155
"45",45,"-2","STEVEN TYLER (It) Feels So Good",491,-61,-332,-40,1.708,-0.205,37,40,903,326,3.408
"46",46,"=","AFROJACK Take Over Control f/Eva Simons",451,22,166,8,5.183,0.136,8,46,451,166,5.183
"47",47,"+1","BAD MEETS EVIL Lighters f/Bruno Mars",402,42,297,23,1.91,0.112,2,47,402,297,1.91
"48",48,"-1","CODY SIMPSON On My Mind",377,12,81,10,1.267,0.041,9,47,377,81,1.267
"49",49,"=","JASON ALDEAN/KELLY CLARKSON Don't You Wa...",351,2,2,-5,1.02,0.025,8,48,357,66,1.02
"50",50,"=","ANDY GRAMMER Keep Your Head Up",349,17,111,2,1.111,0.004,2,50,349,111,1.111
