"Pos","Pos.","Artist","Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","iTunes","Pk","PkSp","PkBl","PkAu"
1,"=","MARK RONSON","Uptown Funk f/Bruno Mars",16508,"+197",1486,"-15",111.324,"+0.973",77,"1",1,16508,3126,111.324
2,"=","TAYLOR SWIFT","Blank Space",15329,"-127",-530,"+0",106.879,"-0.375",90,"5",1,18014,3248,118.647
3,"=","NICK JONAS","Jealous",14678,"-246",-1461,"-262",90.536,"-1.909",137,"17",1,16139,1846,98.442
4,"=","SAM SMITH","I'm Not The Only One",14377,"-119",-218,"-140",86.947,"-0.839",123,"16",4,14636,2111,89.299
5,"=","HOZIER","Take Me To Church",13767,"-31",513,"-90",86.306,"+0.116",105,"6",5,13798,2004,86.306
6,"=","ARIANA GRANDE & THE WEEKND","Love Me Harder",12718,"-478",-2472,"-458",71.536,"-2.272",111,"33",3,15619,1751,93.102
7,"=","MEGHAN TRAINOR","Lips Are Movin",11434,"+184",1484,"+137",69.095,"+1.026",98,"8",7,11434,1484,69.095
8,"=","ED SHEERAN","Thinking Out Loud",11322,"+137",1477,"-54",76.065,"+0.833",50,"2",7,11322,3319,76.065
9,"=","SELENA GOMEZ","The Heart Wants What It Wants",10438,"-50",-19,"-27",66.514,"-0.400",81,"23",7,10523,2058,67.628
10,"=","JAMES NEWTON HOWARD","The Hanging Tree f/J. Lawrence",7438,"-72",-213,"-10",36.359,"-1.423",49,"40",10,7777,2403,48.466
11,"=","ALESSO","Heroes",6949,"-37",-11,"-50",38.233,"-0.571",140,"35",11,7022,896,44.035
12,"+1","LILLYWOOD & ROBIN SCHULZ","Prayer In C",6683,"+123",892,"+33",44.002,"+1.049",85,"39",12,6683,1413,44.002
13,"-1","MAROON 5","Animals",6477,"-245",-1674,"-4",40.635,"-1.514",125,"25",1,17381,3186,114.705
14,"=","FALL OUT BOY","Centuries",6434,"+84",626,"+76",33.301,"+0.277",131,"7",14,6434,756,33.301
15,"=","ELLA HENDERSON","Ghost",6372,"+88",423,"+49",29.034,"+0.467",137,"11",13,6372,1207,29.034
16,"=","PITBULL","Time Of Our Lives f/Ne-Yo",6291,"+78",710,"-87",37.356,"+0.868",59,"18",16,6291,1390,37.356
17,"=","PRINCE ROYCE","Stuck On A Feeling f/Snoop...",5655,"+16",269,"-103",30.638,"-0.621",53,"30",17,5669,1306,31.259
18,"=","ONEREPUBLIC","I Lived",5052,"-6",141,"-103",23.271,"-0.072",73,"21",18,5058,1083,23.343
19,"=","CALVIN HARRIS","Blame f/John Newman",4728,"-187",-1338,"+71",38.625,"-1.368",140,"93",3,13993,1988,88.09
20,"+1","TAYLOR SWIFT","Style",4701,"+194",1734,"-87",31.434,"+0.748",21,"12",20,4701,1993,31.434
21,"-1","FIFTH HARMONY","Sledgehammer",4619,"+15",36,"+28",20.525,"+0.048",72,"29",19,4666,800,20.68
22,"=","ONE DIRECTION","Night Changes",4410,"-11",206,"+12",19.667,"-0.343",72,"32",19,4421,1221,20.01
23,"=","MAROON 5","Sugar",4012,"+339",2223,"+137",25.84,"+2.117",15,"4",23,4012,2223,25.84
24,"=","CALVIN HARRIS","Outside f/Ellie Goulding",3489,"-56",497,"-338",20.508,"+0.096",37,"56",23,3545,1280,20.508
