"","Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
"1",1,"=","SWEDISH HOUSE MAF...","Don't You Worry C...",14496,-27,-120,-12,108.689,-0.69,178,"27",1,14704,1905,116.982
"2",2,"=","TAYLOR SWIFT","I Knew You Were T...",14206,-203,-854,-62,114.479,-0.8,107,"11",1,16073,2452,126.481
"3",3,"=","MACKLEMORE & RYAN...","Thrift Shop f/Wan...",13800,130,544,108,101.723,1.261,108,"2",3,13800,2020,101.723
"4",4,"=","WILL.I.AM & BRITN...","Scream And Shout",12492,-184,-674,-201,92.222,-1.115,101,"10",3,13157,2182,99.406
"5",5,"=","MAROON 5","Daylight",12377,118,955,-67,92.629,1.326,103,"16",5,12377,1308,92.629
"6",6,"=","CALVIN HARRIS","Sweet Nothing f/F...",10081,139,271,121,77.795,0.812,111,"31",6,10081,1126,77.795
"7",7,"=","BRUNO MARS","Locked Out Of Hea...",8837,-121,-848,-16,73.753,-1.275,156,"18",1,15928,2790,124.488
"8",8,"=","BRUNO MARS","When I Was Your M...",8803,140,1100,-31,68.685,0.694,50,"1",8,8803,1738,68.685
"9",9,"+1","JUSTIN TIMBERLAKE","Suit & Tie f/JAY ...",8130,123,779,40,60.07,0.846,51,"5",9,8130,6457,60.07
"10",10,"-1","LUMINEERS","Ho Hey",8081,-30,-405,87,60.962,-0.381,171,"20",2,13545,1921,101.636
"11",11,"=","KE$HA","C'mon",7585,-85,-584,-38,40.141,-0.993,80,"50",9,8228,1547,54.334
"12",12,"=","IMAGINE DRAGONS","It's Time",7383,23,241,-19,48.818,-0.054,164,"33",12,7383,983,48.872
"13",13,"=","KELLY CLARKSON","Catch My Breath",6788,-27,13,-147,44.074,-0.202,131,"37",13,6870,767,44.758
"14",14,"=","RIHANNA","Stay f/Mikky Ekko",6759,163,1332,-106,56.367,1.437,38,"4",14,6759,1617,56.367
"15",15,"+1","PITBULL","Feel This Moment",6531,92,867,-72,50.101,0.869,59,"6",15,6531,1516,50.101
