"","Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","PkPos","PkSpins","PkBllt","PkAud"
"1",1,"=","ADELE Rolling In The Deep",14093,"-18",-184,"+0",91.563,"+0.119",38,1,14295,2273,96.15
"2",2,"=","PITBULL Give Me Everything f/Ne-Yo",12353,"+182",1524,"-45",84.157,"+0.397",38,2,12353,1811,84.157
"3",3,"=","BRUNO MARS Lazy Song",11136,"-24",-259,"+3",59.171,"-0.553",38,3,11422,1054,61.587
"4",4,"=","KATY PERRY E.T.",10886,"-172",-1044,"+65",76.085,"-0.419",38,1,14624,0,96.745
"5",5,"=","BLACK EYED PEAS Just Can't Get Enough",10716,"-149",-1048,"-5",72.091,"-1.166",38,2,13366,715,84.474
"6",6,"+1","LADY GAGA The Edge Of Glory",9218,"+192",1530,"-71",57.506,"+1.501",38,6,9218,2193,57.506
"7",7,"-1","BRITNEY SPEARS Till The World Ends",8902,"-215",-1456,"-66",56.808,"-1.651",38,3,11896,966,75.819
"8",8,"+1","LUPE FIASCO The Show Goes On",7836,"+105",580,"+37",46.565,"+0.664",38,8,7836,1043,46.565
"9",9,"-1","JENNIFER LOPEZ F/PITBULL On The Floor",7833,"-129",-1099,"+47",49.098,"-1.396",38,5,10169,668,65.118
"10",10,"=","LMFAO Party Rock Anthem",7258,"+217",1560,"-19",51.64,"+1.158",38,10,7258,1593,51.64
"11",11,"=","JASON DERULO Don't Wanna Go Home",5926,"+62",556,"-47",34.561,"+0.467",36,11,5926,1463,34.561
"12",12,"=","TINIE TEMPAH Written In The Stars",5323,"-181",-1284,"+2",29.352,"-0.660",38,7,8819,756,54.175
"13",13,"=","HOT CHELLE RAE Tonight Tonight",5220,"+80",498,"+25",26.366,"+0.324",38,13,5220,643,26.366
"14",14,"+1","ONEREPUBLIC Good Life",4971,"+98",590,"-1",25.934,"+0.491",38,14,4971,604,25.934
"15",15,"-1","WIZ KHALIFA Roll Up",4970,"+9",150,"-5",26.035,"-0.021",38,14,4980,725,26.433
"16",16,"+4","KATY PERRY Last Friday Night (T.G.I.F.)",4656,"+267",2040,"-20",30.287,"+1.820",21,16,4656,2060,30.287
"17",17,"-1","RIHANNA S&M",4621,"-32",-484,"+99",27.282,"-0.461",38,5,10081,0,64.524
"18",18,"=","NICKI MINAJ Super Bass",4589,"+148",1188,"+30",28.478,"+0.918",38,18,4589,1188,28.478
"19",19,"=","SELENA GOMEZ & THE SCENE Who Says",4450,"+24",7,"+28",26.18,"+0.287",38,17,4450,707,26.291
"20",20,"-3","KE$HA Blow",4402,"-91",-767,"+7",27.099,"-0.178",38,4,10135,0,56.264
"21",21,"=","MARTIN SOLVEIG & DRAGONETTE Hello",4017,"+15",196,"-3",22.687,"+0.126",38,21,4017,605,22.687
"22",22,"=","THE SCRIPT For The First Time",3794,"-158",-844,"-77",23.735,"-0.641",38,11,6229,433,33.625
"23",23,"=","ENRIQUE IGLESIAS Dirty Dancer f/Usher/Li...",3639,"+1",288,"-47",20.707,"-0.029",36,23,3639,864,20.736
"24",24,"+1","JEREMIH Down On Me f/50 Cent",3270,"-89",-582,"-9",19.947,"-0.327",38,10,8052,153,44.2
