"","Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","PkPos","PkSpins","PkBllt","PkAud"
"1",1,"=","KATY PERRY E.T.",13431,-35,-503,110,91.29,0.039,16,1,14624,0,96.745
"2",2,"+1","ADELE Rolling In The Deep",13308,142,1473,-83,89.048,1.449,16,2,13308,2273,89.048
"3",3,"-1","BLACK EYED PEAS Just Can't Get Enough",13282,-3,-84,-11,83.57,0.034,16,2,13366,715,84.474
"4",4,"=","BRITNEY SPEARS Till The World Ends",11804,-19,67,-87,75.129,-0.049,16,3,11896,966,75.819
"5",5,"+1","BRUNO MARS Lazy Song",10247,124,1000,-43,59.159,0.911,16,5,10247,1054,59.159
"6",6,"-1","JENNIFER LOPEZ F/PITBULL On The Floor",10169,24,299,-12,64.347,-0.28,16,5,10169,668,65.118
"7",7,"=","TINIE TEMPAH Written In The Stars",8505,-72,-286,-44,48.041,-0.852,16,7,8819,756,54.175
"8",8,"=","PITBULL Give Me Everything f/Ne-Yo",7932,170,1706,-105,55.803,1.312,16,8,7932,1811,55.803
"9",9,"=","KE$HA Blow",7084,-183,-1135,-15,42.111,-0.443,16,4,10135,0,56.264
"10",10,"=","RIHANNA S&M",6695,-120,-1118,48,42.252,-0.507,16,5,10081,0,64.524
"11",11,"=","THE SCRIPT For The First Time",6156,-30,36,-28,32.777,-0.32,16,11,6229,433,33.625
"12",12,"+1","JESSIE J Price Tag f/B.O.B",5959,17,136,27,30.023,-0.329,16,12,5959,582,30.453
"13",13,"-1","JEREMIH Down On Me f/50 Cent",5935,-147,-1455,101,33.621,-1.055,16,10,8052,153,44.2
"14",14,"=","LUPE FIASCO The Show Goes On",5719,23,651,-152,36.165,0.096,16,14,5719,1005,36.165
"15",15,"=","CEE LO GREEN F**k You (Forget You)",4849,-55,-467,2,28.554,-0.253,16,11,5830,0,32.865
"16",16,"=","LADY GAGA The Edge Of Glory",4791,205,1978,-106,28.551,0.875,16,16,4791,2193,28.551
"17",17,"=","NEW BOYZ Back Seat f/Cataracs & Dev",4096,8,217,-50,21.118,0.046,16,17,4096,331,21.118
"18",18,"=","SELENA GOMEZ & THE SCENE Who Says",4072,60,511,24,24.162,0.175,16,18,4072,707,24.162
"19",19,"=","WIZ KHALIFA Roll Up",4040,76,587,-26,21.945,0.534,16,19,4040,725,21.945
"20",20,"=","PINK F**kin' Perfect (Perfect)",3859,-48,-763,90,21.169,0.125,16,14,5394,0,27.986
