"Pos","Pos.","Artist","Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","iTunes","Pk","PkSp","PkBl","PkAu"
1,"=","CHARLI XCX","Boom Clap",15741,84,684,-105,99.979,0.266,77,"9",1,15741,2210,99.979
2,"=","SAM SMITH","Stay With Me",15388,-196,-1295,-48,96.176,-1.868,110,"7",1,17277,2202,112.938
3,"=","MAGIC!","Rude",13683,-403,-2155,-267,86.132,-2.055,136,"18",1,17959,2371,118.65
4,"=","MAROON 5","Maps",12420,51,567,28,68.143,0.157,75,"8",4,12420,4866,68.399
5,"=","NICO & VINZ","Am I Wrong",11059,-155,-1066,15,71.064,-0.983,151,"52",1,17731,2409,119.274
6,"+1","MEGHAN TRAINOR","All About That Bass",10391,254,1759,-38,61.547,1.566,53,"2",6,10391,2609,61.547
7,"-1","DISCLOSURE","Latch f/Sam Smith",10311,-236,-2694,288,61.511,-2.62,209,"35",3,15461,1542,91.17
8,"=","ARIANA GRANDE","Break Free f/Zedd",10094,215,799,115,65.281,1.63,56,"5",7,10094,2327,65.281
9,"=","CLEAN BANDIT","Rather Be f/Jess Glynne",9816,86,706,-14,65.166,0.75,93,"14",8,9816,1429,65.166
10,"=","TAYLOR SWIFT","Shake It Off",9447,154,2887,-1112,60.651,1.609,12,"1",9,9447,9016,62.277
11,"=","SIA","Chandelier",9257,36,463,-100,60.542,0.348,132,"11",10,9270,1217,60.542
12,"+1","IGGY AZALEA","Black Widow f/Rita Ora",8861,161,1159,94,55.602,1.629,62,"6",12,8861,1492,55.602
13,"-1","DEMI LOVATO","Really Don't Care f/Cher Lloyd",8851,-204,-648,-194,56.393,-0.47,97,"33",7,9530,1152,57.524
14,"=","ENRIQUE IGLESIAS","Bailando f/Gente De Zona",8281,76,481,-13,63.375,-0.112,97,"23",12,8281,1299,63.654
15,"=","JESSIE J/A. GRANDE/N. MINAJ","Bang Bang",7664,58,653,-104,47.775,0.303,32,"3",15,7664,4716,47.775
16,"=","ARIANA GRANDE","Problem f/Iggy Azalea",7236,-225,-1006,-6,44.708,-0.631,122,"12",1,17403,2576,116.283
17,"=","KIESZA","Hideaway",5006,50,565,-4,30.246,0.035,62,"41",17,5006,788,30.246
18,"=","JEREMIH","Don't Tell 'Em f/YG",4598,147,948,41,32.417,1.335,41,"17",18,4598,1115,32.417
19,"=","ECHOSMITH","Cool Kids",4491,72,575,-24,23.542,0.534,83,"15",18,4491,739,23.542
