"Pos","Pos.","Artist","Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","iTunes","Pk","PkSp","PkBl","PkAu"
1,"=","SELENA GOMEZ","Hands To Myself",16161,"+209",679,"+317",91.455,"+0.875",90,"39",1,16161,1952,91.455
2,"+1","G-EAZY","Me Myself And I f/Bebe Rexha",15632,"+51",821,"-61",88.043,"+0.599",86,"18",2,15632,1836,88.043
3,"-1","FLO RIDA","My House",15613,"-188",-1683,"-14",92.24,"-0.224",166,"4",1,18123,2285,104.909
4,"=","JUSTIN BIEBER","Love Yourself",15031,"+59",39,"+174",106.584,"-0.050",120,"13",1,19000,4103,124.28
5,"+1","DNCE","Cake By The Ocean",14366,"+51",469,"-122",90.641,"+0.899",185,"9",5,14366,1185,90.641
6,"-1","TWENTY ONE PILOTS","Stressed Out",14224,"-124",-1343,"+165",96.515,"-1.016",139,"11",1,19140,2702,124.646
7,"=","ZAYN","Pillowtalk",13106,"+107",904,"-16",78.733,"+0.538",64,"19",7,13106,2441,78.733
8,"=","MIKE POSNER","I Took A Pill In Ibiza",12605,"+133",1116,"-31",75.246,"+1.389",78,"6",8,12605,1578,75.246
9,"=","RIHANNA","Work f/Drake",11478,"-100",103,"-189",65.605,"-0.477",66,"8/91",8,11661,3999,67.246
10,"=","MEGHAN TRAINOR","NO",10493,"+127",1035,"-12",60.51,"+0.363",29,"2",10,10493,5498,60.51
11,"=","LUKAS GRAHAM","7 Years",9856,"+269",1567,"+139",58.34,"+1.942",76,"1",11,9856,1567,58.34
12,"=","ZARA LARSSON & MNEK","Never Forget You",8380,"+86",512,"+71",47.653,"+0.902",59,"10",12,8380,1534,47.653
13,"=","FIFTH HARMONY","Work From Home",8345,"+195",981,"+100",42.893,"+0.704",36,"5",13,8345,4059,42.893
14,"=","DJ SNAKE","Middle f/Bipolar Sunshine",7136,"+31",449,"-29",37.572,"+0.162",76,"29",14,7136,1239,37.572
15,"+1","ARIANA GRANDE","Dangerous Woman",6432,"+153",788,"+84",33.929,"+0.909",22,"7",15,6432,4214,33.929
16,"-1","CHARLIE PUTH","One Call Away",6076,"-286",-2327,"-5",31.83,"-1.536",145,"17",10,9491,931,51.298
17,"=","TAYLOR SWIFT","New Romantics",5796,"-35",-60,"-38",28.094,"-0.204",38,"24",17,5862,2558,28.461
18,"=","JUSTIN BIEBER","Company",5745,"+78",303,"+87",27.148,"+0.238",34,"95",18,5745,2006,27.148
19,"=","TROYE SIVAN","Youth",4990,"+83",299,"+70",19.999,"+0.285",90,"41",19,4990,660,19.999
20,"=","THE WEEKND","In The Night",4602,"-61",-311,"+75",27.792,"-0.634",142,"232",3,15760,3011,89.68
21,"=","ALESSIA CARA","Wild Things",4183,"+70",202,"+103",15.683,"+0.293",62,"55",21,4183,814,15.944
22,"+2","SHAWN HOOK","Sound Of Your Heart",3223,"-7",60,"-29",9.646,"-0.061",83,"132",22,3274,576,10.588
23,"=","ROBIN SCHULZ","Sugar f/Francesco Yates",3169,"-121",-1695,"+179",24.692,"-0.261",127,"111",13,7836,1193,44.484
24,"+1","GWEN STEFANI","Make Me Like You",3026,"+16",177,"+29",9.385,"-0.102",44,"89",24,3026,1040,9.539
25,"+1","THE CHAINSMOKERS","Don't Let Me Down f/Daya",2812,"+151",1125,"+36",17.013,"+1.095",20,"14",25,2812,1125,17.013
26,"-4","NICK JONAS","Close f/Tove Lo",2687,"-722",1422,"-1970",14.336,"-9.816",8,"22",22,3409,3392,24.152
27,"=","JAMES BAY","Let It Go",2546,"+75",370,"+58",12.383,"+0.689",41,"23",26,2546,885,12.383
28,"=","NATHAN SYKES","Over And Over Again f/A.Grande",2201,"-2",70,"-33",6.715,"-0.061",67,"285",27,2203,585,6.953
29,"=","RUTH B.","Lost Boy",2171,"+60",437,"+28",9.176,"+0.283",47,"28",29,2171,437,9.176
30,"=","IGGY AZALEA","Team",2084,"+124",994,"+166",8.021,"+0.207",13,"64",30,2084,1132,8.021
31,"+1","NELLY","Die A Happy Man",1530,"+18",117,"+27",4.651,"+0.056",41,"224",31,1530,555,4.651
32,"-1","ELLIE GOULDING","Something In The Way You Move",1504,"-182",-1800,"+41",5.988,"-0.566",85,"239",14,7731,1673,38.605
33,"=","PANIC! AT THE DISCO","Victorious",1399,"+14",153,"-2",3.45,"+0.029",35,"53",33,1399,273,3.45
34,"=","HAILEE STEINFELD","Rock Bottom f/DNCE",1315,"+6",136,"-5",3.45,"-0.021",30,"161",34,1315,560,3.532
35,"=","DILLON FRANCIS & KYGO","Coming Over f/James Hersey",1192,"-1",179,"-15",4.115,"-0.152",27,"1111",35,1201,283,4.369
36,"=","DEMI LOVATO","Stone Cold",1167,"-8",324,"-126",5.363,"+0.135",12,"152",36,1175,688,5.363
37,"+1","MAJOR LAZER","Light It Up f/Nyla",1111,"+46",211,"+28",4.306,"+0.299",31,"271",37,1111,224,4.306
38,"+1","FLUME","Never Be Like You f/Kai",1059,"+39",245,"+11",5.942,"-0.024",18,"98",38,1059,284,5.966
39,"-2","ZENDAYA","Something New f/Chris Brown",1031,"-119",-1013,"+18",3.341,"-0.497",50,"183",27,2568,892,10.907
