"","Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
"1",1,"=","PITBULL","Timber f/Ke$ha",16842,-42,230,-120,117.461,-0.254,100,"4",1,16901,2001,117.778
"2",2,"=","ONEREPUBLIC","Counting Stars",15975,-69,-498,-23,110.441,-0.497,102,"8",1,16524,2609,113.696
"3",3,"=","EMINEM","The Monster f/Rih...",15481,-161,-657,-166,107.293,-1.295,85,"12/69",1,16414,2904,117.022
"4",4,"=","ELLIE GOULDING","Burn",12451,96,1457,-102,87.449,0.831,108,"15",4,12451,1574,87.449
"5",5,"=","KATY PERRY","Dark Horse",10869,209,1909,-160,75.436,1.301,61,"1",5,10869,2297,75.436
"6",6,"=","ONE DIRECTION","Story Of My Life",10271,111,797,-7,72.357,0.738,84,"11",6,10271,1292,72.357
"7",7,"=","ZEDD","Stay The Night f/...",10079,-24,19,-18,64.18,-0.303,115,"45",5,10105,1238,64.483
"8",8,"=","LADY GAGA","Do What U Want f/...",9910,-73,4,-132,55.162,-1.053,85,"40",7,9983,1408,60.79
"9",9,"=","PASSENGER","Let Her Go",9549,64,407,35,59.413,0.842,115,"10",9,9549,1223,59.413
"10",10,"=","IMAGINE DRAGONS","Demons",8552,-236,-2157,140,54.858,-1.467,143,"18",1,14595,1982,96.313
"11",11,"=","LORDE","Team",8519,134,1044,27,58.304,0.921,60,"9",11,8519,1348,58.304
"12",12,"=","A GREAT BIG WORLD","Say Something w/C...",8264,60,890,-105,54.501,0.408,61,"3/44",12,8264,1506,54.501
"13",13,"=","MACKLEMORE & RYAN...","White Walls f/ScH...",7079,-18,-151,-1,37.292,-0.125,130,"29",12,7258,764,39.457
"14",14,"=","BASTILLE","Pompeii",6526,-1,587,-128,40.39,0.051,75,"7",14,6527,1030,40.39
"15",15,"=","JOHN NEWMAN","Love Me Again",5258,54,668,19,29.584,0.392,110,"22",15,5258,697,29.584
"16",16,"+1","BRUNO MARS","Young Girls",5012,153,879,-15,27.186,0.544,40,"95",16,5012,938,27.186
"17",17,"-1","BEYONCE","XO",4953,87,491,-5,29.475,0.304,33,"58",16,4953,1464,29.475
"18",18,"=","MILEY CYRUS","Adore You",4181,100,1240,-125,20.325,0.67,27,"17",18,4181,1542,20.325
"19",19,"=","MILEY CYRUS","Wrecking Ball",3847,-107,-1069,184,24.068,-0.508,133,"39",1,15459,2954,107.57
"20",20,"=","ZENDAYA","Replay",3605,34,207,29,12.541,0.148,97,"36",20,3605,472,12.61
"21",21,"=","JASON DERULO","Talk Dirty f/2 Ch...",3365,165,1466,-5,24.68,1.605,24,"6",21,3365,1471,24.68
"22",22,"=","DEMI LOVATO","Neon Lights",3234,85,544,29,20.225,0.067,55,"67",22,3234,544,20.225
"23",23,"=","SARA BAREILLES","Brave",3049,26,74,60,16.472,-0.007,143,"28",21,3095,380,19.453
"24",24,"=","CASH CASH","Take Me Home f/Be...",3048,80,734,40,20.846,0.667,66,"108",24,3048,836,20.846
"25",25,"=","CALVIN HARRIS","Thinking About Yo...",2911,35,175,25,18.674,0.141,82,"176",23,2911,605,18.674
"26",26,"=","FLO RIDA","How I Feel",2279,-106,-395,-70,9.905,-0.272,75,"91",23,2794,547,12.521
"27",27,"=","THE 1975","Chocolate",2256,20,263,-9,9.627,0.072,59,"105",27,2256,389,9.627
