"","Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
"1",1,"=","KATY PERRY","Wide Awake",13807,60,758,-281,97.519,0.646,66,"3",1,13807,2824,97.519
"2",2,"+1","ELLIE GOULDING","Lights",13103,169,1131,-148,95.271,0.43,168,"8",2,13103,1482,95.271
"3",3,"-1","MAROON 5","Payphone f/Wiz Khali...",13088,-192,-782,-412,97.89,-0.537,102,"19",1,14353,3415,107.136
"4",4,"=","RIHANNA","Where Have You Been",12870,-57,-70,-323,92.011,-0.243,103,"18",2,12963,1884,95.69
"5",5,"=","CARLY RAE JEPSEN","Call Me Maybe",11364,-228,-1263,-305,82.713,-1.261,138,"2",1,14563,1711,111.23
"6",6,"=","USHER","Scream",9516,-17,19,-214,67.83,-0.04,92,"17",6,9533,2323,68.266
"7",7,"=","DAVID GUETTA","Titanium f/Sia",9461,92,840,-234,64.459,1.067,110,"10",7,9461,1091,64.459
"8",8,"=","GOTYE","Somebody That I Used...",8464,-103,-931,-192,57.219,-0.954,148,"15",1,14242,2018,106.819
"9",9,"=","CALVIN HARRIS","Let's Go f/Ne-Yo",7927,149,722,39,52.65,0.173,90,"23",9,7927,1254,52.65
"10",10,"=","DEMI LOVATO","Give Your Heart A Br...",7398,138,382,23,48.21,1.337,149,"22",10,7398,1250,48.21
"11",11,"=","PINK","Blow Me (One Last Ki...",6221,118,1229,-273,41.53,0.938,23,"7",11,6221,2737,41.53
"12",12,"=","CHER LLOYD","Want U Back",6114,77,567,-98,36.989,0.181,76,"5",11,6114,1103,36.989
"13",13,"=","FLO RIDA","Whistle",5694,129,1299,-113,39.49,0.777,52,"1",13,5694,1412,39.49
"14",14,"=","HAVANA BROWN","We Run The Night f/P...",5459,51,332,-41,39.643,0.079,166,"32",14,5459,544,39.659
"15",15,"=","ONE DIRECTION","One Thing",5281,-112,-83,-90,27.519,-0.446,82,"38",13,5433,975,29.694
"16",16,"=","OWL CITY & CARLY RAE...","Good Time",4988,145,727,-14,31.995,0.35,31,"6",16,4988,1961,31.995
"17",17,"=","THE WANTED","Chasing The Sun",4136,27,384,-92,23.26,0.367,84,"34",17,4136,656,23.26
"18",18,"=","NEON TREES","Everybody Talks",3356,101,346,14,21.658,0.704,109,"13",18,3356,510,21.658
"19",19,"+1","JUSTIN BIEBER","As Long As You Love ...",2741,72,954,-142,17.444,0.868,22,"12",19,2741,1096,17.444
"20",20,"-1","GYM CLASS HEROES","Fighter f/Ryan Tedde...",2622,-199,-1681,99,16.46,-1.175,88,"35",13,5862,1441,35.394
"21",21,"+1","KELLY CLARKSON","Dark Side",2619,48,423,-39,15.508,0.001,48,"33",21,2619,493,15.508
"22",22,"+1","GROUPLOVE","Tongue Tied",2587,23,223,-47,14.88,0.194,94,"47",21,2587,433,14.88
"23",23,"-2","PITBULL","Back In Time",2442,-153,-707,-88,14.559,-0.403,120,"56",14,6235,925,42.751
"24",24,"=","JASON MRAZ","I Won't Give Up",2306,13,179,-5,15.051,0.327,103,"14",24,2306,276,15.051
"25",25,"=","OUTASIGHT","Now Or Never",2066,-29,105,-68,10.348,0.162,78,"235",25,2095,320,10.348
"26",26,"=","RITA ORA","How We Do (Party)",1904,-178,-1133,-43,8.408,-0.726,92,"132",21,3424,620,16.657
"27",27,"=","JUSTIN BIEBER","Boyfriend",1902,-33,-1004,126,9.733,-0.262,123,"50",9,7937,4726,51.515
"28",28,"=","FUN.","Some Nights",1898,65,454,-4,11.307,0.406,47,"4",28,1898,458,11.307
"29",29,"=","ALEX CLARE","Too Close",1787,27,253,-42,11.115,0.536,59,"21",29,1787,299,11.115
"30",30,"=","NO DOUBT","Settle Down",1731,196,1033,-30,11.705,0.544,9,"55",30,1731,1156,11.839
"31",31,"+1","MAROON 5","One More Night",1598,155,1002,-7,9.066,0.749,9,"43",31,1598,1009,9.066
"32",32,"+1","NICKI MINAJ","Pound The Alarm",1496,145,857,-15,8.297,0.723,11,"141",32,1496,872,8.297
"33",33,"-2","B.O.B","Both Of Us f/Taylor ...",1482,-18,-727,177,9.856,-0.185,75,"59",23,3144,577,17.595
"34",34,"=","ADELE","Rumour Has It",1231,-61,-107,-68,6.542,-0.357,145,"119",8,8497,1514,56.313
"35",35,"=","SAMMY ADAMS","Only One",1122,-40,-171,-38,4.731,-0.159,69,"246",32,1295,230,6.013
"36",36,"=","CHRIS BROWN","Don't Wake Me Up",1038,13,199,-81,5.883,-0.034,40,"70",36,1038,326,5.949
"37",37,"=","LINKIN PARK","Burn It Down",1030,13,112,-13,3.871,0.04,51,"62",36,1030,217,3.871
"38",38,"=","MATCHBOX TWENTY","She's So Mean",995,-20,55,-38,4.179,-0.028,40,"67",34,1028,574,4.492
"39",39,"=","OLLY MURS","Heart Skips A Beat",950,34,296,3,5.3,0.177,14,"189",39,950,343,5.3
"40",40,"=","K'NAAN","Hurt Me Tomorrow",917,49,133,58,3.401,-0.067,41,"--",39,917,308,3.679
"41",41,"=","SEAN KINGSTON","Back 2 Life (Live It...",656,-97,-216,-109,2.686,-0.216,47,"--",37,881,305,4.543
"42",42,"=","PITBULL","Get It Started f/Sha...",615,2,106,-76,3.139,-0.057,12,"224",42,615,182,3.263
"43",43,"+1","AFROJACK & SHERMANOL...","Can't Stop Me",562,12,58,-19,6.945,0.232,22,"284",43,562,101,6.945
"44",44,"+2","CA$H OUT","Cashin' Out",555,26,120,1,1.714,0.01,7,"49",44,555,126,1.714
"45",45,"-2","JENNIFER LOPEZ","Goin' In f/Flo Rida",542,-50,-107,-72,1.428,-0.016,32,"167",42,648,275,2.274
"46",46,"-1","MARINA AND THE DIAMO...","Primadonna",538,2,24,-52,2.236,0.025,19,"394",45,538,93,2.327
"47",47,"=","PHILLIP PHILLIPS","Home",424,-49,-95,-56,1.287,-0.113,27,"81",43,529,133,1.457
"48",48,"=","CHRIS RENE","Trouble",400,-38,69,-55,0.682,0.003,5,"--",48,438,124,0.682
"49",49,"+1","WIZ KHALIFA","Work Hard, Play Hard",382,-8,-33,-88,1.598,-0.008,27,"41",47,396,73,1.675
"50",50,"-1","AUSTIN MAHONE","Say Somethin",372,-41,91,-79,1.821,-0.052,4,"315",49,413,183,1.873
