"","Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","Pk","PkSp","PkBl","PkAu"
"1",1,"=","MAGIC!","Rude",17884,"+33",526,"-1",117.059,"-0.263",103,"2",1,17884,2371,118.65
"2",2,"=","NICO & VINZ","Am I Wrong",17349,"-116",-362,"-137",113.573,"-0.554",118,"5",1,17731,2409,119.274
"3",3,"=","SAM SMITH","Stay With Me",15235,"+207",2202,"+43",99.752,"+1.269",77,"3",3,15235,2202,99.752
"4",4,"=","ARIANA GRANDE","Problem f/Iggy Azalea",14416,"-313",-2213,"-197",93.386,"-1.598",89,"7",1,17403,2576,116.283
"5",5,"=","DISCLOSURE","Latch f/Sam Smith",14028,"+194",1542,"+56",86.244,"+0.774",176,"19",5,14028,1542,86.244
"6",6,"=","CALVIN HARRIS","Summer",11138,"-392",-2761,"-231",68.373,"-2.396",129,"27",3,14953,1917,95.785
"7",7,"=","IGGY AZALEA","Fancy f/Charlie XCX",10418,"-151",-1284,"+65",78.704,"-0.772",129,"15/35",1,17156,2440,116.166
"8",8,"=","MAROON 5","Maps",9736,"+141",840,"+69",54.603,"+0.472",42,"6",8,9736,4866,54.844
"9",9,"=","CHARLI XCX","Boom Clap",9189,"+136",1785,"-93",53.838,"+1.196",44,"11",9,9189,1942,53.838
"10",10,"=","ONEREPUBLIC","Love Runs Out",8678,"+65",311,"+60",44.848,"+0.278",87,"9",9,8678,1336,45.354
"11",11,"=","DEMI LOVATO","Really Don't Care f/Cher Lloyd",8471,"+95",1045,"-20",47.902,"+0.818",64,"40",10,8471,1152,47.902
"12",12,"=","PHARRELL WILLIAMS","Come Get It Bae",6659,"-20",274,"-154",28.365,"-0.225",66,"29",12,6679,993,28.925
"13",13,"=","ARIANA GRANDE","Break Free f/Zedd",6380,"+127",1533,"-183",40.324,"+0.638",23,"18",13,6380,2327,40.324
"14",14,"=","SIA","Chandelier",5990,"+37",787,"-191",37.079,"+0.629",99,"14",13,5990,1217,37.079
"15",15,"=","CLEAN BANDIT","Rather Be f/Jess Glynne",5834,"+64",708,"-159",38.164,"+0.402",60,"17",14,5834,1347,38.164
"16",16,"=","BECKY G","Shower",4798,"+65",448,"-36",20.862,"+0.469",73,"12",16,4798,853,20.862
"17",17,"=","IGGY AZALEA","Black Widow f/Rita Ora",4791,"+298",1396,"+53",28.198,"+1.522",29,"20",17,4791,1396,28.198
"18",18,"+1","ENRIQUE IGLESIAS","Bailando f/Gente De Zona",4381,"+191",908,"+140",41.711,"+1.947",64,"46",18,4381,908,41.711
"19",19,"-1","KONGOS","Come With Me Now",4169,"-134",-959,"-94",17.022,"-0.258",101,"25",14,5298,652,21.39
"20",20,"=","TIESTO","Wasted",3824,"-1",65,"-44",18.078,"-0.353",76,"45",19,3825,775,19.749
"21",21,"=","AFROJACK","Ten Feet Tall f/Wrabel",3462,"-68",-353,"-10",13.549,"-0.366",120,"119",19,3920,633,17.363
"22",22,"+1","RITA ORA","I Will Never Let You Down",2845,"+90",64,"+56",13.109,"-0.010",64,"114",22,2845,643,13.729
"23",23,"+1","KIESZA","Hideaway",2747,"+151",642,"-11",20.062,"+1.511",29,"60",23,2747,714,20.062
"24",24,"-2","JASON DERULO","Wiggle f/Snoop Dogg",2567,"-294",-2278,"-7",10.958,"-1.077",80,"26",10,7555,1666,36.719
"25",25,"=","AJR","I'm Ready",2531,"-6",21,"+10",7.798,"-0.002",108,"49",24,2537,461,8.111
"26",26,"+1","FLORIDA-GEORGIA LINE","This Is How We Roll f/J.Derulo",2022,"+23",225,"-65",10.197,"+0.098",11,"52",26,2022,1589,10.197
"27",27,"+2","ECHOSMITH","Cool Kids",1845,"+35",270,"+13",8.883,"+0.159",50,"30",27,1845,377,8.883
"28",28,"+3","INGRID MICHAELSON","Girls Chase Boys",1792,"+36",348,"-12",8.216,"+0.130",50,"43",28,1792,420,8.216
"29",29,"+4","ED SHEERAN","Don't",1773,"+117",795,"+9",8.427,"+0.366",15,"84",29,1773,795,8.427
"30",30,"=","TREY SONGZ","Na Na",1742,"-67",-606,"-1",13.286,"-0.488",115,"77",27,2847,394,18.704
"31",31,"+1","MADDEN BROTHERS","We Are Done",1733,"+34",140,"-30",5.643,"-0.112",45,"--",31,1733,424,6.009
"32",32,"-4","LORDE","Tennis Court",1711,"-166",-1395,"-58",7.732,"-0.685",90,"103",22,3658,590,16.188
"33",33,"+3","MEGHAN TRAINOR","All About That Bass",1706,"+128",745,"+42",8.448,"+0.673",20,"4",33,1706,745,8.448
"34",34,"=","TINASHE","2 On f/Schoolboy Q",1697,"+52",334,"+32",9.344,"+0.474",49,"55",33,1697,337,9.344
"35",35,"=","5 SECONDS OF SUMMER","Amnesia",1691,"+100",845,"+2",6.775,"+0.463",12,"53",35,1691,912,6.775
"36",36,"+2","ED SHEERAN","Sing",1347,"-49",-496,"+143",6.373,"-0.431",111,"56",6,10622,2778,57.807
"37",37,"+3","COLDPLAY","A Sky Full Of Stars",1325,"+63",222,"+30",6.692,"+0.585",29,"44",37,1325,226,6.692
"38",38,"-1","KATY PERRY","Birthday",1302,"-116",-1108,"+61",6.054,"-0.593",113,"120",7,9576,2209,52.775
"39",39,"=","TOVE LO","Habits (Stay High)",1286,"+16",221,"-10",5.051,"+0.124",35,"83",38,1286,231,5.051
"40",40,"+2","STEVE AOKI, C. LAKE & TUJAMO","Delirious (Boneless) f/Kid Ink",899,"+25",231,"-50",6.52,"+0.049",15,"107",40,899,337,6.52
"41",41,"+2","CHROMEO","Jealous (I Ain't With It)",856,"-1",-6,"-1",2.161,"-0.055",57,"--",40,922,182,3.368
"42",42,"+2","FIFTH HARMONY","BO$$",842,"+49",360,"-2",2.785,"+0.066",8,"76",42,842,398,2.785
"43",43,"+2","CAPITAL CITIES","One Minute More",795,"+4",38,"-14",2.033,"-0.011",36,"--",42,795,180,2.058
"44",44,"+2","JEREMIH","Don't Tell 'Em f/YG",741,"+57",325,"+42",7.007,"+0.448",8,"41",44,741,325,7.007
"45",45,"+2","THE 1975","Girls",572,"+7",250,"-20",1.418,"+0.052",7,"--",45,572,353,1.418
"46",46,"+3","MR PROBZ","Waves",547,"+1",65,"-7",2.918,"-0.089",15,"111",46,547,116,3.029
"47",47,"+1","DILLON FRANCIS & DJ SNAKE","Get Low",518,"-34",92,"-53",1.383,"-0.225",11,"--",47,552,204,1.622
"48",48,"+2","G.R.L.","Ugly Heart",512,"+3",-11,"+11",1.458,"-0.067",21,"--",45,531,134,1.757
"49",49,"--","USHER","She Came To Give It To You",454,"--",242,"--",2.635,"--",1,"--",49,454,242,2.635
"50",50,"--","JAKE MILLER","First Flight Home",446,"--",211,"--",1.618,"--",1,"--",50,446,211,1.618
