"","Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","Pk","PkSp","PkBl","PkAu"
"1",1,"=","TWENTY ONE PILOTS","Stressed Out",18957,"+64",266,"-6",123.141,"+0.188",102,"4",1,18957,2702,123.141
"2",2,"=","JUSTIN BIEBER","Love Yourself",18709,"-63",-110,"-60",122.597,"-0.607",83,"5",1,19000,4103,124.28
"3",3,"+1","FLO RIDA","My House",14345,"+313",2229,"+28",82.669,"+1.584",129,"2",3,14345,2229,82.669
"4",4,"-1","THE CHAINSMOKERS","Roses f/Rozes",14317,"+80",269,"+29",83.317,"+0.029",151,"14",3,14317,2023,83.872
"5",5,"=","JUSTIN BIEBER","Sorry",12872,"-104",-657,"-7",96.593,"-0.221",126,"15",1,19494,3902,127.324
"6",6,"=","THE WEEKND","In The Night",11797,"-511",-2991,"-150",67.516,"-2.415",105,"40",3,15760,3011,89.68
"7",7,"=","SELENA GOMEZ","Hands To Myself",11399,"+220",1361,"-30",74.155,"+1.998",53,"13",7,11399,1952,74.155
"8",8,"=","DNCE","Cake By The Ocean",11113,"+57",659,"-85",62.615,"+0.918",148,"9",7,11113,1111,62.615
"9",9,"=","DAYA","Hide Away",10596,"-70",-282,"-88",59.011,"-0.636",193,"26",7,10878,883,61.74
"10",10,"=","G-EAZY","Me Myself And I f/Bebe Rexha",9424,"+269",1594,"+72",58.539,"+1.674",49,"7/89",10,9424,1836,58.539
"11",11,"=","CHARLIE PUTH","One Call Away",8182,"+80",642,"-25",42.266,"+0.890",108,"10",11,8182,819,42.266
"12",12,"=","ADELE","When We Were Young",7859,"-180",-442,"-212",38.438,"-1.141",71,"18",11,8301,1962,41.764
"13",13,"=","ZAYN","Pillowtalk",7826,"+264",1635,"+29",45.893,"+1.588",27,"6/57",13,7826,2441,45.893
"14",14,"=","RIHANNA","Work f/Drake",7700,"+170",1592,"-30",43.883,"+1.033",29,"1/31",13,7700,3999,43.883
"15",15,"=","ELLIE GOULDING","Something In The Way You Move",7005,"+23",492,"-35",36.733,"+0.360",48,"16",15,7005,1673,36.733
"16",16,"=","MIKE POSNER","I Took A Pill In Ibiza",6811,"+259",1347,"+80",42.951,"+1.518",41,"8",16,6811,1489,42.951
"17",17,"=","ROBIN SCHULZ","Sugar f/Francesco Yates",6709,"+159",818,"+77",38.892,"+1.099",90,"47",16,6709,1193,38.892
"18",18,"=","ADELE","Hello",5550,"-94",-733,"+11",42.743,"-0.858",125,"12",1,19167,4705,124.831
"19",19,"=","TAYLOR SWIFT","Out Of The Woods",4243,"-529",-3289,"-172",20.104,"-3.242",53,"63",12,8338,2806,46.244
"20",20,"=","JASON DERULO","Get Ugly",4031,"-296",-851,"-290",13.758,"-1.250",74,"71",19,4950,1110,19.08
"21",21,"=","RACHEL PLATTEN","Stand By You",3727,"+60",315,"+60",17.958,"+0.375",118,"22",21,3727,493,17.958
"22",22,"=","ZARA LARSSON & MNEK","Never Forget You",3562,"+200",1475,"+51",19.673,"+0.957",22,"36",22,3562,1475,19.673
"23",23,"=","DJ SNAKE","Middle f/Bipolar Sunshine",3509,"+175",978,"+76",19.026,"+0.624",39,"46",22,3509,978,19.026
"24",24,"=","LUKAS GRAHAM","7 Years",3164,"+169",1022,"+61",14.77,"+0.643",39,"3",24,3164,1022,14.77
"25",25,"=","TROYE SIVAN","Youth",3020,"+70",551,"+43",10.889,"+0.306",53,"50",25,3020,551,10.889
"26",26,"+1","ALESSIA CARA","Wild Things",2594,"+141",639,"+70",12.026,"+0.357",25,"134",26,2594,684,12.026
"27",27,"-1","TORI KELLY","Hollow",2432,"-287",-1335,"-220",7.176,"-0.856",109,"177",22,3920,501,13.353
"28",28,"=","SHAWN HOOK","Sound Of Your Heart",2421,"+44",374,"+7",8.241,"+0.315",46,"271",28,2421,576,8.241
"29",29,"=","SHAWN MENDES & CAMILA CABELLO","I Know What You Did Last...",1967,"-277",-3668,"+315",9.897,"-1.286",93,"65",10,8533,1989,43.062
"30",30,"=","ZENDAYA","Something New f/Chris Brown",1850,"+81",861,"-31",7.891,"+0.425",13,"146",30,1850,892,7.891
"31",31,"=","ONE DIRECTION","History",1462,"+21",204,"+3",4.092,"+0.132",25,"119",31,1462,559,4.092
"32",32,"+1","NATHAN SYKES","Over And Over Again f/A.Grande",1453,"+68",576,"-9",4.589,"+0.204",30,"295",32,1453,585,4.589
"33",33,"-1","DEMI LOVATO","Confident",1359,"-30",-283,"-14",11.011,"-0.194",147,"131",9,9049,1761,48.443
"34",34,"=","ONE DIRECTION","Perfect",1350,"-31",-237,"+22",10.176,"-0.187",130,"110",10,8635,1211,42.552
"35",35,"+2","GWEN STEFANI","Make Me Like You",1326,"+148",868,"+26",5.463,"+0.405",7,"30",35,1326,868,5.463
"36",36,"-1","KYGO","Stole The Show f/Parson James",1290,"+36",334,"-6",6.04,"+0.048",22,"54",35,1290,374,6.04
"37",37,"+2","COLDPLAY","Adventure Of A Lifetime",1050,"+35",148,"+12",5.32,"+0.006",39,"21",37,1050,315,5.336
"38",38,"-2","BORNS","Electric Love",1043,"-139",-838,"-79",3.849,"-0.385",88,"130",30,2006,225,6.287
"39",39,"+4","JAMES BAY","Let It Go",979,"+152",876,"+102",4.57,"+0.737",4,"11",39,979,876,4.57
"40",40,"-2","DAVID GUETTA","Bang My Head f/Sia",959,"-158",-1251,"-42",4.557,"-0.631",77,"194",27,2648,395,12.851
"41",41,"=","EMPIRE OF THE SUN","Walking On A Dream",895,"+19",52,"-3",3.727,"-0.101",20,"104",41,895,369,4.284
"42",42,"+2","RUTH B.","Lost Boy",832,"+38",320,"+2",2.587,"+0.133",10,"24",42,832,320,2.587
