"","Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","Pk","PkSp","PkBl","PkAu"
"1",1,"=","JUSTIN BIEBER","Love Yourself",18964,7,62,-82,123.696,0.222,68,5,1,19000,4103,123.696
"2",2,"=","TWENTY ONE PILOTS","Stressed Out",17472,145,1001,-58,112.734,0.945,87,4,2,17472,2702,112.734
"3",3,"=","THE WEEKND","In The Night",15711,5,98,-7,84.697,-0.45,90,53,3,15760,3011,89.68
"4",4,"=","JUSTIN BIEBER","Sorry",14089,-73,-93,-56,104.741,-0.435,111,15,1,19494,3902,127.324
"5",5,"=","THE CHAINSMOKERS","Roses f/Rozes",13508,79,594,18,80.948,-0.133,136,14,5,13508,2023,81.081
"6",6,"=","ALESSIA CARA","Here",12235,-488,-2623,-159,73.252,-1.887,206,48,1,17621,1489,109.076
"7",7,"+1","DAYA","Hide Away",10644,73,489,4,59.36,0.584,178,28,7,10644,883,59.36
"8",8,"-1","SELENA GOMEZ","Same Old Love",10484,-218,-1832,87,70.317,-1.537,148,49,1,18836,1774,120.08
"9",9,"=","FLO RIDA","My House",10318,300,1633,114,59.946,1.584,114,1,9,10318,1978,59.946
"10",10,"=","DNCE","Cake By The Ocean",9544,97,928,-57,51.804,0.521,133,20,10,9544,1111,51.804
"11",11,"+2","SELENA GOMEZ","Hands To Myself",8473,146,973,21,51.541,1.231,38,13,11,8473,1952,51.541
"12",12,"-1","SHAWN MENDES & CAMILA CABELLO","I Know What You Did Last...",8337,-41,-153,-36,40.63,-0.602,78,27,10,8533,1989,43.062
"13",13,"-1","TAYLOR SWIFT","Out Of The Woods",8290,-48,248,-170,45.635,-0.609,38,67,12,8338,2806,46.244
"14",14,"=","ADELE","When We Were Young",8101,42,237,44,39.368,0.784,56,18,12,8101,1962,39.368
"15",15,"=","ADELE","Hello",7687,-261,-1547,-2,56.501,-2.158,110,8,1,19167,4705,124.831
"16",16,"=","CHARLIE PUTH","One Call Away",6893,103,752,26,34.433,0.585,93,12,16,6893,819,34.433
"17",17,"=","G-EAZY","Me Myself And I f/Bebe Rexha",6392,157,1358,-56,37.199,0.638,34,9,17,6392,1836,37.199
"18",18,"=","ELLIE GOULDING","Something In The Way You Move",6126,64,914,-183,30.878,0.303,33,94,17,6126,1673,30.878
"19",19,"=","ROBIN SCHULZ","Sugar f/Francesco Yates",5397,28,553,-113,28.897,0.371,75,76,19,5397,1193,28.897
"20",20,"=","JASON DERULO","Get Ugly",4845,42,196,27,18.248,-0.08,59,57,19,4845,1110,19.08
"21",21,"=","RIHANNA","Work f/Drake",4833,253,834,-251,29.274,0.726,14,2,21,4833,3999,33.644
"22",22,"=","TORI KELLY","Hollow",3878,5,84,10,13.337,0.108,94,272,22,3878,501,13.337
"23",23,"+1","ZAYN","Pillowtalk",3830,291,2203,-71,22.616,1.147,12,6,23,3830,2441,22.616
"24",24,"-1","MIKE POSNER","I Took A Pill In Ibiza",3815,188,1068,27,26.419,0.867,26,24,23,3815,1205,26.419
"25",25,"+1","RACHEL PLATTEN","Stand By You",3263,15,182,-42,16.884,0.191,103,29,25,3263,493,16.884
"26",26,"-1","TRAVI$ SCOTT","Antidote",3196,-79,-159,-99,12.291,-0.244,73,62,24,3360,545,13.354
"27",27,"=","DAVID GUETTA","Bang My Head f/Sia",2624,-15,68,-39,12.275,-0.203,62,146,27,2648,395,12.851
"28",28,"=","DEMI LOVATO","Confident",2331,-175,-1348,99,18.179,-0.867,132,93,9,9049,1761,48.443
"29",29,"+1","TROYE SIVAN","Youth",2134,25,262,-51,7.193,0.163,38,124,29,2134,501,7.193
"30",30,"-1","ONE DIRECTION","Perfect",2088,-103,-1291,273,13.742,-0.579,115,72,10,8635,1211,42.552
"31",31,"=","BORNS","Electric Love",1990,-11,116,-20,6.22,-0.067,73,127,31,2006,225,6.287
"32",32,"=","DJ SNAKE","Middle f/Bipolar Sunshine",1947,75,450,11,13.218,0.261,24,75,32,1947,511,13.218
"33",33,"=","SHAWN HOOK","Sound Of Your Heart",1831,7,224,-49,5.771,0.059,31,444,33,1831,576,5.771
"34",34,"=","JUSTIN TIMBERLAKE","Drink You Away",1782,-15,-37,-56,6.219,-0.09,54,118,33,1819,390,6.581
"35",35,"=","LUKAS GRAHAM","7 Years",1586,56,318,10,6.156,0.55,24,11,35,1586,388,6.156
"36",36,"=","DIPLO & SLEEPY TOM","Be Right There",1421,-75,-308,-71,5.931,-0.779,79,287,33,1769,271,10.721
"37",37,"=","POST MALONE","White Iverson",1334,-101,-548,-50,5.613,-0.245,87,59,27,2470,451,8.408
"38",38,"=","R. CITY","Make Up f/Chloe Angelides",1207,-85,-610,-51,5.694,-0.3,66,221,31,1899,348,9.56
"39",39,"+1","ALESSIA CARA","Wild Things",1200,64,527,-49,6.638,0.152,10,243,39,1200,635,6.638
"40",40,"-1","FALL OUT BOY","Irresistible f/Demi Lovato",1084,-75,-1036,212,5.471,-0.614,105,107,21,4199,560,17.263
"41",41,"=","ONE DIRECTION","History",947,11,335,-41,2.977,0.028,10,125,41,947,559,2.977
"42",42,"+3","ZARA LARSSON & MNEK","Never Forget You",928,80,480,41,7.689,0.601,7,150,42,928,480,7.689
"43",43,"-1","DRAKE & FUTURE","Jumpman",906,-20,-20,-51,2.84,-0.165,19,51,42,933,339,3.134
"44",44,"=","PITBULL","El Taxi f/Sensato & O. Garcia",895,2,-23,-9,5.872,-0.054,26,328,42,937,219,6.285
"45",45,"-2","FETTY WAP","679 f/Remy Boyz...",891,-20,-257,8,6.19,0.247,157,71,19,5210,769,28.742
"46",46,"=","EMPIRE OF THE SUN","Walking On A Dream",708,24,265,-30,4.269,0.189,5,169,46,708,369,4.269
"47",47,"+1","NATHAN SYKES","Over And Over Again f/A.Grande",666,17,155,-6,1.972,0.027,15,413,47,666,243,1.972
"48",48,"+1","KYGO","Stole The Show f/Parson James",639,7,149,-26,3.391,0.116,7,277,48,639,198,3.391
"49",49,"-2","DAWIN","Dessert",624,-36,-160,-37,2.201,-0.162,79,116,44,989,118,4.548
"50",50,"=","COLDPLAY","Adventure Of A Lifetime",580,32,136,34,3.403,0.402,24,3,47,580,136,3.403
