"Pos","Pos.","Artist","Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"=","MAROON 5","One More Night",13482,"+15",352,"-213",94.235,"+0.775",82,"5",1,13522,1593,94.235
2,"=","PINK","Blow Me (One Last Ki...",12762,"+44",51,"-34",90.315,"+0.384",96,"27",1,12762,2737,90.315
3,"=","JUSTIN BIEBER","As Long As You Love ...",11668,"+60",830,"-63",77.777,"-0.149",95,"11",3,11668,1300,78.394
4,"=","OWL CITY & CARLY RAE...","Good Time",10622,"+18",181,"-70",70.926,"+0.563",104,"15",4,10622,1961,70.926
5,"=","TAYLOR SWIFT","We Are Never Ever Ge...",10229,"+125",924,"+30",70.674,"-0.069",55,"6",5,10229,4592,71.08
6,"=","FUN.","Some Nights",10079,"+134",954,"+28",65.666,"+0.754",120,"8",6,10079,1295,65.666
7,"=","NEON TREES","Everybody Talks",9793,"-109",-742,"-82",56.919,"-1.058",182,"20",3,10891,1632,66.269
8,"+1","ALEX CLARE","Too Close",8731,"+116",810,"+11",57.366,"+0.852",132,"9",8,8731,1328,57.366
9,"-1","FLO RIDA","Whistle",8447,"-275",-2078,"-199",51.392,"-1.378",125,"12",1,12179,1412,76.089
10,"=","ELLIE GOULDING","Lights",6886,"-97",-846,"-9",52.157,"-0.691",241,"55",1,13999,1482,101.262
11,"=","CHRIS BROWN","Don't Wake Me Up",6703,"+65",667,"-9",49.344,"-0.056",113,"21",11,6703,982,49.4
12,"+3","PSY","Gangnam Style",5600,"+106",878,"-88",44.691,"+1.197",29,"2",12,5600,1695,44.691
13,"+1","ENRIQUE IGLESIAS","Finally Found You f/...",5576,"+58",540,"+34",35.016,"+0.145",40,"36",13,5576,1803,35.016
14,"-2","NICKI MINAJ","Pound The Alarm",5461,"-128",-1070,"-93",33.524,"-0.517",84,"44",11,6583,1036,45.522
15,"-2","KATY PERRY","Wide Awake",5348,"-234",-1077,"-159",35.473,"-1.376",139,"50",1,14124,2824,100.029
16,"=","NE-YO","Let Me Love You",5141,"+137",817,"+50",40.174,"+0.940",60,"17",16,5141,834,40.174
17,"=","KE$HA","Die Young",4873,"+267",1536,"-283",37.944,"+1.779",13,"7",17,4873,3842,37.944
18,"=","KARMIN","Hello",4265,"-45",-227,"-83",22.306,"-0.284",62,"54",16,4491,1012,25.698
19,"=","TRAIN","50 Ways To Say Goodb...",4062,"-13",287,"-57",21.947,"+0.117",65,"16",17,4075,717,21.947
20,"=","ONE DIRECTION","Live While We're You...",3961,"+40",963,"-387",23.72,"-0.362",18,"3",20,3961,2151,24.082
21,"+3","RIHANNA","Diamonds",3735,"+381",1722,"+129",26.653,"+2.031",12,"10",21,3735,2812,29.279
22,"-1","DAVID GUETTA","I Can Only Imagine f...",3701,"+88",224,"+75",22.409,"+0.745",71,"68",19,3701,589,22.409
23,"-1","CHRISTINA AGUILERA","Your Body",3688,"+98",493,"+80",21.444,"+0.651",24,"47",21,3688,2059,21.444
24,"-1","USHER","Numb",3466,"+74",370,"-50",19.005,"+0.606",36,"105",22,3466,1028,19.005
25,"+1","BRUNO MARS","Locked Out Of Heaven",2790,"+338",2790,"+338",22.574,"+3.125",7,"14",25,2790,2790,22.574
26,"-1","LINKIN PARK","Burn It Down",2673,"-35",105,"-29",12.423,"-0.067",124,"92",23,2708,475,12.49
27,"+1","ONEREPUBLIC","Feel Again",2256,"+60",177,"+31",11.424,"+0.691",32,"46",26,2256,813,11.424
28,"-1","PHILLIP PHILLIPS","Home",2211,"-2",274,"-53",13.59,"+0.190",89,"13",27,2213,327,13.59
29,"=","CHER LLOYD","Want U Back",2026,"-100",-721,"-34",11.59,"-0.468",149,"25",9,8069,1103,45.503
30,"=","ED SHEERAN","The A Team",1730,"+43",276,"+21",12.899,"+0.457",50,"29",29,1730,276,12.899
31,"=","FLO RIDA","I Cry",1623,"+62",418,"-21",9.5,"+0.321",23,"41",31,1623,492,9.5
32,"=","TREY SONGZ","2 Reasons f/T.I.",1508,"+13",123,"-15",8.753,"+0.082",50,"101",31,1508,243,8.753
33,"=","RITA ORA","R.I.P. f/Tinie Tempa...",1454,"+39",204,"-26",6.053,"+0.141",36,"145",33,1454,352,6.053
34,"+1","THE SCRIPT","Hall Of Fame f/will....",1053,"+10",66,"-4",4.253,"+0.066",22,"84",34,1053,468,4.253
35,"+1","CHRIS WALLACE","Remember When (Push ...",1002,"+7",77,"+4",2.9,"-0.004",57,"--",35,1002,122,3.036
36,"+1","AUSTIN MAHONE","Say Somethin",961,"-23",-142,"-22",3.825,"-0.154",66,"204",35,1121,195,4.861
37,"+1","ZEDD","Spectrum f/Matthew K...",956,"-2",-208,"+1",5.202,"+0.168",48,"205",33,1198,305,6.722
38,"-4","CONOR MAYNARD","Vegas Girl",921,"-136",-869,"-125",3.856,"-0.885",72,"187",27,1870,280,8.839
39,"+1","ADELE","Skyfall",907,"+46",907,"+46",11.042,"+0.356",3,"1",39,907,907,11.042
40,"-1","BRIDGIT MENDLER","Ready Or Not",907,"+13",90,"-6",3.842,"+0.037",35,"63",39,913,218,3.914
41,"=","MEGAN & LIZ","Bad For Me",799,"+40",85,"+16",2.787,"+0.177",29,"--",40,799,313,3.348
