"","Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","PkPos","PkSpins","PkBllt","PkAud"
"1",1,"=","ADELE Rolling In The Deep",13761,"+68",1097,"-164",93.087,"+0.843",20,1,13761,2273,93.087
"2",2,"+1","BLACK EYED PEAS Just Can't Get Enough",13197,"-7",-95,"+7",81.72,"+0.025",20,2,13366,715,84.474
"3",3,"-1","KATY PERRY E.T.",13192,"-71",-324,"-34",90.068,"+0.052",20,1,14624,0,96.745
"4",4,"=","BRITNEY SPEARS Till The World Ends",11547,"+2",-310,"+41",73.416,"+0.083",20,3,11896,966,75.819
"5",5,"=","BRUNO MARS Lazy Song",10363,"+40",545,"-120",60.439,"+0.571",20,5,10363,1054,60.439
"6",6,"=","JENNIFER LOPEZ F/PITBULL On The Floor",10059,"-12",-52,"-53",63.007,"-0.114",20,5,10169,668,65.118
"7",7,"=","PITBULL Give Me Everything f/Ne-Yo",8558,"+173",1234,"-61",61.364,"+2.006",20,7,8558,1811,61.364
"8",8,"=","TINIE TEMPAH Written In The Stars",8249,"-88",-447,"-77",44.085,"-0.956",20,7,8819,756,54.175
"9",9,"=","KE$HA Blow",6326,"-143",-1307,"-14",38.936,"-0.259",20,4,10135,0,56.264
"10",10,"=","RIHANNA S&M",6071,"-157",-1089,"+7",39.923,"-0.426",20,5,10081,0,64.524
"11",11,"=","THE SCRIPT For The First Time",5914,"+18",-287,"+46",31.266,"+0.097",20,11,6229,433,33.625
"12",12,"=","LUPE FIASCO The Show Goes On",5892,"+62",331,"-58",36.734,"+0.400",20,12,5892,1005,36.734
"13",13,"=","JESSIE J Price Tag f/B.O.B",5755,"-27",-125,"-34",28.413,"-0.221",20,12,5959,582,30.453
"14",14,"+1","LADY GAGA The Edge Of Glory",5372,"+119",1291,"-222",31.984,"+0.813",20,14,5372,2193,31.984
"15",15,"-1","JEREMIH Down On Me f/50 Cent",5320,"-116",-1137,"+185",29.23,"-0.982",20,10,8052,153,44.2
"16",16,"=","WIZ KHALIFA Roll Up",4314,"+32",524,"-59",23.96,"+0.242",20,16,4314,725,23.96
