"Pos","Pos.","Artist.and.Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","PkPos","PkSpins","PkBllt","PkAud"
1,"=","KATY PERRY E.T.",14567,"-25",-164,"+24",96.031,"-0.555",3,1,14624,0,96.745
2,"=","BLACK EYED PEAS Just Can't Get Enough",13034,"+36",506,"-141",81.882,"-0.090",3,2,13034,715,81.972
3,"=","BRITNEY SPEARS Till The World Ends",11417,"+50",840,"-88",74.14,"+0.622",3,3,11417,966,74.14
4,"=","ADELE Rolling In The Deep",10381,"+293",2160,"-45",69.721,"+1.519",3,4,10381,2273,69.721
5,"+2","JENNIFER LOPEZ F/PITBULL On The Floor",9588,"+21",499,"-91",62.32,"-0.003",3,5,9588,668,62.323
6,"-1","KE$HA Blow",9579,"-280",-1161,"-199",53.311,"-1.323",3,4,10135,0,56.264
7,"-1","RIHANNA S&M",9379,"-345",-2052,"-132",60.246,"-2.247",3,5,10081,0,64.524
8,"=","TINIE TEMPAH Written In The Stars",8494,"+96",727,"-29",52.263,"+0.482",3,8,8494,756,52.263
9,"=","BRUNO MARS Lazy Song",8483,"+125",730,"+0",49.807,"+0.898",3,9,8483,786,49.807
10,"=","JEREMIH Down On Me f/50 Cent",7998,"-54",0,"-112",43.475,"-0.292",3,10,8052,153,44.2
11,"=","THE SCRIPT For The First Time",5911,"+71",345,"+53",33.227,"-0.151",3,11,5911,345,33.625
12,"=","CEE LO GREEN F**k You (Forget You)",5633,"-92",-1275,"+113",31.767,"-0.340",3,11,5830,0,32.865
13,"=","JESSIE J Price Tag f/B.O.B",5629,"+34",466,"-52",29.9,"-0.075",3,13,5629,582,29.975
14,"=","PINK F**kin' Perfect (Perfect)",5180,"-118",-476,"+5",26.885,"-0.592",3,14,5394,0,27.986
15,"=","PITBULL Give Me Everything f/Ne-Yo",4967,"+199",1181,"+89",37.754,"+1.353",3,15,4967,1181,37.754
16,"=","LADY GAGA Judas",4308,"-275",-652,"-302",22.875,"-2.295",3,15,4801,0,27.232
17,"=","LUPE FIASCO The Show Goes On",4256,"+124",748,"+25",27.754,"+0.376",3,17,4256,786,27.754
18,"=","NEW BOYZ Back Seat f/Cataracs & Dev",3709,"+38",274,"-1",18.848,"+0.269",3,18,3709,331,18.848
19,"=","LADY GAGA Born This Way",3509,"-33",-674,"+81",19.171,"-0.473",3,19,3651,0,20.436
