"Pos","Pos.","Artist.and.Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","PkPos","PkSpins","PkBllt","PkAud"
1,"=","ADELE Rolling In The Deep",13693,"+104",1261,"-97",92.244,"+0.621",19,1,13693,2273,92.244
2,"=","KATY PERRY E.T.",13263,"-28",-290,"+78",90.016,"-0.327",19,1,14624,0,96.745
3,"=","BLACK EYED PEAS Just Can't Get Enough",13204,"-74",-102,"-50",81.695,"-0.671",19,2,13366,715,84.474
4,"=","BRITNEY SPEARS Till The World Ends",11545,"-103",-351,"-137",73.333,"-0.715",19,3,11896,966,75.819
5,"=","BRUNO MARS Lazy Song",10323,"-22",665,"-145",59.868,"-0.309",19,5,10345,1054,60.177
6,"=","JENNIFER LOPEZ F/PITBULL On The Floor",10071,"-26",1,"-111",63.121,"-0.298",19,5,10169,668,65.118
7,"+1","PITBULL Give Me Everything f/Ne-Yo",8385,"+82",1295,"-230",59.358,"+0.595",19,7,8385,1811,59.358
8,"-1","TINIE TEMPAH Written In The Stars",8337,"-42",-370,"+4",45.041,"-1.100",19,7,8819,756,54.175
9,"=","KE$HA Blow",6469,"-212",-1293,"-61",39.195,"-1.186",19,4,10135,0,56.264
10,"=","RIHANNA S&M",6228,"-192",-1096,"-56",40.349,"-0.580",19,5,10081,0,64.524
11,"=","THE SCRIPT For The First Time",5896,"-50",-333,"-58",31.169,"-0.372",19,11,6229,433,33.625
12,"+1","LUPE FIASCO The Show Goes On",5830,"+81",389,"-4",36.334,"+0.269",19,12,5830,1005,36.419
13,"-1","JESSIE J Price Tag f/B.O.B",5782,"+4",-91,"+16",28.634,"-0.216",19,12,5959,582,30.453
14,"=","JEREMIH Down On Me f/50 Cent",5436,"-177",-1322,"-9",30.212,"-1.247",19,10,8052,153,44.2
15,"=","LADY GAGA The Edge Of Glory",5253,"+131",1513,"-171",31.171,"+0.651",19,15,5253,2193,31.171
16,"+1","WIZ KHALIFA Roll Up",4282,"+53",583,"-57",23.718,"+0.580",19,16,4282,725,23.718
17,"+2","SELENA GOMEZ & THE SCENE Who Says",4096,"+24",295,"-39",23.863,"+0.095",19,17,4096,707,24.162
18,"=","NEW BOYZ Back Seat f/Cataracs & Dev",4070,"-18",60,"-98",21.085,"+0.042",19,17,4096,331,21.118
19,"+1","HOT CHELLE RAE Tonight Tonight",3812,"+31",366,"-58",18.779,"+0.247",19,19,3812,643,18.779
20,"+3","JASON DERULO Don't Wanna Go Home",3718,"+156",1273,"-73",20.523,"+0.651",17,20,3718,1463,20.523
21,"+1","LMFAO Party Rock Anthem",3683,"+99",700,"+24",25.755,"+0.845",19,21,3683,700,25.755
22,"+2","ONEREPUBLIC Good Life",3677,"+125",414,"+44",19.208,"+0.879",19,21,3677,580,19.208
