"Pos","Pos.","Artist.and.Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"=","BRITNEY SPEARS I Wanna Go",12116,-103,-603,0,73.814,-0.666,93,"28",1,12853,1768,82.422
2,"+2","MAROON 5 F/CHRISTINA AGUILERA Moves Like...",11721,195,1213,-15,76.719,1.584,68,"1",2,11721,1893,76.719
3,"=","BAD MEETS EVIL Lighters f/Bruno Mars",11704,66,795,-28,77.08,0.87,81,"12",3,11704,1599,77.08
4,"-2","KATY PERRY Last Friday Night (T.G.I.F.)",11629,-193,-581,-100,68.251,-2.046,110,"31",1,14935,2322,96.531
5,"=","NICKI MINAJ Super Bass",10513,-70,-676,9,65.167,0.187,127,"19",3,12009,1188,73.23
6,"=","LMFAO Party Rock Anthem",10050,-204,-1141,-108,67.669,-1.145,127,"8",1,14043,1859,94.193
7,"=","FOSTER THE PEOPLE Pumped Up Kicks",8732,102,822,-63,51.935,0.537,63,"3",7,8732,1302,51.935
8,"=","GYM CLASS HEROES Stereo Hearts f/Adam Le...",8017,121,1092,-31,48.232,0.074,78,"5",8,8017,1218,48.232
9,"=","PITBULL Give Me Everything f/Ne-Yo",7863,-10,-499,61,56.226,0.108,127,"25",1,14233,1811,95.596
10,"=","ONEREPUBLIC Good Life",7714,-77,-402,26,46.518,-0.806,127,"13",6,9571,978,57.364
11,"=","RIHANNA Cheers (Drink To That)",7632,79,668,4,42.559,0.501,49,"9",11,7632,1594,42.559
12,"=","COBRA STARSHIP You Make Me Feel... f/Sab...",7581,97,705,17,47.615,0.471,93,"6",12,7581,1017,47.615
13,"=","HOT CHELLE RAE Tonight Tonight",6899,-239,-1163,-82,38.453,-1.445,127,"18",5,10036,838,54.593
14,"=","LADY GAGA You And I",6599,94,847,-23,37.77,0.021,37,"7",14,6599,1553,37.77
15,"+1","ADELE Someone Like You",5646,269,1554,107,36.912,2.457,39,"2",15,5646,1554,36.912
16,"-1","LIL WAYNE How To Love",5458,-237,-1100,-120,35.635,-1.067,102,"16",9,8047,1328,45.275
17,"=","DEV In The Dark",5234,86,984,-67,36.289,0.638,48,"11",17,5234,1224,36.289
18,"=","IYAZ Pretty Girls",4755,-15,243,-61,22.316,-0.256,102,"36",17,4770,659,22.767
19,"=","THE BAND PERRY If I Die Young",3940,-156,-1227,67,21.489,-0.938,127,"21",11,6052,768,32.555
20,"=","LADY GAGA The Edge Of Glory",3701,-46,-371,87,21.192,0.09,127,"59",3,11672,2193,68.045
21,"=","JASON DERULO It Girl",3699,17,585,-134,17.931,0.156,28,"20",21,3699,1048,17.931
22,"=","THE SCRIPT Nothing",3366,58,365,-4,16.11,0.242,47,"33",21,3366,722,16.11
23,"=","DAVID GUETTA Without You f/Usher",3269,190,1254,18,21.234,1.088,19,"10",23,3269,1254,21.234
24,"=","ALEXANDRA STAN Mr. Saxobeat",3007,28,389,-52,25.209,-0.007,53,"29",23,3007,567,25.216
25,"=","AFROJACK Take Over Control f/Eva Simons",2824,10,282,-48,22.941,0.036,87,"48",25,2824,435,22.941
26,"=","KELLY ROWLAND Motivation f/Lil Wayne",2766,40,47,36,13.792,-0.018,72,"54",21,2766,415,15.279
27,"=","ANDY GRAMMER Keep Your Head Up",2419,0,14,-1,9.577,-0.053,81,"73",25,2465,355,9.941
28,"=","MARTIN SOLVEIG & DRAGONETTE Hello",2155,-23,-184,-13,13.748,-0.336,127,"78",18,4031,605,23.761
29,"+1","KELLY CLARKSON Mr. Know It All",1983,145,1093,24,9.866,1.192,11,"22",29,1983,1093,9.866
30,"-1","NEW BOYZ Better With The Lights Off",1858,15,287,-44,5.612,0.092,41,"51",29,1858,423,5.612
31,"=","LMFAO Sexy And I Know It",1666,120,709,39,9.545,0.713,19,"14",31,1666,709,9.545
32,"+2","PATRICK STUMP This City f/Lupe Fiasco",1133,45,324,-16,4.733,0.045,18,"344",32,1133,340,4.733
33,"-1","MATT NATHANSON Faster",1113,-22,-5,-54,3.622,-0.038,65,"122",32,1139,166,3.66
34,"-1","DJ KHALED I'm On One f/Drake, Rick Ross",1109,16,85,-17,9.008,0.167,29,"55",33,1109,297,9.008
35,"=","WIZ KHALIFA No Sleep",1061,7,56,10,3.761,-0.097,32,"76",34,1061,246,3.907
36,"+1","SELENA GOMEZ & THE SCENE Love You Like A...",997,21,181,-19,3.883,0.174,23,"46",36,997,306,3.883
