"Pos","Pos.","Artist","Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","iTunes","Pk","PkSp","PkBl","PkAu"
1,"=","TAYLOR SWIFT","Blank Space",16758,7,1208,-427,113.993,0.259,47,"1",1,16758,3248,113.993
2,"=","MAROON 5","Animals",15828,-147,-1202,-132,102.143,-1.181,82,"14",1,17381,3186,114.705
3,"+1","CALVIN HARRIS","Blame f/John Newman",13909,-31,147,-95,87.043,0.673,97,"26",3,13993,1988,87.043
4,"-1","ED SHEERAN","Don't",13707,-270,-1647,-193,77.383,-1.903,154,"20",2,15646,2073,94.331
5,"=","NICK JONAS","Jealous",13366,182,864,197,74.93,0.93,94,"10",5,13366,1846,74.93
6,"=","MR PROBZ","Waves",12053,-48,-157,-101,82.393,-0.146,154,"21",5,12307,1264,83.219
7,"=","ARIANA GRANDE & THE WEEKND","Love Me Harder",11287,215,1416,16,75.007,0.822,68,"12",7,11287,1751,75.007
8,"+1","SAM SMITH","I'm Not The Only One",9744,156,917,76,61.653,1.537,80,"8",8,9744,1424,61.653
9,"-1","TOVE LO","Habits (Stay High)",9724,-83,-2157,202,70.592,-1.663,174,"38",1,16744,2816,110.186
10,"=","HOZIER","Take Me To Church",7805,98,1304,-123,46.669,0.851,62,"3",10,7805,1438,46.669
11,"+1","SELENA GOMEZ","The Heart Wants What It Wants",7426,173,1519,-44,44.733,1.089,38,"9",11,7426,2058,44.733
12,"+1","IGGY AZALEA","Beg For It f/MØ",7253,82,108,69,37.469,0.154,51,"33",11,7253,2920,38.689
13,"-2","TAYLOR SWIFT","Shake It Off",7209,-70,-1096,76,48.773,-1.861,118,"6",1,17531,9016,110.142
14,"=","ALESSO","Heroes",6728,29,438,-132,39.384,0.091,97,"31",13,6735,896,39.384
15,"=","MEGHAN TRAINOR","Lips Are Movin",6581,88,859,-52,37.31,1.052,55,"5",15,6581,1423,37.31
16,"=","MARK RONSON","Uptown Funk f/Bruno Mars",6478,270,1321,70,39.677,1.961,34,"2",16,6478,2689,39.677
17,"=","JESSIE J/A. GRANDE/N. MINAJ","Bang Bang",4971,-133,-1057,78,31.847,-0.943,138,"18",1,15754,4716,94.236
18,"+1","FALL OUT BOY","Centuries",4705,-32,165,-141,22.08,-0.061,88,"15",18,4749,679,22.502
19,"+1","JEREMIH","Don't Tell 'Em f/YG",4531,-127,-806,-6,30.36,-0.396,147,"72",5,12620,1458,74.757
20,"-2","JASON DERULO","Trumpets",4498,-334,-2649,-17,23.162,-1.603,111,"36",9,8686,1238,46.628
21,"=","NICO & VINZ","In Your Arms",3912,32,204,52,18.393,0.331,81,"108",21,3920,1121,18.393
22,"+1","ELLA HENDERSON","Ghost",3344,97,721,6,13.247,0.502,94,"35",22,3344,827,13.247
23,"-1","DAVID GUETTA","Dangerous f/Sam Martin",3289,-37,-146,-13,18.418,-0.482,69,"50",22,3486,1540,19.376
