"Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","Pk","PkSp","PkBl","PkAu"
1,"+1","MIKE POSNER","I Took A Pill In Ibiza",17668,"+139",908,"-62",109.321,"+0.995",113,"12",1,17668,1578,109.321
2,"-1","ZAYN","Pillowtalk",17536,"-53",-100,"-167",109.647,"-0.250",99,"42",1,17839,2441,109.897
3,"=","LUKAS GRAHAM","7 Years",17380,"+29",710,"-195",104.907,"-0.380",111,"8",3,17380,2077,105.982
4,"=","FIFTH HARMONY","Work From Home",13845,"+213",1278,"+3",78.82,"+0.379",71,"14",4,13845,4059,78.82
5,"+1","ZARA LARSSON & MNEK","Never Forget You",11120,"+83",276,"-5",65.799,"+0.680",94,"21",5,11120,1534,65.799
6,"-1","G-EAZY","Me Myself And I f/Bebe Rexha",10898,"-223",-2109,"+126",68.659,"-0.857",121,"76",1,16250,1836,97.757
7,"=","JUSTIN BIEBER","Love Yourself",10544,"-162",-1282,"-10",71.933,"-0.682",155,"37",1,19000,4103,124.28
8,"+1","THE CHAINSMOKERS","Don't Let Me Down f/Daya",10522,"+163",1391,"-27",66.271,"+1.006",55,"5",8,10522,1906,66.271
9,"-1","DNCE","Cake By The Ocean",10347,"-245",-2758,"+167",60.765,"-1.477",220,"23",2,15763,1185,92.576
10,"+1","ARIANA GRANDE","Dangerous Woman",9716,"-37",302,"-133",55.174,"-0.267",57,"16",10,9753,4214,55.441
11,"-1","FLO RIDA","My House",9644,"-161",-1316,"-89",62.76,"-0.459",201,"18",1,18123,2285,104.909
12,"=","MEGHAN TRAINOR","NO",8668,"-663",-3247,"-463",43.359,"-3.707",64,"11/94",7,12552,5498,69.649
13,"=","DJ SNAKE","Middle f/Bipolar Sunshine",8502,"-70",-156,"-170",47.772,"+0.503",111,"45",12,8717,1239,47.772
14,"=","DRAKE","One Dance f/Wizkid & Kyla",7883,"+324",2323,"-22",50.568,"+1.404",27,"2",14,7883,2494,50.568
15,"=","NICK JONAS","Close f/Tove Lo",7179,"+25",406,"-9",33.923,"-0.110",43,"27",14,7179,3392,34.128
16,"=","ALESSIA CARA","Wild Things",6046,"+29",297,"+17",30.383,"-0.313",97,"87",16,6046,814,30.696
17,"=","JASON DERULO","If It Ain't Love",5806,"+29",327,"+19",28.169,"+0.123",36,"112",17,5806,2192,28.169
18,"+1","JAMES BAY","Let It Go",5522,"+89",614,"+24",32.111,"+0.742",76,"20",18,5522,885,32.111
19,"-1","SELENA GOMEZ","Hands To Myself",5479,"-137",-1033,"+67",34.564,"-0.701",125,"130",1,16291,1952,91.457
20,"=","RUTH B.","Lost Boy",4083,"+20",443,"-62",18.718,"-0.288",82,"15",20,4083,534,19.006
21,"+1","PINK","Just Like Fire",3946,"+38",636,"-114",18.859,"+0.229",22,"17",21,3946,2189,18.859
22,"+2","RIHANNA","Kiss It Better",3474,"+4",171,"-55",14.799,"+0.131",31,"90",22,3493,1133,15.648
23,"=","IGGY AZALEA","Team",3471,"-17",-138,"-44",11.629,"-0.166",48,"106",21,3649,1132,12.711
24,"+1","GRACE","You Don't Own Me f/G-Eazy",3205,"+81",578,"+45",12.506,"+0.150",50,"55",24,3205,664,12.506
25,"-4","CALVIN HARRIS","This Is What You... f/Rihanna",3166,"-794",1766,"-2194",24.335,"-10.966",8,"3",21,3960,3960,35.301
26,"+1","TWENTY ONE PILOTS","Ride",2625,"+51",555,"-64",10.501,"+0.192",27,"54",26,2625,764,10.501
27,"-1","PITBULL F/ENRIQUE IGLESIAS","Messin' Around",2622,"-12",134,"-76",11.656,"+0.038",29,"49",26,2635,1675,13.913
28,"=","FLUME","Never Be Like You f/Kai",2566,"+14",299,"-47",14.062,"+0.257",53,"81",28,2566,487,14.062
29,"=","RIHANNA","Work f/Drake",2496,"-35",-575,"+78",15.507,"-0.337",101,"39",8,11661,3999,67.246
30,"--","JUSTIN TIMBERLAKE","Can't Stop The Feeling",2487,"--",2487,"--",20.322,"--",1,"1",30,2487,2487,20.322
31,"-1","SIA","Cheap Thrills",2152,"+32",351,"+16",10.412,"+0.146",60,"97",30,2152,351,10.412
32,"-1","DESIIGNER","Panda",2011,"+72",722,"-50",11.451,"+0.012",17,"6/66",31,2011,808,11.451
33,"-1","TROYE SIVAN","Youth",1733,"-155",-1934,"+200",8.409,"-0.359",125,"116",17,5443,660,22.213
34,"=","MAJOR LAZER","Light It Up f/Nyla",1658,"+7",28,"-5",5.549,"-0.052",66,"179",32,1658,288,5.795
35,"=","ELLIE GOULDING","Army",1594,"+59",473,"-17",4.94,"+0.172",13,"1190",35,1594,733,4.94
36,"-3","JUSTIN BIEBER","Company",1488,"-180",-2417,"+238",7.577,"-0.696",69,"205",16,6486,2006,31.446
37,"=","DAYA","Sit Still, Look Pretty",1441,"+15",116,"-11",4.215,"-0.044",41,"107",36,1441,250,4.259
38,"-2","JEREMIH","Oui",1440,"+4",60,"-22",4.686,"+0.002",48,"89",34,1440,263,4.686
