"Pos","Pos.","Artist","Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"=","MAROON 5","Payphone f/Wiz Khali...",14221,"-52",55,"-171",105.533,"+0.109",77,"8",1,14353,3415,105.533
2,"=","CARLY RAE JEPSEN","Call Me Maybe",13911,"-105",-530,"-109",105.465,"-0.556",113,"1",1,14563,1711,111.23
3,"=","GOTYE","Somebody That I Used...",11566,"-295",-1440,"-266",88.856,"-2.138",123,"5",1,14242,2018,106.819
4,"=","RIHANNA","Where Have You Been",11495,"+233",1642,"+49",88.512,"+1.848",78,"9",4,11495,1884,88.512
5,"=","ELLIE GOULDING","Lights",9739,"+197",1402,"+124",70.932,"+1.598",143,"6",5,9739,1402,70.932
6,"=","KATY PERRY","Wide Awake",9366,"+205",1499,"+88",63.62,"+0.836",41,"2",6,9366,2824,63.62
7,"+1","USHER","Scream",8818,"+152",758,"+105",59.099,"+1.354",67,"10",7,8818,2323,59.099
8,"-1","ONE DIRECTION","What Makes You Beaut...",8534,"-357",-1867,"-346",57.541,"-2.267",124,"16",3,11838,1579,80.433
9,"=","NICKI MINAJ","Starships",8111,"-154",-516,"-87",68.233,"-1.265",139,"30/55",3,12071,1834,87.938
10,"=","FUN.","We Are Young f/Janel...",7556,"-109",-915,"-69",52.952,"-0.816",131,"17",1,14439,2738,110.772
11,"+1","DAVID GUETTA","Titanium f/Sia",6777,"+34",422,"-34",50.975,"+0.682",85,"7",11,6777,987,50.975
12,"-1","FLO RIDA","Wild Ones f/Sia",6684,"-134",-866,"-55",52.577,"-0.762",149,"24",2,12595,1940,93.589
13,"+2","GYM CLASS HEROES","Fighter f/Ryan Tedde...",5833,"+40",125,"+74",35.222,"+0.078",63,"14",13,5833,1441,35.34
14,"=","PITBULL","Back In Time",5797,"-104",-438,"-104",38.038,"-0.935",95,"11",14,6235,925,42.751
15,"-2","JUSTIN BIEBER","Boyfriend",5748,"-193",-1322,"-104",32.672,"-1.788",98,"20",9,7937,4726,51.515
16,"=","CALVIN HARRIS","Let's Go f/Ne-Yo",5604,"+43",905,"-88",37.198,"-0.075",65,"33",16,5604,1254,37.273
17,"+1","DEMI LOVATO","Give Your Heart A Br...",5171,"+183",856,"+146",38.27,"+0.859",124,"26",17,5171,856,38.27
18,"-1","KARMIN","Broken Hearted",5054,"-179",-1496,"-51",32.957,"-1.298",134,"29",10,7320,936,47.276
