"Pos","Pos.","Artist","Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"=","MACKLEMORE & RYAN LEWI...","Thrift Shop f/Wanz",14979,-33,624,-159,95.75,-0.588,121,"4",1,15012,2020,109.652
2,"=","MAROON 5","Daylight",14159,69,1568,-73,89.81,0.34,116,"23",2,14159,1641,96.697
3,"=","BRUNO MARS","When I Was Your Man",12814,449,2635,158,81.941,2.186,63,"2",3,12814,2635,82.432
4,"=","TAYLOR SWIFT","I Knew You Were Troubl...",11873,-117,-679,88,89.453,-1.082,120,"26",1,16073,2452,126.481
5,"+1","CALVIN HARRIS","Sweet Nothing f/Floren...",11574,49,979,2,76.715,-0.071,124,"35",5,11574,1126,84.444
6,"-1","SWEDISH HOUSE MAFIA","Don't You Worry Child",11540,-306,-1788,-22,76.006,-2.045,191,"46",1,14704,1905,116.982
7,"+1","JUSTIN TIMBERLAKE","Suit & Tie f/JAY Z",11130,303,1886,175,67.782,1.864,64,"7",7,11130,6457,69.183
8,"-1","WILL.I.AM & BRITNEY SP...","Scream And Shout",10934,-245,-899,-78,70.136,-1.22,114,"19",3,13157,2182,99.406
9,"=","RIHANNA","Stay f/Mikky Ekko",9262,118,1453,-124,67.789,1.972,51,"3",9,9262,1617,68.358
10,"=","IMAGINE DRAGONS","It's Time",8204,10,447,-32,46.407,0.1,177,"40",10,8204,983,50.249
11,"=","PITBULL","Feel This Moment",8067,110,1126,42,54.587,0.558,72,"9",11,8067,1516,57.91
12,"+1","OLLY MURS","Troublemaker f/Flo Rid...",5869,79,821,14,32.888,0.917,92,"25",12,5869,821,34.402
13,"-1","KELLY CLARKSON","Catch My Breath",5530,-295,-1075,-258,31.599,-0.93,144,"47",12,6870,767,44.758
14,"=","DEMI LOVATO","Heart Attack",5523,171,1914,-196,35.23,0.894,19,"14",14,5523,2482,36.928
15,"=","MUMFORD & SONS","I Will Wait",5263,12,263,-93,32.857,-0.118,73,"29",15,5276,747,36.633
16,"+1","KREWELLA","Alive",4925,93,888,12,30.159,0.146,40,"57",16,4925,918,32.416
17,"-1","JUSTIN BIEBER","Beauty And A Beat f/N....",4753,-207,-771,-131,29.186,-1.311,152,"92",2,12731,1998,87.772
18,"=","OF MONSTERS AND MEN","Little Talks",4705,43,449,22,28.275,0.365,121,"31",18,4705,655,29.881
19,"=","PINK","Just Give Me A Reason",4569,106,1353,-168,29.898,0.766,27,"1",19,4569,1553,29.898
20,"+1","FALL OUT BOY","My Songs Know What You...",3749,72,408,73,17.013,0.37,37,"15",20,3749,1015,17.937
21,"-1","ONE DIRECTION","Kiss You",3719,-89,-630,29,15.643,-0.616,56,"73",19,4542,1186,22.924
22,"=","FUN.","Carry On",3651,140,856,100,20.095,0.48,70,"17",22,3651,856,20.095
23,"+2","TAYLOR SWIFT","22",3572,324,2327,118,19.502,1.432,16,"43",23,3572,2327,19.502
24,"=","PINK","Try",3271,-27,-556,145,21.671,-0.512,142,"53",6,9909,1515,66.33
25,"+1","ICONA POP","I Love It f/Charli XCX",3268,64,505,-11,21.649,0.285,39,"18",25,3268,707,23.927
26,"-3","KE$HA","C'mon",3194,-254,-2532,204,15.554,-1.17,93,"89",9,8228,1547,54.334
27,"=","MUSE","Madness",2271,46,315,9,10.026,0.21,94,"37",27,2271,385,10.026
28,"=","JUSTIN BIEBER","All Around The World",2171,114,649,62,16.098,0.643,30,"153",28,2171,727,16.098
29,"=","CHER LLOYD","With Ur Love f/Juicy J",1889,35,306,16,9.647,0.098,37,"137",29,1889,571,9.647
30,"=","EMELI SANDE","Next To Me",1851,52,402,43,13.431,-0.08,31,"61",30,1851,453,14.032
31,"=","AFROJACK & CHRIS BROWN","As Your Friend",1712,60,347,67,8.221,0.131,47,"138",31,1712,362,9.977
32,"=","ALICIA KEYS","Girl On Fire",1523,-44,-717,190,11.43,-0.811,147,"54",9,7658,1171,50.899
33,"=","NE-YO","Forever Now",1408,-20,103,-40,9.594,-0.086,53,"265",33,1428,269,11.68
34,"=","BRITT NICOLE","Gold",1327,-66,-293,-50,4.715,-0.219,93,"98",29,1664,314,6.524
35,"=","BAAUER","Harlem Shake",1255,-15,27,-2,5.751,0.033,26,"10",35,1277,488,6.257
36,"+2","LITTLE MIX","Wings",1118,42,313,14,5.078,0.367,24,"155",36,1118,313,5.078
37,"=","HUNTER HAYES","Wanted",1094,-36,-562,126,6.375,-0.194,156,"62",23,3020,368,18.605
38,"+1","ONEREPUBLIC","If I Lose Myself",1067,4,69,2,3.335,-0.017,42,"207",38,1067,318,3.438
39,"-3","NELLY","Hey Porsche",1037,-216,-1176,-143,5.821,-0.931,60,"68",26,2524,673,14.908
40,"+1","MACKLEMORE & RYAN LEWI...","Can't Hold Us f/Ray Da...",885,100,548,81,7.204,0.988,5,"22",40,885,548,7.204
41,"-1","A$AP ROCKY","F**kin Problems f/Drak...",821,2,39,-6,4.133,-0.018,44,"38",40,821,154,4.837
42,"+1","CARLY RAE JEPSEN","Tonight I'm Getting Ov...",787,35,177,15,2.206,0.094,16,"--",42,787,211,2.206
43,"+1","AVICII VS NICKY ROMERO","I Could Be The One",752,64,392,48,5.5,0.313,3,"133",43,752,392,5.5
44,"-2","BENNY BENASSI","Cinema f/Gary Go",744,-9,145,-11,3.434,-0.108,37,"269",42,753,156,4.68
45,"+1","ED SHEERAN","Lego House",683,30,246,-8,3.948,0.09,9,"154",45,683,254,3.948
46,"-1","MIGUEL","Adorn",674,1,58,-18,6.432,-0.041,128,"178",33,1329,248,9.94
47,"+1","ZEDD","Clarity f/Foxes",656,51,320,20,3.116,0.216,2,"109",47,656,320,3.116
48,"-1","HOT CHELLE RAE","Hung Up",638,23,127,21,1.83,0.126,22,"--",47,638,127,1.83
49,"=","STEFANO","Yes To Love",579,5,107,5,0.806,0.01,27,"--",46,579,107,0.876
50,"=","RIHANNA","Pour It Up",551,51,185,53,2.154,0.105,5,"36",48,551,185,2.154
