"Pos","Pos.","Artist","Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","iTunes","Pk","PkSp","PkBl","PkAu"
1,"=","TAYLOR SWIFT","Style",18488,35,374,-12,115.545,0.021,74,10,1,18488,3111,115.545
2,"+1","MAROON 5","Sugar",17435,177,1448,-31,107.619,0.527,68,5,2,17435,2244,107.619
3,"-1","ED SHEERAN","Thinking Out Loud",17054,-270,-1315,-138,106.418,-1.634,103,3,1,18914,3319,118.241
4,"=","MARK RONSON","Uptown Funk f/Bruno Mars",16814,-269,-1231,-134,112.772,-0.667,130,1,1,19386,3126,125.545
5,"=","PITBULL","Time Of Our Lives f/Ne-Yo",15784,5,139,25,92.228,-0.743,112,15,4,15799,2867,94.608
6,"=","ELLIE GOULDING","Love Me Like You Do",13270,261,2149,-67,90.924,1.994,69,2,6,13270,2216,90.924
7,"=","RIHANNA/KANYE WEST/P MCCARTNEY","FourFiveSeconds",11254,60,204,105,65.412,0.064,54,4,6,11254,3932,65.756
8,"=","CALVIN HARRIS","Outside f/Ellie Goulding",9021,25,388,-41,58.66,0.876,90,33,8,9021,1280,58.66
9,"=","NATALIE LA ROSE","Somebody f/Jeremih",8966,176,1391,-109,51.371,0.88,75,11,9,8966,1500,51.371
10,"=","ARIANA GRANDE","One Last Time",8428,59,1066,-158,50.622,0.313,41,23,10,8428,2135,50.622
11,"+1","NICK JONAS","Chains",7374,66,578,22,42.125,0.292,68,14,11,7374,1264,42.125
12,"+1","ZEDD","I Want You To Know f/S. Gomez",7212,110,1410,-121,44.679,0.157,25,25,12,7212,3786,44.679
13,"-2","LILLYWOOD & ROBIN SCHULZ","Prayer In C",7044,-378,-2533,-60,42.546,-2.002,138,77,6,10755,1413,68.631
14,"=","TAYLOR SWIFT","Blank Space",6962,-120,-593,3,50.208,-0.788,143,21,1,18014,3248,118.647
15,"=","ONE DIRECTION","Night Changes",6746,17,294,-52,36.301,-0.01,125,52,14,6746,1221,36.311
16,"=","USHER","I Don't Mind f/Juicy J",5679,-210,-562,-269,28.311,-1.021,103,39,15,6241,911,35.105
17,"=","FLO RIDA","GDFR f/Sage The Gemini",5227,186,1180,88,27.376,0.646,70,7,17,5227,1180,27.376
18,"+1","KELLY CLARKSON","Heartbeat Song",4790,62,280,59,21.609,0.3,65,29,18,4790,1093,21.609
19,"+2","JASON DERULO","Want To Want Me",4698,345,2152,-162,34.884,1.549,11,16,19,4698,4301,39.538
20,"-2","NE-YO","She Knows f/Juicy J",4495,-297,-835,-222,18.435,-1.245,82,55,17,5524,1028,24.954
21,"-1","TORI KELLY","Nobody Love",4491,81,667,-46,20.604,0.117,38,65,20,4491,1398,20.604
22,"=","VANCE JOY","Riptide",4351,68,270,110,21.582,0.525,143,42,21,4351,802,21.582
23,"=","THE WEEKND","Earned It",4312,263,1524,110,31.998,1.989,30,6,23,4312,1524,31.998
24,"=","TOVE LO","Talking Body",3536,107,595,77,20.416,0.437,64,24,24,3536,595,20.416
25,"=","NICKI MINAJ","Truffle Butter f/Drake...",3014,7,120,8,17.019,0.07,61,17,24,3014,577,17.019
26,"=","SAM SMITH","Lay Me Down",2963,51,170,28,13.742,0.422,38,53,26,2963,1008,13.742
27,"=","ELLA HENDERSON","Ghost",2580,-219,-1798,103,14.34,-0.994,190,54,11,8217,1207,40.362
28,"+1","WHO IS FANCY","Goodbye",2040,24,347,13,10.493,0.059,34,101,28,2040,427,10.511
29,"-1","IMAGINE DRAGONS","I Bet My Life",2030,8,108,-6,8.315,0.068,74,68,28,2043,436,8.503
30,"=","WALK THE MOON","Shut Up And Dance",1993,85,461,60,10.704,0.623,34,8,30,1993,461,10.704
31,"+1","LUNCHMONEY LEWIS","Bills",1935,79,327,58,8.697,0.142,26,48,30,1935,672,8.697
32,"-1","ECHOSMITH","Bright",1914,18,316,-5,8.345,0.042,46,94,30,1914,405,8.345
33,"=","CHRIS BROWN & TYGA","Ayo",1649,12,255,-27,7.877,0.105,31,57,33,1649,341,7.877
34,"=","FIFTH HARMONY","Worth It f/Kid Ink",1314,44,315,22,6.234,0.288,16,60,34,1314,418,6.234
35,"+1","IGGY AZALEA","Trouble f/Jennifer Hudson",1181,29,121,35,3.839,0.018,32,336,35,1181,298,3.856
36,"-1","SELENA GOMEZ","The Heart Wants What It Wants",1171,-15,-232,41,7.618,-0.055,134,153,7,10523,2058,67.628
37,"=","SHAGGY F/MOHOMBI/FAYDEE/COSTI","I Need Your Love",1091,34,225,12,4.893,0.114,26,280,37,1091,233,4.893
38,"=","CASH CASH","Surrender",1060,25,92,38,4.57,0.104,61,432,37,1060,224,4.57
39,"=","GEORGE EZRA","Budapest",1024,17,105,-17,3.535,0.029,18,61,39,1024,300,3.535
40,"+1","LIFE OF DILLON","Overload",980,69,221,57,2.183,0.194,22,364,40,980,364,2.183
41,"-1","ANDY GRAMMER","Honey, I'm Good",967,22,196,3,3.181,0.13,23,13,40,967,196,3.181
42,"+2","DAVID GUETTA","Hey Mama  f/Nicki Minaj",837,88,331,82,5.702,0.751,12,70,42,837,331,5.702
43,"-1","RYN WEAVER","OctaHate",831,35,193,4,2.312,0.105,12,154,42,831,252,2.312
44,"-1","DJ SNAKE & ALUNAGEORGE","You Know You Like It",829,45,208,22,7.315,0.282,13,105,43,829,208,7.315
45,"=","CHARLI XCX","Doing It",724,-14,1,-35,1.526,-0.033,21,1351,43,743,126,1.561
46,"=","JESSIE J","Masterpiece",649,-73,-713,31,2.271,-0.206,66,86,29,1834,587,6.61
47,"=","KALIN & MYLES","Trampoline",610,-15,-72,-5,2.262,0.017,30,134,41,784,333,3.136
48,"=","SHEPPARD","Geronimo",608,27,194,13,2.442,0.186,29,35,47,608,194,2.442
49,"+1","SIA","Elastic Heart f/The Weeknd...",575,11,125,-12,5.264,0.188,5,78,49,575,137,5.264
50,"-1","RIXTON","Hotel Ceiling",529,-43,-166,-19,1.014,-0.105,17,441,44,719,216,1.349
