"Pos","Pos.","Artist","Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","iTunes","Pk","PkSp","PkBl","PkAu"
1,"=","MAGIC!","Rude",17579,"-107",-286,"-79",115.096,"-0.551",113,"4",1,17959,2371,118.65
2,"=","SAM SMITH","Stay With Me",16923,"+144",1307,"+24",108.059,"+1.391",87,"6",2,16923,2202,108.059
3,"=","NICO & VINZ","Am I Wrong",16419,"-84",-689,"-66",107.235,"-0.689",128,"18",1,17731,2409,119.274
4,"=","DISCLOSURE","Latch f/Sam Smith",15385,"+144",1081,"+43",91.032,"-0.080",186,"21",4,15385,1542,91.112
5,"=","ARIANA GRANDE","Problem f/Iggy Azalea",11916,"-322",-1907,"-147",78.186,"-1.633",99,"14",1,17403,2576,116.283
6,"=","CHARLI XCX","Boom Clap",11250,"+294",1607,"+151",71.727,"+2.434",54,"9",6,11250,1942,71.727
7,"=","MAROON 5","Maps",10682,"+108",620,"+7",58.97,"+0.622",52,"7",6,10682,4866,58.97
8,"=","DEMI LOVATO","Really Don't Care f/Cher Lloyd",9069,"+81",400,"+30",51.181,"+0.179",74,"51",8,9069,1152,51.181
9,"+1","ONEREPUBLIC","Love Runs Out",8733,"-65",-123,"-117",44.371,"-0.304",97,"23",9,8849,1336,45.354
10,"-1","IGGY AZALEA","Fancy f/Charlie XCX",8709,"-133",-1202,"+88",59.614,"-1.969",139,"20/55",1,17156,2440,116.166
11,"=","CALVIN HARRIS","Summer",8205,"-237",-2177,"+30",52.498,"-1.529",139,"45",3,14953,1917,95.785
12,"=","ARIANA GRANDE","Break Free f/Zedd",7898,"+129",1061,"-48",48.174,"+1.123",33,"13",12,7898,2327,48.174
13,"=","CLEAN BANDIT","Rather Be f/Jess Glynne",7571,"+164",1429,"+39",49.669,"+1.610",70,"10",13,7571,1429,49.669
14,"=","SIA","Chandelier",7171,"+112",777,"+29",43.638,"+0.981",109,"8",13,7171,1217,43.638
15,"=","PHARRELL WILLIAMS","Come Get It Bae",6691,"-101",-81,"-137",28.076,"-0.232",76,"65",12,6864,993,29
16,"=","IGGY AZALEA","Black Widow f/Rita Ora",6502,"+228",1492,"+132",36.772,"+0.959",39,"12",16,6502,1492,36.772
17,"=","ENRIQUE IGLESIAS","Bailando f/Gente De Zona",6085,"+117",1208,"-37",52.714,"+0.655",74,"29",17,6085,1299,52.714
18,"=","BECKY G","Shower",5301,"+17",298,"-50",23.05,"+0.045",83,"15",16,5301,853,23.05
19,"=","JESSIE J/A. GRANDE/N. MINAJ","Bang Bang",4364,"+269",2588,"-194",29.731,"+1.496",9,"2",19,4721,4716,37.498
20,"=","MEGHAN TRAINOR","All About That Bass",3639,"+257",1524,"+126",19.379,"+1.579",30,"1",20,3639,1524,19.379
21,"=","KIESZA","Hideaway",3300,"+13",278,"-69",23.326,"+0.007",39,"59",20,3300,714,23.338
22,"=","RITA ORA","I Will Never Let You Down",3280,"+96",288,"+106",14.533,"+0.408",74,"83",21,3280,643,14.533
23,"+1","ED SHEERAN","Don't",2718,"+58",706,"-44",12.079,"+0.134",25,"48",23,2718,795,12.079
24,"-1","TIESTO","Wasted",2554,"-218",-1154,"-130",10.54,"-0.864",86,"75",19,3825,775,19.749
25,"=","5 SECONDS OF SUMMER","Amnesia",2543,"+62",560,"-8",11.348,"+0.364",22,"39",25,2543,912,11.348
26,"=","FLORIDA-GEORGIA LINE","This Is How We Roll f/J.Derulo",2522,"+52",398,"+24",12.171,"-0.021",21,"54",26,2522,1589,12.192
27,"=","ECHOSMITH","Cool Kids",2498,"+128",489,"+71",12.589,"+0.717",60,"22",27,2498,489,12.589
28,"=","INGRID MICHAELSON","Girls Chase Boys",2245,"+45",333,"+2",9.541,"+0.052",60,"53",28,2245,420,9.541
29,"+1","TINASHE","2 On f/Schoolboy Q",2118,"+30",226,"-31",11.531,"+0.175",59,"57",29,2118,403,11.531
30,"+1","MADDEN BROTHERS","We Are Done",2072,"+43",296,"+20",6.059,"+0.002",55,"--",30,2072,424,6.103
31,"-2","KONGOS","Come With Me Now",1859,"-272",-1704,"-89",7.774,"-0.909",111,"24",14,5298,652,21.39
32,"=","COLDPLAY","A Sky Full Of Stars",1614,"+37",157,"+1",8.097,"+0.300",39,"41",32,1614,318,8.097
33,"+2","TOVE LO","Habits (Stay High)",1508,"+40",175,"+26",6.753,"+0.067",45,"103",33,1508,231,6.753
34,"-1","JASON DERULO","Wiggle f/Snoop Dogg",1445,"-91",-760,"-32",6.628,"-0.350",90,"49",10,7555,1666,36.719
35,"+2","JEREMIH","Don't Tell 'Em f/YG",1418,"+95",494,"+5",12.484,"+0.631",18,"30",35,1418,494,12.484
36,"-2","AJR","I'm Ready",1360,"-125",-969,"-2",4.526,"-0.253",118,"52",24,2537,461,8.111
37,"+1","ED SHEERAN","Sing",1267,"-4",-24,"+8",6.559,"+0.003",121,"88",6,10622,2778,57.807
38,"-2","AFROJACK","Ten Feet Tall f/Wrabel",1178,"-229",-1812,"-64",4.697,"-0.725",130,"--",19,3920,633,17.363
39,"=","FIFTH HARMONY","BO$$",1055,"+20",125,"-10",3.609,"-0.049",18,"79",39,1055,398,3.658
40,"+1","STEVE AOKI, C. LAKE & TUJAMO","Delirious (Boneless) f/Kid Ink",1037,"+19",37,"-12",6.699,"+0.066",25,"91",40,1045,337,6.96
41,"+1","THE 1975","Girls",1013,"+41",385,"+8",2.596,"+0.114",17,"--",41,1013,385,2.596
42,"-2","TREY SONGZ","Na Na",1013,"-14",-401,"+83",7.54,"-0.215",125,"121",27,2847,394,18.704
43,"=","USHER","She Came To Give It To You",938,"-15",227,"-91",2.833,"-0.043",11,"--",42,953,498,3.003
44,"+2","PITBULL","Fireball f/John Ryan",712,"+46",375,"-7",7.499,"+0.228",4,"46",44,712,386,7.499
45,"=","JAKE MILLER","First Flight Home",704,"+7",167,"-23",2.233,"+0.044",10,"--",45,704,212,2.233
46,"-2","CAPITAL CITIES","One Minute More",704,"-39",-90,"-29",1.838,"-0.063",46,"--",42,804,180,2.058
47,"=","MR PROBZ","Waves",632,"+14",79,"+11",3.069,"+0.162",25,"125",46,632,116,3.069
48,"--","KATY PERRY","This Is How We Do",575,"--",512,"--",3.341,"--",1,"141",48,575,512,3.341
49,"-1","G.R.L.","Ugly Heart",561,"+6",17,"-5",1.418,"-0.003",31,"--",45,561,134,1.757
50,"=","NICKI MINAJ","Anaconda",536,"+68",536,"+68",6.148,"+0.662",2,"3",50,536,536,6.148
