"Pos","Pos.","Artist","Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"=","BRUNO MARS","Locked Out Of Heaven",14970,-116,-863,-19,119.999,-0.664,108,"6",1,15928,2790,124.488
2,"=","LUMINEERS","Ho Hey",13509,-33,5,-91,99.404,-0.226,123,"5",2,13545,1921,101.636
3,"=","TAYLOR SWIFT","I Knew You Were Troubl...",13255,341,1572,34,99.67,2.284,59,"3",3,13255,2452,99.67
4,"=","JUSTIN BIEBER","Beauty And A Beat f/N....",12090,1,594,-307,84.071,0.1,91,"10",4,12090,1998,84.071
5,"=","FLO RIDA","I Cry",10745,-151,-450,-152,81.625,-1.523,124,"18",4,11195,1268,84.885
6,"=","RIHANNA","Diamonds",9600,-317,-1769,28,72.816,-2.637,113,"23",2,13317,2812,96.67
7,"=","SWEDISH HOUSE MAFIA","Don't You Worry Child",9064,214,563,142,69.571,1.884,130,"7",7,9064,1312,69.571
8,"=","PINK","Try",8868,96,404,123,57.813,0.886,81,"14",8,8868,1515,57.813
9,"=","ED SHEERAN","The A Team",8297,-17,-55,-27,53.481,-0.65,151,"32",9,8381,1183,56.912
10,"=","MAROON 5","One More Night",7909,-214,-1013,-85,58.003,-1.124,183,"35",1,15401,1593,119.954
11,"+1","WILL.I.AM & BRITNEY SP...","Scream And Shout",7064,204,810,86,58.565,1.679,53,"4",11,7064,1543,58.565
12,"-1","KE$HA","Die Young",6925,-141,-730,146,59.34,-1.291,114,"40",1,15607,3842,121.911
13,"=","ALICIA KEYS","Girl On Fire",6720,62,580,-65,47.362,0.427,86,"22/93",13,6720,1171,47.362
14,"=","PITBULL","Don't Stop The Party",6203,-7,266,-64,41.361,-0.532,102,"9",14,6210,675,41.893
15,"+1","MAROON 5","Daylight",5476,121,533,91,37.07,1.492,55,"13",15,5476,1101,37.07
16,"-1","CALVIN HARRIS","Sweet Nothing f/Floren...",5429,-10,229,-130,45.181,0.035,63,"12",15,5439,875,45.181
17,"=","KE$HA","C'mon",5276,132,1096,-73,40.412,0.433,32,"24",17,5276,1547,40.412
18,"=","ONE DIRECTION","Little Things",5100,-4,57,-13,29.284,-0.208,60,"41",17,5105,1166,29.586
19,"=","MACKLEMORE & RYAN LEWI...","Thrift Shop f/Wanz",4957,236,1439,104,42.298,1.875,60,"2",19,4957,1439,42.298
20,"=","KELLY CLARKSON","Catch My Breath",4769,88,293,71,30.939,0.444,83,"17",18,4769,767,30.939
21,"=","THE SCRIPT","Hall Of Fame f/will.i....",4286,-67,5,-141,22.188,-0.292,123,"16",18,4394,493,22.806
22,"=","IMAGINE DRAGONS","It's Time",4282,88,285,141,29.055,1.051,116,"15",22,4282,833,29.055
