"Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","Pk","PkSp","PkBl","PkAu"
1,"=","ZAYN","Pillowtalk",17636,"+114",1104,"-75",106.385,"+1.320",92,"42",1,17636,2441,106.385
2,"=","MIKE POSNER","I Took A Pill In Ibiza",16760,"+201",1300,"+39",104.167,"+0.802",106,"15",2,16760,1578,104.167
3,"=","LUKAS GRAHAM","7 Years",16670,"+224",1758,"-93",100.932,"+1.755",104,"10",3,16670,2077,100.932
4,"=","DNCE","Cake By The Ocean",13105,"-412",-1932,"-169",75.283,"-1.679",213,"28",2,15763,1185,92.576
5,"=","G-EAZY","Me Myself And I f/Bebe Rexha",13007,"-349",-2006,"-207",78.809,"-2.102",114,"58",1,16250,1836,97.757
6,"=","FIFTH HARMONY","Work From Home",12567,"+210",881,"+109",73.161,"+1.280",64,"14",6,12567,4059,73.161
7,"=","MEGHAN TRAINOR","NO",11915,"-200",-465,"-185",62.056,"-1.561",57,"16",7,12552,5498,69.649
8,"=","JUSTIN BIEBER","Love Yourself",11826,"-152",-921,"+39",79.514,"-1.386",148,"46",1,19000,4103,124.28
9,"=","FLO RIDA","My House",10960,"-72",-824,"+192",67.264,"-0.272",194,"23",1,18123,2285,104.909
10,"=","ZARA LARSSON & MNEK","Never Forget You",10844,"+88",510,"+76",62.33,"-0.170",87,"26",10,10844,1534,62.5
11,"=","ARIANA GRANDE","Dangerous Woman",9414,"+96",702,"+6",53.458,"+0.109",50,"19",11,9414,4214,53.458
12,"=","THE CHAINSMOKERS","Don't Let Me Down f/Daya",9131,"+190",1423,"-96",58.232,"+1.535",48,"11",12,9131,1906,58.232
13,"=","DJ SNAKE","Middle f/Bipolar Sunshine",8658,"+100",420,"+36",45.296,"+0.075",104,"49",12,8658,1239,45.296
14,"=","NICK JONAS","Close f/Tove Lo",6773,"+34",391,"-13",33.638,"-0.287",36,"30",14,6773,3392,33.925
15,"=","SELENA GOMEZ","Hands To Myself",6512,"-204",-1714,"+90",38.705,"-0.728",118,"99",1,16291,1952,91.457
16,"=","ALESSIA CARA","Wild Things",5749,"+12",334,"-44",26.708,"+0.663",90,"78",16,5749,814,26.708
17,"+1","DRAKE","One Dance f/Wizkid & Kyla",5560,"+346",2307,"+73",38.188,"+2.103",20,"3",17,5560,2307,38.188
18,"-1","JASON DERULO","If It Ain't Love",5479,"+10",706,"-96",26.515,"-0.031",29,"112",17,5479,2192,26.546
19,"=","JAMES BAY","Let It Go",4908,"+65",774,"-23",27.035,"+0.373",69,"33",19,4908,885,27.035
20,"=","JUSTIN BIEBER","Company",3905,"-418",-2076,"-300",18.767,"-2.494",62,"163",16,6486,2006,31.446
21,"=","TROYE SIVAN","Youth",3667,"-355",-1574,"-298",14.765,"-1.316",118,"62",17,5443,660,22.213
22,"+1","RUTH B.","Lost Boy",3640,"+82",415,"+42",17.109,"+0.402",75,"24",22,3640,530,17.109
23,"-1","IGGY AZALEA","Team",3609,"+27",221,"-12",12.522,"-0.189",41,"91",22,3609,1132,12.711
24,"+2","PINK","Just Like Fire",3310,"+152",1540,"+576",15.414,"+0.429",15,"43",24,3310,2189,15.897
25,"-1","RIHANNA","Kiss It Better",3303,"+59",573,"+1",15.199,"-0.250",24,"81",24,3303,1133,15.449
26,"-1","RIHANNA","Work f/Drake",3071,"-113",-1407,"+194",20.361,"-0.737",94,"37",8,11661,3999,67.246
27,"=","GRACE","You Don't Own Me f/G-Eazy",2627,"+36",379,"-67",11.042,"+0.064",43,"63",27,2627,603,11.042
